read_length,occurence
150,6
151,5
152,8
153,9
154,3
155,1
156,1
157,3
158,7
159,5
160,3
161,10
162,7
163,2
164,4
165,1
166,5
167,3
168,5
169,3
170,6
171,10
172,7
173,4
174,5
175,3
177,6
178,4
179,5
180,8
181,2
182,10
183,3
184,6
185,15
186,11
187,10
188,7
189,8
190,5
191,2
192,6
193,7
194,1
195,2
196,4
197,6
198,4
199,5
200,5
201,1
202,9
203,4
204,8
205,7
206,9
207,5
208,4
209,5
210,4
211,6
212,11
213,2
214,7
215,6
216,1
217,12
218,5
219,9
220,4
221,6
222,13
223,19
224,13
225,20
226,7
227,13
228,10
229,15
230,11
231,20
232,34
233,49
234,51
235,81
236,219
237,84
238,117
239,36
240,21
241,15
242,12
243,4
244,7
245,11
246,13
247,7
248,3
249,12
250,9
251,16
252,7
253,13
254,9
255,10
256,12
257,4
258,15
259,13
260,23
261,14
262,28
263,53
264,14
265,25
266,22
267,11
268,12
269,10
270,11
271,14
272,13
273,10
274,16
275,15
276,22
277,64
278,18
279,10
280,11
281,9
282,8
283,10
284,9
285,9
286,8
287,28
288,14
289,11
290,24
291,15
292,8
293,10
294,10
295,5
296,7
297,10
298,11
299,12
300,11
301,12
302,6
303,7
304,10
305,7
306,7
307,8
308,6
309,10
310,9
311,11
312,6
313,8
314,9
315,13
316,7
317,16
318,10
319,3
320,4
321,5
322,7
323,4
324,6
325,5
326,5
327,6
328,9
329,6
330,3
331,7
332,5
333,3
334,4
335,6
336,4
337,6
338,3
339,12
340,5
341,14
342,6
343,9
344,10
345,6
346,8
347,9
348,10
349,11
350,4
351,4
352,4
353,6
354,6
355,5
356,5
357,8
358,11
359,7
360,4
361,1
362,2
363,9
364,4
365,3
366,6
367,7
368,5
369,6
370,6
371,6
372,7
373,3
374,6
375,5
376,4
377,4
378,5
379,2
380,6
381,5
382,2
383,7
384,4
385,11
386,8
387,2
388,3
389,1
390,3
391,6
392,3
393,2
394,11
395,3
396,6
397,6
398,2
399,4
400,3
401,7
402,2
403,5
404,6
405,3
406,10
407,3
408,7
409,6
410,3
411,4
412,4
413,1
414,8
415,6
416,5
417,8
418,4
419,3
420,3
421,2
422,6
423,6
424,7
425,3
426,2
427,4
428,8
429,7
430,3
431,1
432,8
433,3
434,2
435,4
436,1
437,3
438,4
439,4
440,7
441,4
442,1
443,4
444,8
445,1
446,7
447,4
448,11
449,7
450,3
451,1
452,3
453,4
454,5
455,6
456,3
457,3
458,2
459,4
460,1
461,7
462,2
463,4
464,5
465,2
466,3
467,6
468,5
469,7
470,4
471,5
472,7
473,4
474,6
475,5
476,5
477,4
478,6
479,4
480,3
481,3
482,5
483,2
484,3
485,2
486,7
487,2
488,3
490,2
492,4
493,5
494,5
495,3
496,6
497,2
498,3
499,6
500,7
501,6
502,1
503,5
504,1
505,5
506,1
507,5
508,3
509,4
510,2
511,5
512,1
513,1
514,3
515,3
516,3
517,6
518,5
519,2
520,5
522,5
523,2
524,3
525,3
526,5
527,2
528,2
529,2
530,3
531,3
532,3
533,5
535,1
536,7
537,1
538,8
539,2
540,2
541,2
542,4
543,3
544,3
545,2
546,1
547,1
548,2
549,6
550,1
551,5
552,3
553,4
554,2
555,4
557,2
558,6
559,1
560,2
562,1
563,1
564,2
565,6
566,2
567,4
569,3
570,8
571,2
572,2
573,1
574,8
575,4
576,1
577,4
578,2
579,2
580,2
581,2
582,4
583,1
584,2
585,4
586,3
587,1
588,4
589,3
590,1
591,3
592,2
593,5
594,4
595,3
597,4
598,1
599,1
600,2
601,5
602,7
603,3
604,2
605,3
606,2
607,2
608,1
609,1
610,3
611,1
612,4
613,2
615,2
616,1
617,5
618,3
619,3
620,6
621,1
622,3
623,3
625,3
626,3
627,3
628,1
629,2
630,1
631,2
632,3
633,1
634,2
635,2
637,2
638,1
639,1
640,3
641,5
643,1
644,1
646,1
647,3
649,2
650,3
651,1
652,3
654,2
655,3
656,1
657,3
658,4
660,1
662,1
663,2
664,6
665,3
666,3
667,1
668,3
669,3
670,1
672,3
673,5
674,1
675,4
678,1
680,3
681,3
683,3
684,2
685,1
686,2
687,2
688,1
689,2
690,4
691,1
692,2
693,2
694,1
695,2
696,1
697,2
699,1
700,1
702,2
703,1
704,2
705,2
706,1
707,3
708,2
710,3
711,5
712,1
715,2
716,1
719,1
721,4
722,1
723,1
724,3
725,3
726,1
727,3
728,2
730,2
731,1
732,1
733,2
734,1
737,3
738,1
739,1
740,2
741,1
742,5
743,2
744,1
745,2
749,1
751,1
752,1
753,1
754,1
756,2
757,3
759,2
762,1
763,1
764,1
766,1
767,1
769,2
770,3
772,1
775,1
776,1
777,2
778,1
779,3
780,2
782,1
783,5
784,1
785,3
786,1
790,1
791,2
792,1
793,1
794,1
795,1
796,1
797,1
798,1
801,2
802,2
804,2
807,2
809,1
810,1
811,2
812,1
813,3
814,2
815,1
816,1
817,1
818,2
819,1
820,3
821,1
822,2
823,1
825,1
826,2
828,1
830,2
832,1
833,1
835,2
836,1
840,2
844,1
845,3
846,2
849,1
850,1
852,1
853,3
854,2
858,2
859,3
861,2
862,2
865,1
866,2
867,1
868,1
870,1
874,1
876,1
877,1
878,1
879,3
881,2
883,1
884,2
885,1
886,1
887,1
888,1
889,1
891,1
892,1
895,2
898,2
899,2
900,1
901,1
902,1
906,2
907,2
908,1
911,1
912,1
913,1
914,2
915,1
917,2
919,2
921,1
923,1
924,1
926,1
928,2
932,1
933,1
934,1
936,1
937,1
938,1
939,1
944,1
946,2
949,1
950,1
951,2
953,1
956,2
957,1
958,1
960,2
964,2
966,1
967,1
971,2
973,1
974,2
977,1
980,1
981,1
987,1
989,2
999,1
1000,1
1001,1
1002,2
1004,1
1009,1
1010,1
1016,1
1017,1
1023,2
1024,1
1028,1
1029,1
1036,1
1037,1
1041,1
1042,1
1045,1
1048,1
1049,1
1050,2
1054,1
1057,1
1058,1
1060,1
1064,1
1067,1
1072,2
1073,1
1081,1
1084,1
1085,1
1086,1
1095,2
1098,1
1100,1
1101,1
1103,1
1110,1
1112,1
1116,1
1121,1
1126,1
1127,1
1129,1
1134,1
1137,1
1148,1
1151,1
1153,1
1155,2
1157,1
1159,2
1160,1
1163,1
1167,1
1172,1
1173,1
1182,1
1183,1
1186,1
1190,1
1192,1
1195,1
1197,1

