read_length,mapped,occurence
54,1,1
59,1,1
61,1,6
62,1,1
63,1,2
67,1,1
68,1,1
70,1,1
71,1,1
72,1,1
88,1,2
91,1,1
94,1,2
100,1,1
101,1,1
104,1,1
105,1,2
106,1,2
107,1,2
108,1,4
109,1,11
110,1,14
111,1,27
112,1,9
113,1,12
114,1,25
115,1,13
116,1,4
117,1,4
118,1,19
120,1,1
121,1,2
123,1,1
135,1,1
150,0,3
150,1,1
151,0,6
152,0,7
152,1,2
153,0,7
153,1,2
154,0,6
155,0,5
156,0,4
156,1,1
157,0,12
157,1,5
158,0,4
159,0,8
159,1,3
160,0,4
160,1,4
161,0,11
161,1,2
162,0,2
162,1,2
163,0,3
163,1,3
164,0,7
164,1,1
165,0,2
166,0,2
167,0,6
167,1,1
168,0,7
168,1,1
169,0,11
170,0,12
170,1,2
171,0,11
171,1,1
172,0,5
173,0,8
174,0,2
174,1,1
175,0,5
176,0,2
177,0,3
177,1,2
178,0,4
178,1,2
179,0,6
179,1,1
180,0,3
180,1,1
181,0,6
181,1,4
182,0,5
182,1,5
183,0,5
183,1,3
184,0,3
184,1,3
185,1,2
186,0,2
186,1,1
187,0,5
188,0,4
188,1,1
189,0,4
190,0,3
190,1,3
191,0,3
192,0,3
192,1,1
193,0,3
194,0,5
195,0,1
196,0,4
197,0,6
198,0,4
199,0,8
199,1,1
200,0,2
200,1,1
201,0,3
201,1,1
202,0,4
202,1,2
203,0,6
203,1,1
204,0,1
205,0,2
205,1,1
206,0,5
207,0,3
208,0,3
209,0,8
211,0,1
212,0,1
213,0,2
214,0,3
215,0,7
215,1,1
216,0,5
217,0,3
218,0,3
219,0,5
220,0,3
221,0,2
222,0,3
222,1,2
223,0,4
223,1,1
224,0,2
225,0,1
225,1,1
226,0,1
226,1,1
227,0,2
228,0,2
228,1,2
229,0,4
229,1,1
230,0,6
231,0,1
231,1,2
232,1,1
233,0,4
233,1,6
234,0,4
234,1,1
235,0,4
235,1,2
236,1,4
237,0,1
237,1,4
238,0,2
238,1,11
239,0,3
239,1,11
240,0,7
240,1,9
241,0,5
241,1,11
242,0,5
242,1,4
243,0,5
243,1,14
244,0,2
244,1,6
245,0,2
245,1,5
246,0,5
246,1,5
247,0,3
247,1,4
248,0,2
248,1,3
249,0,2
249,1,2
250,0,3
250,1,2
251,0,4
252,0,1
253,0,3
254,0,3
255,0,2
255,1,1
256,0,2
256,1,1
257,0,1
258,0,1
258,1,3
260,0,5
260,1,1
261,0,2
262,0,3
262,1,1
263,0,5
264,0,3
264,1,1
265,0,2
266,0,7
267,0,3
268,0,5
269,0,6
269,1,1
270,0,5
271,0,4
272,0,19
273,0,16
273,1,1
274,0,1
275,0,4
275,1,1
276,0,5
276,1,2
277,0,5
277,1,3
278,0,7
278,1,1
279,0,5
279,1,7
280,0,8
280,1,1
281,0,6
281,1,2
282,0,14
283,0,11
284,0,21
284,1,1
285,0,33
285,1,4
286,0,6
286,1,1
287,0,7
287,1,6
288,0,3
288,1,2
289,0,4
289,1,4
290,0,2
290,1,2
291,0,6
291,1,10
292,0,2
292,1,28
293,0,3
293,1,8
294,0,5
294,1,4
295,0,4
295,1,2
296,0,3
296,1,1
297,0,1
298,0,4
298,1,2
299,0,4
300,0,3
301,0,4
302,0,3
303,0,3
303,1,4
304,0,3
305,0,8
306,0,1
307,0,4
307,1,2
308,0,2
309,0,2
309,1,1
310,0,1
311,0,1
311,1,1
312,0,3
312,1,3
313,0,5
313,1,2
314,0,2
314,1,1
315,0,1
316,0,5
317,1,1
318,0,3
318,1,2
319,0,3
320,0,3
320,1,1
321,0,5
321,1,1
322,0,3
323,0,1
324,0,3
325,0,6
326,0,9
326,1,2
327,0,1
328,0,4
328,1,3
329,0,1
330,0,3
331,0,3
332,0,2
332,1,1
333,0,1
333,1,4
334,0,2
334,1,1
335,0,5
336,0,1
336,1,1
337,0,5
338,0,2
338,1,2
339,0,2
339,1,1
340,0,3
341,0,3
341,1,3
342,0,5
342,1,1
343,0,3
343,1,3
344,0,7
344,1,1
345,0,6
346,0,5
346,1,1
347,0,1
347,1,1
348,0,4
349,0,2
350,0,3
350,1,2
352,0,1
353,0,5
353,1,2
354,0,3
355,0,2
356,0,7
357,0,1
357,1,1
358,0,4
358,1,2
359,0,1
359,1,3
360,0,3
360,1,1
361,0,1
361,1,2
362,0,3
362,1,1
363,0,3
363,1,2
364,0,1
364,1,1
365,0,2
365,1,1
366,0,2
367,0,2
367,1,1
368,0,1
368,1,2
369,0,5
370,0,4
370,1,1
371,0,4
371,1,1
372,0,2
373,0,1
373,1,2
374,0,3
375,0,3
376,0,2
376,1,2
377,0,1
378,0,3
379,0,5
380,1,1
381,0,3
381,1,1
382,0,6
383,0,3
383,1,1
384,0,4
385,0,1
386,0,3
386,1,2
387,0,2
388,0,2
389,0,6
389,1,1
390,0,2
391,0,1
391,1,1
392,0,2
393,0,4
393,1,1
394,0,8
394,1,1
395,0,3
395,1,1
396,0,2
396,1,2
397,0,3
397,1,1
398,0,2
399,0,2
400,0,1
400,1,1
401,0,5
402,0,2
403,0,2
404,0,4
404,1,1
405,0,2
406,0,1
406,1,1
407,0,1
407,1,1
409,0,4
410,0,4
410,1,2
411,0,2
411,1,2
412,0,2
414,0,1
414,1,2
415,0,4
416,0,2
416,1,2
417,0,5
418,0,5
418,1,1
419,0,3
420,0,2
421,0,3
422,0,2
423,0,5
423,1,1
424,0,4
425,0,4
426,0,4
427,0,4
428,0,2
429,0,4
429,1,1
430,0,2
431,0,3
432,0,1
432,1,1
433,0,1
433,1,1
434,0,4
435,0,2
436,0,1
437,0,3
437,1,1
438,0,4
439,0,3
440,0,2
440,1,1
441,0,7
441,1,1
442,0,4
443,0,2
444,0,3
444,1,2
445,0,2
445,1,1
446,0,1
447,0,7
448,0,4
449,0,3
449,1,1
