read_length,occurence
150,48
151,55
152,80
153,78
154,99
155,96
156,90
157,88
158,100
159,73
160,83
161,98
162,77
163,78
164,80
165,114
166,108
167,164
168,195
169,149
170,204
171,147
172,149
173,109
174,107
175,54
176,41
177,38
178,29
179,24
180,35
181,16
182,25
183,31
184,29
185,37
186,31
187,46
188,37
189,52
190,44
191,38
192,45
193,47
194,45
195,42
196,37
197,41
198,54
199,49
200,68
201,76
202,79
203,87
204,81
205,64
206,60
207,36
208,37
209,26
210,19
211,17
212,14
213,7
214,12
215,10
216,10
217,16
218,15
219,13
220,22
221,17
222,22
223,15
224,17
225,17
226,23
227,23
228,13
229,22
230,15
231,17
232,32
233,20
234,25
235,29
236,30
237,29
238,31
239,30
240,27
241,22
242,39
243,82
244,24
245,17
246,19
247,9
248,13
249,10
250,11
251,12
252,2
253,6
254,3
255,8
256,11
257,6
258,7
259,7
260,9
261,7
262,12
263,14
264,12
265,9
266,16
267,14
268,20
269,14
270,10
271,24
272,8
273,13
274,15
275,9
276,14
277,5
278,5
279,7
280,5
281,3
282,5
283,7
284,3
285,4
286,5
287,6
288,6
289,10
290,4
291,5
292,5
293,1
294,2
295,6
296,3
297,5
298,5
299,8
300,5
301,6
302,8
303,15
304,6
305,4
306,7
307,4
308,10
309,5
310,9
311,11
312,7
313,7
314,11
315,10
316,18
317,18
318,34
319,11
320,5
321,7
322,4
323,4
324,10
325,7
326,3
328,4
329,2
330,1
331,3
332,3
333,3
334,1
335,4
336,3
337,3
338,3
339,2
340,4
341,4
342,1
343,4
344,3
345,4
346,2
349,1
350,1
351,1
352,2
354,2
355,1
356,1
357,4
358,1
359,2
360,2
361,2
362,1
364,2
366,1
367,1
368,2
369,1
370,1
371,1
373,2
374,1
375,2
376,1
377,3
378,4
379,3
380,2
381,3
383,4
384,2
385,3
386,4
387,4
389,1
390,2
391,2
392,1
393,1
394,1
396,2
399,1
404,3
406,1
407,2
408,3
409,1
410,2
412,2
413,1
416,2
417,1
418,2
419,1
420,3
421,1
424,2
426,1
430,1
431,1
433,1
434,1
436,2
437,2
438,1
439,1
440,2
443,2
447,1
449,1
450,2
451,1
453,1
454,2
455,1
456,2
458,2
459,2
460,2
461,1
462,3
464,1
465,1
470,1
472,2
474,1
475,1
477,1
479,1
483,1
484,1
485,1
490,1
491,1
496,1
497,1
501,1
504,1
508,1
511,1
512,2
515,2
516,1
517,1
519,1
522,1
530,1
531,1
535,1
539,1
541,1
542,1
552,1
575,1
578,1
590,1
591,1
606,1
620,1
630,1
632,1
634,1
640,1
651,1
652,1
664,1
665,1
678,1
690,1
705,1
713,1
776,1
898,1
902,1
908,1
936,1
995,1
999,1
1034,1
1046,1
1141,1
1145,1
1176,1
1183,1

