Read_ID	Length	GC_content	Avg_Quality	Mapping_Quality
b6b81290-93a0-4053-bff7-99e9fadba0c4	866	48.50	12.13	60
cf5f60d7-0847-46c6-a344-45d1ee99e0e2	772	47.41	6.05	60
a935776d-e6b0-404f-a74d-758e3f0002bd	283	49.47	13.61	48
741be626-ab22-413c-8920-f86fff211858	557	47.76	7.47	60
b120b5d0-aada-4281-8f02-03e6f1c6ad41	637	46.78	10.19	60
dc01d479-7ccf-499c-880d-7ea0dbaa87d3	181	48.07	7.87	60
b6b81290-93a0-4053-bff7-99e9fadba0c4	221	47.06	14.67	60
c0df2ffc-4ffa-41e4-94cd-fcb8a467d367	247	48.58	19.70	60
4877dade-0df2-4d4c-ad34-cbc1d29996c4	339	47.49	9.99	23
6cb837c3-c538-4317-91e9-9ecfb85642ef	635	47.09	12.85	60
ab58b02a-1816-4b91-9a96-3d275fd7d4e2	760	45.13	10.37	60
cd20ee83-a2a8-48a3-bc9d-ff17714990fa	633	46.92	13.48	60
71e3eaa8-7ed5-47c9-89b0-799752cecaa4	1120	44.02	12.44	60
34a3a90c-5210-48be-b9bc-b2042ba87130	385	47.01	12.62	23
4e9ca02f-8112-4556-b0dd-43339149aae3	480	46.88	10.55	60
1b0300b2-3b99-42a9-8ac7-7a0cbe49cb26	461	45.99	4.74	60
f85c4acd-6b3f-4ddd-a5cc-644f914c3c85	552	46.74	7.59	60
999c0af9-ef1a-4906-8d8b-c1bdf3fd11bd	991	43.59	8.98	60
0a26ecca-22ed-419e-8191-f4b4ecd33374	614	48.05	9.66	60
273938e2-aa28-4ec0-83e6-b5e1010362a5	447	45.64	7.87	60
1d971233-dbca-40c6-a429-a531a104f2e8	386	46.37	12.58	23
52d3ab8a-30c4-4d7a-9f56-ec7cad128132	388	46.91	11.52	23
29555c71-ff4f-4a4e-bd24-da757b0a2e4b	233	50.64	2.01	13
9b7e85f3-3b87-492e-a77a-9a1a7c2fbdf5	384	46.88	13.31	23
1961a187-ecbd-4671-8070-b1dae980747d	577	46.79	10.95	60
5dd5a662-beee-4b3f-b578-b76fbe577546	602	47.67	12.53	60
5db8f25e-166d-45d2-a42a-4d965e482915	365	49.04	13.23	23
372924dc-2a10-4031-91fa-e6515cf9161a	1057	43.99	9.43	60
6727c968-64fd-4391-91f0-281cba1e7678	768	45.70	8.13	60
53fa8d9f-a3c2-47da-804f-d3177ab36c20	384	46.88	10.19	23
12757b78-4e81-404f-a68a-b74c5b85d161	955	43.25	11.57	60
6cb31869-f81f-4f00-9308-d702af09ae1f	383	46.74	11.92	23
c8651102-7236-416f-97c5-575f43fcdcbd	1054	43.55	17.80	60
a06d94f1-8919-49bb-af99-57120350f038	802	47.13	18.80	60
5e579238-dafe-4426-a011-55a4e811a1ec	272	47.43	11.99	60
701ecc83-b325-4b8f-9168-909cfe09927b	483	42.03	13.16	8
035a7f3f-ec58-4813-9c22-fb55b6da1b2a	637	46.62	20.94	60
b614c4a9-85a6-4e48-9cc6-fba2580ef395	767	45.50	16.87	60
242f9368-f01e-47be-8bdb-ea24d11eb770	1088	44.12	11.64	60
ccbf6f08-f71d-4340-8502-c55dd1e258d4	1087	44.25	9.35	60
7d306d90-dc58-4292-9777-d4b1e58f9593	284	47.54	12.65	60
780f4d85-5c1f-4020-9c82-3bd770031b6f	1086	44.01	11.67	60
aa5de3ae-993f-4e94-9299-45869527bc23	110	49.09	14.44	60
548d6f30-1a14-45e0-b159-7804a54182b9	975	47.59	6.58	60
8dbdff30-53b8-4e6a-8d0f-0631972e2e9b	383	46.74	12.75	23
5a05c8a9-8965-421f-aa02-61f1aa17f90f	698	46.70	12.26	60
ef01e36c-3452-4759-b621-8d3ae39e5d79	212	51.42	8.42	22
98450262-ea73-4b46-9c59-9234c7e1c52b	942	43.52	11.83	60
0c4cc169-616a-4d55-b78a-72118d1cf32c	470	45.96	9.51	59
04841ce5-10b7-4f2e-ac4f-6603033cb5d7	398	45.98	19.70	10
013facef-9c67-466c-962e-20bc54ff5e30	1028	43.48	11.13	60
f9919dd5-9365-4aad-ad2b-cc2b11e75e61	272	45.59	13.05	60
5be3b8fd-120d-4f92-96b9-493f116259fd	116	46.55	16.66	52
fe15f08c-3b7c-4986-9c81-965582a0e690	816	44.61	13.12	60
f1c784a5-d075-4d04-badc-bcb381f1fd72	521	51.44	11.73	60
9309c8c0-c1b3-464b-aa12-bd989bfec533	924	43.51	11.19	60
2ef9d0b2-48db-404e-9c7c-32e6d36e050c	317	44.79	5.17	9
b02bfa47-a28f-42f9-856d-f1ee6669dd4a	642	43.93	12.26	60
04841ce5-10b7-4f2e-ac4f-6603033cb5d7	1062	45.86	12.54	60
fe15f08c-3b7c-4986-9c81-965582a0e690	295	42.03	14.85	9
7af747a2-7663-4125-96b4-a003061dcfc2	516	48.26	15.94	60
bf316072-dbdb-4040-aa49-ebdfb5794a61	327	51.38	10.47	29
016a531c-3fa4-412e-be44-12298030531e	1169	50.56	11.39	60
e0151fb6-4ec4-4914-9773-61b9ecbbd671	1161	50.22	16.34	60
638a4ab9-53c7-4e9f-a7bd-f609d950f5bf	1166	50.51	11.79	60
38ebc156-e316-41d8-bbb7-a0d37ac37fc1	1142	50.26	11.88	60
4129ba46-df4e-4bf8-abd5-9c8f4c21778c	1104	50.54	10.85	60
543203d5-374f-45c9-b673-68e898473c81	1053	51.00	8.83	60
2105be2e-0105-4487-852b-3b8982d8ce48	1031	51.70	13.05	60
d2cd0f0e-1710-4f6d-8ac3-01888c50f091	991	51.66	9.41	60
c6659977-bb53-4811-9663-dcfd58044444	970	52.16	10.03	60
00a92e78-9ef9-4cee-9a85-41bed4c286a4	928	53.56	20.79	60
6b7b0906-dd63-4f83-984a-8ecf5f1c91a2	941	52.50	11.28	60
a7b86888-5c47-4204-923f-c22d75d5e509	938	52.45	11.27	60
417d527b-847a-4cf1-adad-ca5579991d8b	941	52.39	9.36	60
9f833808-5c3f-44ae-93ec-e84bb74c5b0a	938	52.56	10.89	60
02c78439-ae00-43fb-bdab-34effc3ab07b	939	52.50	11.86	60
305ce1aa-2591-4f6d-8c8b-9531fb6eb31d	936	51.92	10.58	60
101109b4-0cc8-48ba-abff-2465518715a0	916	52.18	14.96	60
6fbc25fb-38df-4a84-a3a1-6841703613e6	938	52.35	12.13	60
82d806fc-8b89-4afc-95c8-33a7e2d46492	942	52.76	12.04	60
05b6fd23-cae6-4d28-8279-40b8eb41a9b2	930	51.08	21.58	60
1104f141-da3e-4357-94d3-c225ce510885	941	52.50	10.84	60
b27d5ea3-f40b-4ebe-b6d1-2d08fa7c8ef5	937	52.51	11.44	60
314cdcf4-fa8a-4115-9e49-fb90e87a64c6	936	52.35	11.94	60
b0ee5e21-ecbb-45bc-8c2e-bf58df557fd2	939	52.61	12.95	60
8e880642-eaf2-4ec9-93ea-267655ead140	933	52.63	12.05	60
6f9f8633-479e-42ac-a1ca-61887d07b9c2	941	52.39	11.52	60
58bd02e1-de1b-4fae-8a63-36ce89a494a6	936	52.35	11.71	60
396d285d-ccab-471f-8ebd-a378d4721c2e	936	52.56	10.39	60
aeaa0a76-e468-4a4f-a8de-f532b2812343	917	52.13	15.21	60
a0ec96cf-99c6-4d46-a556-2c0f10db56cd	934	52.68	10.58	60
5cfd2ec9-7205-4432-92f6-06b140680c1b	938	52.35	12.32	60
2a86bfe3-4eb4-4ee4-85d1-360707b3d780	925	52.65	10.69	60
e68235aa-b350-42c0-9135-c73cfecc780b	906	52.76	11.02	60
b9f10f7d-9b79-46aa-a33c-ac9c80013739	969	52.22	12.95	60
04f52ea2-ad49-4bac-907b-fc896c1d6e30	884	53.85	11.80	60
e3441aa2-2936-4f28-82e5-5ccdfa35f0bd	871	53.85	13.26	60
c2be38c6-f2d6-4a3e-b0fe-b75a10ad7269	921	51.90	19.16	60
28651336-beca-4a90-ae3c-9aa23eef04b9	865	53.64	13.03	60
31c99d5e-ad26-46e5-a767-f1dc01a09c24	838	54.42	9.21	60
da420e65-7d2b-4b77-8251-10e095ad941c	831	54.27	11.54	60
db482f3c-bda1-45ef-a7cb-b8bcc34ac12f	792	52.40	17.89	60
7a5368e9-f391-4487-aacd-63fb87cfe7d8	790	54.43	12.05	60
3ff21c5d-b211-45ed-8335-43c68d9a3964	780	54.49	9.94	60
3b6c53d7-6bd5-45a8-b2a9-f60b69b36785	739	55.21	11.94	60
9489297a-b58b-493d-aabf-3b0023031608	725	55.59	10.95	60
e4848d1e-fec7-47b2-b3aa-a5566523738d	711	55.70	9.38	60
27c3b907-796c-4187-bc96-21712a3efee7	691	54.56	15.72	60
32f673b6-e0b6-4453-b3f1-0743e971d488	696	56.03	13.11	60
fdfd8df7-841f-464c-a07d-035c26748fb4	928	54.09	10.85	60
ee2f9256-cbc1-4b68-ad6a-8d0147d449f6	596	55.54	7.87	60
ec485455-ceb9-4321-82e1-c591ba340b92	597	55.61	10.36	60
290b0242-5253-43ac-be0d-0b6bf6262fe1	605	54.88	24.12	60
0132a36e-e17f-4293-b735-1af83d004c2d	575	55.30	10.36	60
7a9c7a58-f72b-43ee-9dcb-1ff716b491e7	603	54.39	11.83	60
115eacfc-534d-428f-9291-d5f6583252a9	564	55.32	7.73	60
79a7b1fe-820f-4a68-9ffd-f2eb9b7e4391	547	53.75	20.58	60
c5375972-9d72-43b5-8366-6aa2ee1c22fb	381	58.79	11.61	60
b7871ef0-0a5f-46f6-b688-e2779b7bbf45	407	54.55	12.34	60
9b895de5-6123-467c-a34d-6536070350ae	354	54.24	10.97	3
9b895de5-6123-467c-a34d-6536070350ae	720	53.19	17.57	60
aa5de3ae-993f-4e94-9299-45869527bc23	464	52.80	15.56	60
c7ac805e-df07-4806-a1fb-489ea7806595	339	51.92	7.20	60
c26d1d9c-a40f-49f5-b38f-b19b586611fd	304	50.33	8.52	60
eeb9a8ff-c843-4e0a-87d8-4362f34ed18c	300	50.00	7.46	60
e5727ef2-18fc-4355-ad12-e4056abbfab8	304	48.68	9.46	60
f4810ee0-bf47-4c5f-acbb-f1206eb4c416	281	49.47	7.77	60
7de0b928-4c53-43b9-9c66-bbc1b09af14e	357	49.86	14.73	60
dc1ac009-bf19-4528-82af-f6b33848558b	280	50.36	9.93	60
f134b3b6-bbc4-41d9-ac36-fc8289f18719	281	49.82	8.29	60
713d3e65-7962-4586-8649-af17387643fa	274	50.00	8.61	60
d667ac4b-cf38-4bc9-a458-d333adf66a94	276	49.28	9.70	60
be2344a8-f48c-44df-b465-2f270e68b494	277	50.18	7.33	60
437567db-98cb-48c0-b05e-8801c1e72791	284	51.76	13.65	12
248b3739-85f8-4dcf-b9ec-9bfb8b43ec99	271	49.08	18.71	47
e93dfa3d-48eb-4c26-ae1e-225f1b323396	277	50.90	17.65	60
b30de336-4253-4f81-bdc8-3137d622b38c	258	51.16	7.76	52
5d4b164c-a8cc-450b-a5a8-e547a749fa63	228	51.32	8.89	27
e5617b22-865e-4579-9bfc-26dc5fadd97a	274	51.09	14.36	60
17289539-602a-4d54-8826-c9f31f872e9a	280	50.00	7.37	60
6d84c869-6784-46cd-9352-6d9be65c6a6d	277	49.82	8.42	60
bde4b3e2-75cf-4355-bf6f-c91f3a69e065	282	50.35	12.62	60
64c1dbd9-6338-451c-91b1-f0356c943e0a	274	49.64	21.07	60
868f95b9-b3cd-4f6d-a9af-1b87f7b11d7f	282	49.29	16.50	60
d5fd9db3-cff5-4fc9-b5ac-55d655c04ed5	283	49.47	10.25	60
64611413-9227-4b5b-b356-014519dabe22	277	49.10	9.96	60
f058178c-7564-4ded-95dd-9352633081be	277	49.10	6.43	60
7a995646-e58e-4b52-9baa-404a3649bc70	228	50.00	6.27	27
e53134a3-cad9-44c2-b969-d80a69f623de	282	49.29	7.62	60
d38e3907-5d1d-4aeb-a051-4991c3c96666	279	48.39	11.65	60
13d7e085-f947-4595-9ca3-710be3b0c9ed	261	49.81	8.76	60
748861e5-560d-4021-9e23-5cf74823c3d4	279	49.46	25.43	60
05d013b9-efd0-4de6-a875-6dce3362b81f	280	49.64	11.43	60
24e50504-f494-4cd6-a255-0b307d6e5217	278	49.28	9.04	60
32aeb757-e807-462e-8145-7048bcccc2fe	278	50.36	11.53	60
9066ae6a-f244-4de3-9a8b-f7c8394b5f94	278	49.28	11.59	60
8cd82b44-3c68-4dbb-83ef-0fc32d8c9287	277	49.10	10.89	60
c0ea252e-c0e6-48d3-9b10-54e4a2f3c47d	276	49.28	7.14	60
