read_length,occurence
150,11
151,6
152,1
153,2
154,3
155,4
156,10
157,6
158,8
159,20
160,10
161,8
162,7
163,4
164,6
165,4
166,4
167,6
168,4
169,6
170,3
171,3
172,2
173,4
174,7
175,10
176,2
177,5
178,8
179,2
180,6
181,3
182,5
183,4
184,2
185,13
186,1
187,3
188,6
189,7
190,4
191,5
192,5
193,4
194,3
195,6
196,4
197,2
198,4
199,11
200,8
201,12
202,10
203,29
204,5
205,3
206,6
207,5
208,5
209,4
210,4
211,1
212,3
213,2
214,1
215,1
216,4
217,2
218,4
219,5
220,5
221,3
222,4
223,2
224,6
225,5
226,5
227,7
228,9
229,5
230,5
231,3
232,12
233,5
234,18
235,27
236,97
237,16
238,13
239,12
240,5
241,6
242,8
243,6
244,3
245,4
246,3
247,6
248,6
249,6
250,4
251,5
252,9
253,5
254,3
255,5
256,6
257,5
258,2
259,4
260,9
261,5
262,7
263,10
264,6
265,2
266,4
267,3
268,1
269,7
270,4
271,4
272,6
273,9
274,2
275,4
276,11
277,31
278,7
279,5
280,5
281,7
282,1
283,5
284,8
285,5
286,1
287,3
288,6
289,2
290,4
291,4
292,5
293,8
295,4
296,6
297,1
298,3
299,3
300,6
301,12
302,10
303,17
304,25
305,55
306,9
307,7
308,6
309,4
310,3
311,4
312,7
313,2
314,2
315,6
316,4
317,7
318,3
319,16
320,5
321,7
322,3
323,6
324,2
325,3
326,3
327,1
328,2
329,2
330,2
331,3
332,9
333,4
334,4
335,5
336,3
337,2
338,3
339,5
340,3
341,2
342,2
343,3
344,4
345,8
346,9
347,5
348,2
349,1
350,3
351,2
352,5
353,5
354,2
355,6
356,4
357,6
358,2
359,3
360,3
361,3
362,6
363,5
364,2
365,4
366,5
367,2
368,4
369,2
370,2
371,3
372,3
373,2
374,5
375,7
376,2
377,6
378,1
379,3
380,5
381,3
382,4
383,5
384,5
386,4
387,6
388,6
389,4
390,3
391,1
392,4
393,2
394,4
395,3
396,5
397,3
398,3
399,2
400,3
401,1
402,3
403,1
404,3
407,4
408,4
409,4
410,3
411,1
412,2
413,4
414,2
415,6
416,1
417,2
418,1
419,3
420,1
421,2
422,2
423,3
424,5
425,2
426,1
427,2
428,1
429,4
430,1
431,4
432,2
433,3
434,2
435,4
436,5
437,2
438,3
439,2
440,3
442,5
443,2
444,4
445,5
446,5
447,2
448,5
449,7
450,17
451,12
452,3
453,4
454,1
455,2
456,1
457,1
458,6
459,1
461,3
463,1
464,1
466,4
467,5
468,3
469,4
470,2
471,7
472,2
473,1
474,2
475,1
476,2
477,2
478,3
479,2
480,5
481,1
482,2
483,3
484,4
485,1
486,3
487,1
489,1
490,3
492,5
493,1
494,3
495,4
496,1
497,3
498,2
499,2
500,3
501,4
502,3
503,2
504,1
505,2
506,4
507,4
508,1
509,1
510,4
511,4
512,2
513,2
514,5
515,4
516,1
517,2
518,3
519,7
520,3
522,4
523,3
524,1
525,3
526,3
527,4
528,2
529,1
530,1
531,3
532,3
533,1
534,2
536,2
537,2
538,1
539,4
540,4
541,4
542,5
543,3
544,5
