GC_content,mapped,occurence
13.73,0.0,1.0
16.47,0.0,1.0
18.26,0.0,1.0
18.91,0.0,1.0
23.38,0.0,1.0
36.11,0.0,1.0
36.12,0.0,1.0
36.78,0.0,1.0
38.1,0.0,1.0
38.78,0.0,1.0
38.79,0.0,1.0
39.62,0.0,2.0
40.32,0.0,1.0
40.52,0.0,1.0
40.82,1.0,1.0
40.88,0.0,1.0
41.1,0.0,1.0
41.45,1.0,1.0
41.47,0.0,1.0
41.7,0.0,1.0
41.72,0.0,1.0
41.83,1.0,3.0
41.88,1.0,1.0
41.94,1.0,1.0
41.98,0.0,1.0
42.11,1.0,1.0
42.38,0.0,2.0
42.38,1.0,1.0
42.41,0.0,1.0
42.45,0.0,1.0
42.48,1.0,8.0
42.69,0.0,1.0
42.76,0.0,2.0
42.81,1.0,1.0
42.95,1.0,1.0
43.05,1.0,2.0
43.11,0.0,1.0
43.14,1.0,9.0
43.2,1.0,1.0
43.33,1.0,3.0
43.42,0.0,1.0
43.42,1.0,1.0
43.56,1.0,1.0
43.71,0.0,1.0
43.75,1.0,1.0
43.77,1.0,1.0
43.79,0.0,2.0
43.86,0.0,1.0
43.86,1.0,1.0
43.87,1.0,1.0
43.91,1.0,1.0
43.96,0.0,1.0
44.0,1.0,1.0
44.08,1.0,1.0
44.1,1.0,1.0
44.11,1.0,1.0
44.15,1.0,1.0
44.16,0.0,1.0
44.26,1.0,1.0
44.31,1.0,1.0
44.35,1.0,1.0
44.37,0.0,1.0
44.39,1.0,1.0
44.44,1.0,2.0
44.49,1.0,1.0
44.5,1.0,1.0
44.51,1.0,1.0
44.54,1.0,1.0
44.57,0.0,1.0
44.59,1.0,1.0
44.67,0.0,1.0
44.67,1.0,1.0
44.68,1.0,1.0
44.69,1.0,1.0
44.72,0.0,1.0
44.73,1.0,1.0
44.74,1.0,1.0
44.78,1.0,1.0
44.81,0.0,1.0
44.81,1.0,1.0
44.91,0.0,1.0
44.92,0.0,1.0
44.93,1.0,1.0
44.95,1.0,1.0
44.96,1.0,2.0
44.98,1.0,1.0
45.03,1.0,2.0
45.19,1.0,1.0
45.22,1.0,1.0
45.25,1.0,1.0
45.28,0.0,1.0
45.28,1.0,1.0
45.29,0.0,1.0
45.37,0.0,1.0
45.37,1.0,1.0
45.38,1.0,1.0
45.39,0.0,1.0
