seq_score,occurence
39.34,1.0
44.14,1.0
46.28,1.0
46.8,1.0
46.88,1.0
47.0,1.0
47.12,1.0
47.27,1.0
47.46,1.0
47.48,1.0
47.54,1.0
47.65,1.0
47.93,1.0
47.95,1.0
48.52,1.0
48.73,1.0
48.82,1.0
48.99,1.0
49.07,1.0
49.1,1.0
49.38,1.0
49.39,1.0
49.81,1.0
49.84,1.0
50.04,1.0
50.1,1.0
50.25,1.0
50.48,1.0
50.49,1.0
50.55,1.0
50.59,1.0
50.6,1.0
50.68,1.0
50.71,1.0
50.81,1.0
50.9,1.0
50.93,1.0
50.97,1.0
51.05,1.0
51.08,1.0
51.17,1.0
51.18,1.0
51.21,1.0
51.27,1.0
51.28,1.0
51.3,1.0
51.33,1.0
51.36,1.0
51.5,1.0
51.51,2.0
51.68,1.0
51.84,1.0
51.92,1.0
52.13,1.0
52.15,1.0
52.18,1.0
52.23,2.0
52.26,1.0
52.27,1.0
52.28,1.0
52.29,1.0
52.31,1.0
52.35,1.0
52.38,1.0
52.39,1.0
52.41,1.0
52.47,1.0
52.59,1.0
52.61,1.0
52.63,1.0
52.67,1.0
52.71,1.0
52.74,1.0
52.76,1.0
52.89,1.0
52.93,1.0
53.04,1.0
53.09,1.0
53.15,1.0
53.18,1.0
53.19,1.0
53.25,1.0
53.27,1.0
53.48,1.0
53.5,1.0
53.52,1.0
53.58,1.0
53.61,1.0
53.63,1.0
53.74,1.0
53.82,1.0
53.89,1.0
53.94,1.0
53.97,2.0
53.99,1.0
54.01,1.0
54.05,2.0
54.06,1.0
54.07,1.0
54.08,1.0
54.09,1.0
54.11,1.0
54.15,1.0
54.16,1.0
54.27,1.0
54.33,1.0
54.35,1.0
54.37,1.0
54.4,1.0
54.53,1.0
54.72,1.0
54.82,3.0
54.84,1.0
54.85,1.0
54.89,1.0
54.91,1.0
54.93,2.0
54.94,2.0
55.01,1.0
55.05,2.0
55.12,1.0
55.16,1.0
55.18,1.0
55.22,1.0
55.23,1.0
55.25,1.0
55.26,1.0
55.28,1.0
55.3,1.0
55.35,2.0
55.47,1.0
55.48,1.0
55.5,1.0
55.52,1.0
55.6,1.0
55.63,1.0
55.65,1.0
55.66,1.0
55.67,1.0
55.75,2.0
55.87,1.0
55.92,1.0
55.93,1.0
55.96,1.0
55.98,1.0
56.0,1.0
56.03,1.0
56.07,1.0
56.08,1.0
56.09,1.0
56.15,1.0
56.17,2.0
56.18,1.0
56.25,3.0
56.28,1.0
56.3,1.0
56.38,1.0
56.39,1.0
56.41,1.0
56.42,1.0
56.44,2.0
56.46,1.0
