read_length,occurence
150,8
151,13
152,14
153,30
154,7
155,10
156,7
157,4
158,5
159,8
160,5
161,7
162,4
163,5
164,5
165,2
166,5
167,9
168,6
169,4
170,11
171,6
172,4
173,4
174,1
175,6
176,1
177,6
178,3
179,4
180,5
181,2
182,5
183,3
184,8
185,7
186,41
187,18
188,11
189,4
190,4
191,3
192,2
193,3
194,2
195,7
196,3
197,6
198,5
199,3
200,6
201,4
202,4
203,3
204,2
205,5
207,7
208,6
209,1
210,2
211,2
212,3
213,4
214,4
215,1
216,7
217,1
218,5
219,3
220,3
221,5
222,2
223,3
224,1
225,3
226,9
227,4
228,11
229,7
230,1
231,9
232,1
233,5
234,6
235,10
236,6
237,4
238,7
239,6
240,2
241,5
242,5
243,5
244,4
245,6
246,9
247,5
248,5
249,3
250,3
251,5
252,3
253,7
254,5
255,2
256,3
257,5
258,8
259,7
260,6
261,5
262,2
263,6
264,4
265,4
266,2
267,8
268,6
269,8
270,12
271,15
272,25
273,35
274,71
275,68
276,108
277,315
278,62
279,29
280,27
281,6
282,8
283,5
284,2
285,3
286,6
287,2
288,4
289,2
290,3
291,6
292,3
293,2
294,3
295,4
296,3
297,2
298,3
300,3
301,11
302,4
303,4
304,4
305,5
306,4
307,2
308,1
309,2
310,3
311,1
312,1
313,3
314,5
315,1
316,3
317,10
318,9
319,3
320,4
321,3
322,2
324,2
325,3
326,2
327,3
328,4
329,6
330,1
331,1
332,4
333,2
334,2
335,3
336,5
337,2
338,3
339,4
340,2
341,1
342,2
343,3
344,4
345,1
346,4
348,2
349,1
350,4
351,2
352,1
353,3
355,2
356,3
357,6
359,1
360,6
361,3
362,4
364,3
365,2
366,2
367,1
368,3
369,1
370,1
372,1
373,1
374,1
375,2
376,1
377,1
378,2
379,3
380,1
381,3
382,1
383,4
384,1
385,1
386,1
387,4
388,4
389,2
390,2
391,3
392,1
393,2
394,1
395,2
396,1
398,1
399,2
400,3
401,1
402,5
403,3
404,2
405,3
406,1
407,2
408,2
409,1
411,1
412,1
414,3
415,2
416,3
417,2
418,1
419,1
422,1
423,1
424,1
425,2
426,2
427,1
429,4
430,2
432,2
433,2
434,2
435,1
436,1
437,1
439,2
440,1
443,3
444,3
445,2
446,1
447,2
449,3
450,1
451,1
452,1
453,1
454,1
455,3
456,3
457,1
458,1
460,1
462,1
465,1
466,1
467,2
469,3
470,2
472,2
473,1
474,1
475,2
476,1
477,2
479,2
480,2
482,3
483,2
484,2
485,3
488,2
489,1
491,1
492,2
493,5
495,1
496,1
497,1
498,3
499,4
500,2
501,1
502,1
504,3
505,2
506,3
507,2
508,1
509,1
510,3
512,1
513,1
514,1
515,3
516,2
517,1
518,1
520,1
521,1
522,2
523,3
524,2
526,2
529,1
530,1
532,2
533,1
535,1
536,1
537,2
538,1
539,2
540,2
541,5
542,5
543,3
544,2
545,2
547,3
548,4
549,1
550,2
552,1
554,1
555,2
556,1
557,1
558,1
561,1
564,1
567,1
568,1
569,2
570,1
573,1
574,1
575,6
577,3
578,1
579,1
580,1
584,2
585,1
586,1
587,2
589,1
590,2
591,2
592,2
593,2
594,3
595,3
597,1
598,2
599,1
600,1
601,1
602,2
604,1
605,1
606,1
608,1
609,1
611,1
612,1
613,1
614,2
615,1
616,2
617,1
618,1
619,1
620,2
622,3
625,1
626,1
627,1
628,1
629,4
631,1
632,1
633,1
634,2
635,1
639,1
640,3
642,1
647,1
648,1
650,1
651,2
652,4
653,1
657,1
658,1
660,1
664,1
666,2
670,1
673,1
675,1
677,1
679,1
680,3
681,1
682,1
683,2
684,1
686,1
687,2
688,1
692,1
694,1
695,1
696,1
698,1
701,1
703,1
709,2
713,2
715,1
716,1
717,1
718,1
723,1
725,1
728,2
731,1
734,2
742,1
749,4
757,2
758,1
760,1
761,2
765,2
766,1
767,2
769,1
772,2
775,1
778,1
779,1
781,2
783,2
785,1
791,1
798,1
800,1
801,2
802,2
803,1
814,1
815,1
822,1
825,1
826,1
829,1
830,1
831,1
833,1
836,1
838,1
841,1
846,1
850,1
852,1
854,2
857,1
858,1
861,1
862,3
875,1
878,2
881,1
882,1
885,1
886,1
888,1
891,3
894,1
897,1
898,1
900,1
902,1
905,1
906,2
907,1
908,2
914,2
915,2
919,1
920,1
929,1
930,1
933,1
935,1
936,1
937,7
938,5
939,2
941,1
944,1
952,1
958,1
963,1
966,1
971,1
973,1
983,2
986,2
993,1
994,1
997,2
1002,1
1006,1
1016,1
1021,1
1022,1
1024,1
1028,1
1031,1
1033,1
1040,1
1043,1
1059,1
1068,1
1069,1
1075,1
1077,1
1079,1
1093,1
1094,1
1097,1
1105,1
1106,2
1108,1
1115,1
1118,2
1124,2
1149,1
1151,1
1158,1
1162,1
1163,1
1171,1
1177,1
1181,1
1188,1
1189,2
1195,1

