seq_score,mapped,occurence
41.15,0.0,1.0
42.81,0.0,1.0
43.21,0.0,1.0
43.8,0.0,1.0
44.12,0.0,1.0
44.98,0.0,1.0
46.15,0.0,1.0
46.66,1.0,1.0
47.39,1.0,1.0
47.62,0.0,1.0
47.65,0.0,1.0
47.75,0.0,1.0
47.98,1.0,1.0
48.2,1.0,1.0
48.46,1.0,1.0
48.5,0.0,1.0
48.69,0.0,1.0
48.9,0.0,1.0
48.93,1.0,1.0
49.07,1.0,1.0
49.09,1.0,1.0
49.23,0.0,1.0
49.27,0.0,1.0
49.5,1.0,1.0
49.52,0.0,1.0
49.71,0.0,1.0
50.02,0.0,1.0
50.09,1.0,1.0
50.26,1.0,1.0
50.28,1.0,1.0
50.31,0.0,1.0
50.32,1.0,1.0
50.38,1.0,1.0
50.42,1.0,1.0
50.48,0.0,1.0
50.52,0.0,2.0
50.7,0.0,1.0
50.87,1.0,1.0
51.17,0.0,1.0
51.17,1.0,1.0
51.23,1.0,1.0
51.27,0.0,1.0
51.37,0.0,1.0
51.97,0.0,1.0
52.04,1.0,1.0
52.06,0.0,1.0
52.06,1.0,1.0
52.28,0.0,1.0
52.35,1.0,2.0
52.42,0.0,1.0
52.42,1.0,1.0
52.48,1.0,1.0
52.53,1.0,1.0
52.56,0.0,1.0
52.56,1.0,1.0
52.7,1.0,1.0
52.73,0.0,1.0
52.94,1.0,1.0
53.01,0.0,1.0
53.13,0.0,1.0
53.34,0.0,1.0
53.43,1.0,1.0
53.54,0.0,1.0
53.68,1.0,1.0
53.69,1.0,1.0
53.74,1.0,1.0
53.83,0.0,1.0
53.87,1.0,1.0
53.91,1.0,1.0
53.98,0.0,1.0
54.04,1.0,1.0
54.13,1.0,1.0
54.18,0.0,1.0
54.23,1.0,1.0
54.46,1.0,1.0
54.49,0.0,1.0
54.49,1.0,1.0
54.63,1.0,1.0
54.69,1.0,1.0
54.72,0.0,1.0
54.83,0.0,1.0
55.03,0.0,1.0
55.04,0.0,1.0
55.07,0.0,1.0
55.12,1.0,1.0
55.18,1.0,1.0
55.31,1.0,1.0
55.4,1.0,1.0
55.48,1.0,1.0
55.5,0.0,1.0
55.5,1.0,1.0
55.66,1.0,2.0
55.67,1.0,1.0
55.68,1.0,1.0
55.69,0.0,1.0
55.7,1.0,1.0
55.82,1.0,1.0
55.83,1.0,1.0
55.99,0.0,1.0
56.12,1.0,1.0
56.31,0.0,1.0
56.36,0.0,1.0
56.4,0.0,1.0
56.43,1.0,1.0
56.44,1.0,1.0
56.47,0.0,1.0
56.55,0.0,1.0
56.56,1.0,1.0
56.74,1.0,1.0
56.77,1.0,1.0
56.83,1.0,1.0
56.84,1.0,1.0
56.9,0.0,1.0
56.99,1.0,1.0
57.05,1.0,1.0
57.11,1.0,1.0
57.22,1.0,1.0
57.23,0.0,1.0
57.27,0.0,1.0
57.29,0.0,1.0
57.33,1.0,1.0
57.37,0.0,1.0
57.38,1.0,2.0
57.4,1.0,1.0
57.41,1.0,1.0
57.43,1.0,1.0
57.48,0.0,1.0
57.49,1.0,1.0
57.53,0.0,1.0
57.55,0.0,1.0
57.58,1.0,1.0
57.62,0.0,1.0
57.64,1.0,1.0
57.68,1.0,1.0
57.7,1.0,1.0
57.72,1.0,1.0
57.73,1.0,2.0
57.79,0.0,1.0
57.81,1.0,1.0
57.91,1.0,1.0
57.96,1.0,1.0
58.03,1.0,1.0
58.05,1.0,1.0
58.08,1.0,1.0
58.11,1.0,1.0
58.17,1.0,1.0
58.19,1.0,1.0
58.2,0.0,1.0
58.24,1.0,1.0
58.25,1.0,1.0
58.33,1.0,2.0
58.41,1.0,1.0
58.46,1.0,1.0
58.5,1.0,1.0
58.53,0.0,1.0
58.55,0.0,2.0
58.56,1.0,1.0
58.57,1.0,1.0
58.59,1.0,1.0
58.61,0.0,1.0
58.64,1.0,1.0
58.71,1.0,1.0
58.77,1.0,1.0
58.82,0.0,1.0
58.83,1.0,1.0
58.85,1.0,1.0
58.91,0.0,1.0
58.91,1.0,1.0
58.94,0.0,1.0
59.01,1.0,1.0
59.05,0.0,1.0
59.06,1.0,1.0
59.13,1.0,1.0
59.15,1.0,1.0
59.19,1.0,1.0
59.2,1.0,1.0
59.25,1.0,2.0
59.27,0.0,1.0
59.27,1.0,1.0
59.32,1.0,1.0
59.36,0.0,1.0
59.38,0.0,1.0
59.38,1.0,1.0
59.39,0.0,1.0
59.41,1.0,1.0
59.44,1.0,1.0
59.55,1.0,2.0
59.6,1.0,1.0
59.61,1.0,1.0
59.63,0.0,1.0
59.65,1.0,1.0
59.69,0.0,1.0
59.72,0.0,1.0
59.76,0.0,1.0
59.78,1.0,1.0
59.8,1.0,1.0
59.83,1.0,1.0
59.88,1.0,1.0
59.94,0.0,1.0
59.94,1.0,1.0
59.95,0.0,1.0
59.96,0.0,1.0
59.98,0.0,1.0
59.99,1.0,1.0
60.0,0.0,1.0
60.02,1.0,1.0
60.05,0.0,1.0
60.07,1.0,1.0
60.09,1.0,1.0
60.1,0.0,1.0
60.11,0.0,2.0
60.14,1.0,2.0
60.18,0.0,1.0
60.2,1.0,1.0
60.21,0.0,1.0
60.26,0.0,1.0
60.26,1.0,1.0
60.28,0.0,1.0
60.28,1.0,1.0
60.29,1.0,2.0
60.32,0.0,1.0
60.37,1.0,1.0
60.4,0.0,1.0
60.41,1.0,1.0
60.42,0.0,1.0
60.42,1.0,1.0
60.43,1.0,1.0
60.44,1.0,1.0
60.46,1.0,3.0
60.47,0.0,1.0
60.47,1.0,2.0
60.49,1.0,1.0
60.5,1.0,2.0
60.52,1.0,2.0
60.57,0.0,1.0
60.57,1.0,1.0
60.65,1.0,1.0
60.66,0.0,1.0
60.67,0.0,1.0
60.67,1.0,3.0
60.71,0.0,1.0
60.73,0.0,1.0
60.73,1.0,1.0
60.74,1.0,2.0
60.75,1.0,1.0
60.76,0.0,1.0
60.77,1.0,1.0
60.79,0.0,1.0
60.83,0.0,1.0
60.83,1.0,1.0
60.84,1.0,1.0
60.86,1.0,1.0
60.88,0.0,1.0
60.89,1.0,2.0
60.92,0.0,1.0
60.93,1.0,2.0
60.94,0.0,1.0
60.95,1.0,2.0
60.97,0.0,2.0
60.98,0.0,1.0
61.02,1.0,3.0
61.03,0.0,1.0
61.04,1.0,2.0
61.06,0.0,1.0
61.09,0.0,1.0
61.09,1.0,1.0
61.12,1.0,1.0
61.13,1.0,1.0
61.15,0.0,1.0
61.15,1.0,2.0
61.16,0.0,1.0
61.16,1.0,1.0
61.17,0.0,1.0
61.19,1.0,1.0
61.22,1.0,1.0
61.23,1.0,3.0
61.25,1.0,1.0
61.26,0.0,1.0
61.27,0.0,2.0
61.3,0.0,1.0
61.3,1.0,1.0
61.31,0.0,1.0
61.32,0.0,1.0
61.33,1.0,1.0
61.36,1.0,1.0
61.37,0.0,1.0
61.4,1.0,1.0
61.44,1.0,1.0
61.46,0.0,1.0
61.47,0.0,1.0
61.47,1.0,2.0
61.48,1.0,1.0
61.49,1.0,1.0
61.5,0.0,1.0
61.51,0.0,1.0
61.53,0.0,1.0
61.53,1.0,1.0
61.54,0.0,1.0
61.55,0.0,1.0
61.56,0.0,1.0
61.59,0.0,2.0
61.59,1.0,1.0
61.6,1.0,1.0
61.61,1.0,1.0
61.64,1.0,1.0
61.66,1.0,1.0
61.68,1.0,2.0
61.69,1.0,1.0
61.7,1.0,1.0
61.71,1.0,1.0
61.72,0.0,1.0
61.74,0.0,1.0
61.76,0.0,1.0
61.77,0.0,2.0
61.78,0.0,1.0
61.79,1.0,1.0
61.8,0.0,1.0
61.82,1.0,1.0
61.85,1.0,1.0
61.88,0.0,2.0
61.91,1.0,2.0
61.93,1.0,1.0
61.94,1.0,2.0
61.95,0.0,1.0
61.97,1.0,1.0
61.98,1.0,1.0
62.0,0.0,1.0
62.0,1.0,1.0
62.02,0.0,1.0
62.03,0.0,2.0
62.04,1.0,1.0
62.05,0.0,1.0
62.06,0.0,1.0
62.07,1.0,1.0
62.08,1.0,1.0
62.1,0.0,1.0
62.1,1.0,1.0
62.14,1.0,1.0
62.15,1.0,1.0
62.19,0.0,1.0
62.19,1.0,1.0
62.2,0.0,1.0
62.2,1.0,1.0
62.22,1.0,1.0
62.23,0.0,1.0
62.24,1.0,1.0
62.25,0.0,1.0
62.28,0.0,1.0
62.29,1.0,1.0
62.3,0.0,1.0
62.31,0.0,1.0
62.31,1.0,1.0
62.32,1.0,2.0
62.34,0.0,1.0
62.34,1.0,1.0
62.37,0.0,1.0
62.38,1.0,2.0
62.4,1.0,1.0
62.41,0.0,1.0
62.42,0.0,1.0
62.43,1.0,1.0
62.44,0.0,1.0
62.44,1.0,1.0
62.45,0.0,1.0
62.45,1.0,2.0
62.46,1.0,1.0
62.47,0.0,1.0
62.47,1.0,2.0
62.48,1.0,1.0
62.5,1.0,1.0
62.51,1.0,2.0
62.52,1.0,1.0
62.54,1.0,1.0
62.57,1.0,2.0
62.59,0.0,1.0
62.6,1.0,1.0
62.63,0.0,1.0
62.64,0.0,1.0
62.64,1.0,2.0
62.65,0.0,1.0
62.65,1.0,1.0
62.66,1.0,1.0
62.67,0.0,1.0
62.67,1.0,1.0
62.7,1.0,1.0
62.71,1.0,1.0
62.73,1.0,2.0
62.77,1.0,1.0
62.78,1.0,2.0
62.79,1.0,1.0
62.8,1.0,1.0
62.81,1.0,1.0
62.82,1.0,1.0
62.83,0.0,1.0
62.83,1.0,1.0
62.84,0.0,1.0
62.85,1.0,2.0
62.86,1.0,2.0
62.88,0.0,1.0
62.88,1.0,1.0
62.89,0.0,1.0
62.89,1.0,2.0
62.93,0.0,1.0
62.94,1.0,1.0
62.95,1.0,1.0
62.96,1.0,1.0
62.97,0.0,2.0
62.97,1.0,2.0
62.99,1.0,1.0
63.03,1.0,1.0
63.04,1.0,1.0
63.05,1.0,2.0
63.06,1.0,1.0
63.07,1.0,1.0
63.08,1.0,1.0
63.09,0.0,1.0
63.09,1.0,3.0
63.1,0.0,2.0
63.13,0.0,1.0
63.13,1.0,2.0
63.15,1.0,2.0
63.16,0.0,2.0
63.16,1.0,1.0
63.18,0.0,1.0
63.19,1.0,1.0
63.2,1.0,1.0
63.21,0.0,3.0
63.21,1.0,1.0
63.22,1.0,1.0
63.23,1.0,1.0
63.25,0.0,2.0
63.25,1.0,2.0
63.29,1.0,2.0
63.3,0.0,1.0
63.31,0.0,2.0
63.31,1.0,1.0
63.32,0.0,3.0
63.32,1.0,3.0
63.33,0.0,2.0
63.33,1.0,1.0
63.34,0.0,1.0
63.35,0.0,2.0
63.37,0.0,1.0
63.37,1.0,1.0
63.38,0.0,3.0
63.38,1.0,2.0
63.39,0.0,1.0
63.4,0.0,1.0
63.4,1.0,1.0
63.42,1.0,3.0
63.43,0.0,1.0
63.44,0.0,1.0
63.48,1.0,1.0
63.49,1.0,1.0
63.5,0.0,2.0
63.51,0.0,1.0
63.54,0.0,3.0
63.54,1.0,1.0
63.55,1.0,1.0
63.56,1.0,2.0
63.57,0.0,1.0
63.58,0.0,1.0
63.59,0.0,2.0
63.59,1.0,1.0
63.61,1.0,1.0
63.62,0.0,1.0
