GC_content,occurence
18.17,1.0
24.98,1.0
27.38,1.0
29.8,1.0
30.83,1.0
30.84,1.0
30.99,1.0
31.11,1.0
31.28,1.0
31.49,2.0
31.55,1.0
31.64,1.0
31.67,1.0
31.75,1.0
31.87,1.0
32.09,1.0
32.19,1.0
32.24,1.0
32.46,1.0
33.57,1.0
33.63,1.0
33.75,1.0
33.77,1.0
33.84,1.0
33.89,1.0
33.99,1.0
34.0,1.0
34.27,1.0
34.29,1.0
34.33,1.0
34.41,1.0
34.47,1.0
34.55,1.0
34.59,1.0
34.62,3.0
34.64,2.0
34.77,1.0
34.84,1.0
35.09,1.0
35.28,1.0
35.29,1.0
35.32,1.0
35.34,1.0
35.38,1.0
35.42,1.0
35.43,1.0
35.52,1.0
35.78,1.0
35.89,1.0
35.91,1.0
35.96,1.0
35.98,1.0
36.11,1.0
36.2,1.0
36.25,1.0
36.41,1.0
36.61,1.0
36.7,1.0
36.73,1.0
36.77,1.0
36.81,1.0
36.87,1.0
36.88,1.0
36.95,1.0
37.02,1.0
37.16,1.0
37.22,1.0
37.33,1.0
37.52,1.0
37.62,1.0
37.64,1.0
37.65,1.0
37.79,1.0
37.86,1.0
37.96,1.0
38.0,3.0
38.06,1.0
38.21,1.0
38.3,1.0
38.31,1.0
38.32,1.0
38.37,1.0
38.39,3.0
38.52,1.0
38.53,2.0
38.59,1.0
38.6,1.0
38.62,1.0
38.64,1.0
38.71,1.0
38.79,2.0
38.8,1.0
38.83,1.0
38.93,1.0
38.95,1.0
39.0,1.0
39.04,1.0
39.05,2.0
39.08,1.0
39.17,2.0
39.26,1.0
39.3,1.0
39.38,1.0
39.41,1.0
39.44,1.0
39.45,1.0
39.46,3.0
39.48,2.0
39.52,3.0
39.53,1.0
39.54,1.0
39.56,4.0
39.59,1.0
39.6,1.0
39.63,5.0
39.64,2.0
39.68,1.0
39.7,1.0
39.71,1.0
39.73,1.0
39.74,5.0
39.78,1.0
39.81,1.0
39.85,2.0
39.86,1.0
39.87,1.0
39.88,1.0
39.89,1.0
39.93,1.0
39.94,1.0
39.97,1.0
39.98,1.0
40.0,3.0
40.03,1.0
40.04,1.0
40.08,2.0
40.11,1.0
40.16,1.0
40.18,1.0
40.19,1.0
40.2,1.0
40.27,1.0
40.28,2.0
40.3,3.0
40.31,1.0
40.39,1.0
40.4,1.0
40.41,1.0
40.42,1.0
40.45,1.0
40.48,3.0
40.49,1.0
40.52,1.0
40.55,2.0
40.56,1.0
40.59,1.0
40.62,1.0
40.65,1.0
40.66,1.0
40.68,1.0
40.69,1.0
40.72,1.0
40.74,4.0
40.75,1.0
40.76,2.0
40.77,1.0
40.8,1.0
40.81,1.0
40.83,2.0
40.85,3.0
40.88,2.0
40.89,1.0
40.9,1.0
40.91,3.0
40.93,2.0
40.96,1.0
40.99,3.0
41.0,2.0
41.01,3.0
41.02,1.0
41.05,2.0
41.07,2.0
41.11,1.0
41.14,1.0
41.15,1.0
41.17,1.0
41.18,2.0
41.2,1.0
41.21,2.0
41.22,1.0
41.23,1.0
41.24,2.0
41.25,4.0
41.31,1.0
41.36,3.0
41.37,1.0
41.39,1.0
41.41,2.0
41.43,1.0
41.44,3.0
41.45,1.0
41.47,1.0
41.49,1.0
41.5,1.0
41.51,2.0
41.53,1.0
41.55,1.0
41.57,2.0
41.61,2.0
41.62,2.0
41.64,2.0
41.67,1.0
41.69,1.0
41.7,2.0
41.72,2.0
41.75,2.0
41.77,1.0
41.78,1.0
41.8,1.0
41.81,1.0
41.83,1.0
41.84,1.0
41.85,2.0
41.88,3.0
41.9,2.0
41.94,2.0
41.96,1.0
41.97,2.0
42.03,2.0
42.04,1.0
42.06,2.0
42.09,1.0
42.11,1.0
42.12,2.0
42.14,18.0
42.17,2.0
42.19,1.0
42.21,2.0
42.22,1.0
42.23,1.0
42.26,2.0
42.29,2.0
42.31,2.0
42.32,1.0
42.33,2.0
42.34,1.0
42.35,2.0
42.36,3.0
42.38,1.0
42.39,2.0
42.4,1.0
42.41,4.0
42.43,2.0
42.45,3.0
42.47,4.0
42.48,2.0
42.52,1.0
42.55,1.0
42.56,2.0
42.57,2.0
42.59,1.0
42.6,1.0
42.62,6.0
42.64,1.0
42.66,1.0
42.68,3.0
42.71,2.0
42.72,3.0
42.73,3.0
42.74,2.0
42.75,1.0
42.76,4.0
42.79,5.0
42.81,2.0
42.82,1.0
42.83,1.0
42.86,6.0
42.89,1.0
42.9,2.0
42.91,1.0
42.92,2.0
42.93,2.0
42.95,14.0
42.97,2.0
42.98,1.0
42.99,2.0
43.0,1.0
43.01,2.0
43.02,1.0
43.03,3.0
43.04,4.0
43.05,2.0
43.06,2.0
43.07,4.0
43.08,3.0
43.09,5.0
43.11,1.0
43.12,4.0
43.14,1.0
43.15,1.0
43.17,2.0
43.18,2.0
43.19,3.0
43.2,2.0
43.21,1.0
43.22,2.0
43.23,4.0
43.25,2.0
43.26,1.0
43.27,1.0
43.28,21.0
43.3,1.0
43.31,3.0
43.32,6.0
43.33,2.0
43.34,1.0
43.36,1.0
43.37,3.0
43.38,6.0
43.39,1.0
43.4,3.0
43.42,10.0
43.43,1.0
43.44,1.0
43.46,1.0
43.47,2.0
43.48,1.0
43.49,1.0
43.5,1.0
43.51,3.0
43.52,5.0
43.53,3.0
43.54,4.0
43.56,5.0
43.58,5.0
43.59,3.0
43.61,7.0
43.62,1.0
43.63,1.0
43.64,3.0
43.65,2.0
43.66,2.0
43.67,5.0
43.69,1.0
43.7,1.0
43.71,2.0
43.72,1.0
43.73,3.0
43.75,7.0
43.77,2.0
43.78,3.0
43.79,2.0
43.8,3.0
43.81,1.0
43.82,2.0
43.83,1.0
43.84,2.0
43.85,4.0
43.86,1.0
43.87,2.0
43.88,3.0
43.89,6.0
43.9,1.0
43.91,3.0
43.92,1.0
43.93,9.0
43.95,3.0
43.96,1.0
43.97,1.0
43.98,1.0
43.99,1.0
44.0,4.0
44.01,2.0
44.02,1.0
44.03,2.0
44.04,2.0
44.05,1.0
44.06,1.0
44.07,1.0
44.08,2.0
44.09,2.0
44.1,1.0
44.11,3.0
44.12,3.0
44.13,1.0
44.14,5.0
44.15,2.0
44.16,1.0
44.17,2.0
44.19,3.0
44.2,2.0
44.21,1.0
44.22,2.0
44.23,4.0
44.25,1.0
44.26,6.0
44.27,1.0
44.28,1.0
44.3,1.0
44.31,2.0
44.32,3.0
44.33,1.0
44.34,1.0
44.35,1.0
44.36,1.0
44.38,2.0
44.39,3.0
44.4,3.0
44.43,2.0
44.44,6.0
44.48,3.0
44.5,1.0
44.51,2.0
44.52,3.0
44.53,2.0
44.54,1.0
44.56,2.0
44.57,2.0
44.58,2.0
44.59,3.0
44.61,1.0
44.62,1.0
44.63,5.0
44.64,2.0
44.65,1.0
44.66,2.0
44.67,1.0
44.68,2.0
44.69,2.0
44.7,1.0
44.71,2.0
44.72,4.0
44.74,1.0
44.75,3.0
44.76,3.0
44.77,2.0
44.78,1.0
44.79,1.0
44.8,1.0
44.81,2.0
44.83,2.0
44.84,1.0
44.85,1.0
44.86,2.0
44.87,2.0
44.88,1.0
44.89,2.0
44.9,1.0
44.93,3.0
44.94,1.0
44.95,1.0
44.98,3.0
44.99,1.0
45.0,4.0
45.01,1.0
45.02,1.0
45.03,3.0
