GC_content,occurence
32.7,1.0
33.52,1.0
35.85,1.0
36.05,1.0
39.24,1.0
39.94,1.0
40.1,1.0
40.36,1.0
40.38,2.0
40.51,1.0
40.74,1.0
40.8,1.0
40.81,1.0
40.83,1.0
40.86,1.0
40.92,1.0
40.95,1.0
40.96,1.0
41.01,1.0
41.03,1.0
41.09,1.0
41.12,1.0
41.13,1.0
41.14,1.0
41.17,1.0
41.18,3.0
41.23,4.0
41.25,1.0
41.29,2.0
41.33,2.0
41.35,1.0
41.36,1.0
41.38,1.0
41.41,1.0
41.42,3.0
41.45,1.0
41.46,2.0
41.49,2.0
41.5,2.0
41.51,2.0
41.52,1.0
41.53,2.0
41.54,2.0
41.55,1.0
41.57,2.0
41.58,1.0
41.59,1.0
41.6,1.0
41.61,2.0
41.62,3.0
41.63,2.0
41.64,5.0
41.67,4.0
41.69,1.0
41.7,1.0
41.71,1.0
41.72,2.0
41.74,1.0
41.75,2.0
41.76,2.0
41.77,2.0
41.78,3.0
41.79,1.0
41.81,2.0
41.82,3.0
41.83,1.0
41.84,2.0
41.85,1.0
41.86,2.0
41.87,1.0
41.89,2.0
41.9,1.0
41.91,2.0
41.92,2.0
41.93,1.0
41.94,4.0
41.95,3.0
41.97,3.0
41.98,2.0
41.99,1.0
42.0,3.0
42.01,1.0
42.02,1.0
42.03,2.0
42.04,2.0
42.05,5.0
42.06,1.0
42.07,1.0
42.08,1.0
42.09,3.0
42.1,2.0
42.11,1.0
42.12,1.0
42.13,1.0
42.14,1.0
42.17,1.0
42.18,2.0
42.19,2.0
42.2,1.0
42.24,2.0
42.25,1.0
42.26,2.0
42.27,4.0
42.3,1.0
42.31,1.0
42.32,4.0
42.33,1.0
42.34,1.0
42.35,1.0
42.36,1.0
42.37,1.0
42.38,1.0
42.39,2.0
42.4,2.0
42.41,2.0
42.43,1.0
42.45,2.0
42.46,1.0
42.49,1.0
42.5,1.0
42.51,2.0
42.52,2.0
42.53,2.0
42.54,1.0
42.59,2.0
42.6,1.0
42.61,3.0
42.62,2.0
42.63,3.0
42.64,2.0
42.66,2.0
42.67,2.0
42.68,2.0
42.69,2.0
42.7,1.0
42.72,2.0
42.73,1.0
42.74,3.0
42.75,3.0
42.76,2.0
42.77,1.0
42.78,3.0
42.8,1.0
42.81,2.0
42.82,4.0
42.84,2.0
42.86,10.0
42.87,1.0
42.89,1.0
42.9,2.0
42.91,3.0
42.92,3.0
42.93,2.0
42.94,2.0
42.95,3.0
42.96,2.0
42.97,3.0
42.98,3.0
42.99,2.0
43.01,2.0
43.02,3.0
43.03,1.0
43.05,2.0
43.06,1.0
43.07,3.0
43.08,4.0
43.09,2.0
43.1,2.0
43.11,2.0
43.12,3.0
43.14,1.0
43.15,1.0
43.16,5.0
43.18,3.0
43.19,3.0
43.2,3.0
43.21,1.0
43.22,4.0
43.23,4.0
43.24,1.0
43.25,1.0
43.26,5.0
43.28,3.0
43.3,2.0
43.31,2.0
43.32,1.0
43.33,2.0
43.34,2.0
43.35,8.0
43.36,3.0
43.37,2.0
43.38,1.0
43.39,2.0
43.4,2.0
43.41,8.0
43.42,2.0
43.43,2.0
43.44,4.0
43.45,3.0
43.46,4.0
43.47,5.0
43.48,5.0
43.49,1.0
43.5,1.0
43.51,1.0
43.52,1.0
43.53,6.0
43.54,3.0
43.55,3.0
43.56,2.0
43.57,4.0
43.58,2.0
43.59,2.0
43.6,6.0
43.61,3.0
43.63,5.0
43.64,1.0
43.65,6.0
43.66,3.0
43.67,4.0
43.68,1.0
43.69,2.0
43.7,2.0
43.71,11.0
43.72,5.0
43.73,3.0
43.74,3.0
43.75,1.0
43.76,6.0
43.77,3.0
43.79,5.0
43.8,3.0
43.81,3.0
43.82,5.0
43.83,3.0
43.84,6.0
43.85,3.0
43.86,3.0
43.87,2.0
43.88,3.0
43.89,2.0
43.9,1.0
43.91,4.0
43.92,2.0
43.93,4.0
43.94,6.0
43.95,6.0
43.96,6.0
43.97,4.0
43.98,8.0
43.99,2.0
44.0,6.0
44.01,3.0
44.02,2.0
44.03,3.0
44.04,3.0
44.05,3.0
44.06,4.0
44.07,5.0
44.08,3.0
44.09,11.0
44.1,5.0
44.11,2.0
44.12,6.0
44.13,4.0
44.14,2.0
44.15,4.0
44.16,6.0
44.17,3.0
44.18,4.0
44.19,6.0
44.2,4.0
44.21,4.0
44.22,4.0
44.23,4.0
44.24,3.0
44.25,6.0
44.26,2.0
44.27,4.0
44.28,1.0
44.29,5.0
44.3,6.0
44.31,3.0
44.32,3.0
44.33,6.0
44.34,3.0
44.35,4.0
44.36,6.0
44.37,3.0
44.38,11.0
44.39,9.0
44.4,6.0
44.41,4.0
44.42,9.0
44.44,5.0
44.46,3.0
44.47,7.0
44.48,1.0
44.49,6.0
44.5,3.0
44.51,7.0
44.52,4.0
44.53,6.0
44.54,6.0
44.55,6.0
44.56,6.0
44.57,3.0
44.58,8.0
44.59,5.0
44.6,2.0
44.61,5.0
44.62,9.0
44.63,6.0
44.64,6.0
44.65,5.0
44.66,6.0
44.67,3.0
44.68,5.0
44.69,3.0
44.7,3.0
44.71,7.0
44.72,7.0
44.73,4.0
44.74,9.0
44.76,3.0
44.77,6.0
44.78,5.0
44.79,12.0
44.8,6.0
44.81,11.0
44.82,2.0
44.83,6.0
44.84,11.0
44.85,2.0
44.86,7.0
44.87,6.0
44.88,1.0
44.89,6.0
44.9,2.0
44.91,5.0
44.92,4.0
44.93,3.0
44.94,6.0
44.95,1.0
44.96,3.0
44.97,4.0
44.98,3.0
44.99,3.0
45.0,13.0
45.01,2.0
45.02,7.0
45.03,10.0
45.04,4.0
45.05,14.0
45.06,9.0
45.07,3.0
45.08,6.0
45.09,4.0
45.1,4.0
45.11,9.0
45.12,3.0
45.13,6.0
45.14,5.0
45.15,3.0
45.16,8.0
45.17,3.0
45.18,5.0
45.19,5.0
45.2,5.0
45.21,3.0
45.22,2.0
45.23,13.0
45.24,5.0
45.25,9.0
45.26,5.0
45.27,6.0
45.28,6.0
45.29,7.0
45.3,3.0
45.31,9.0
45.32,4.0
45.33,11.0
45.34,9.0
45.35,14.0
45.36,8.0
45.37,1.0
45.38,11.0
45.39,8.0
45.4,2.0
45.41,7.0
45.42,3.0
45.43,6.0
45.44,1.0
45.45,20.0
45.47,2.0
45.48,4.0
45.49,4.0
45.5,8.0
45.51,3.0
45.52,4.0
45.53,5.0
45.54,3.0
45.55,1.0
45.56,7.0
45.57,4.0
45.58,4.0
45.59,6.0
45.6,6.0
45.61,12.0
45.62,3.0
45.63,3.0
45.64,8.0
45.65,6.0
45.66,14.0
45.67,4.0
45.68,2.0
45.69,7.0
45.7,11.0
45.71,12.0
45.72,2.0
45.73,2.0
45.74,12.0
45.75,16.0
45.76,3.0
45.77,1.0
45.78,2.0
45.79,2.0
45.8,3.0
45.81,3.0
45.82,5.0
45.83,5.0
45.84,1.0
45.85,3.0
45.86,16.0
45.87,1.0
45.88,2.0
45.89,6.0
45.9,5.0
45.91,4.0
45.92,8.0
45.93,9.0
45.94,1.0
45.95,10.0
45.96,2.0
45.97,6.0
45.98,11.0
45.99,14.0
46.0,14.0
46.01,4.0
46.02,3.0
46.03,3.0
46.04,6.0
46.05,6.0
46.06,20.0
46.07,7.0
46.08,6.0
46.09,7.0
46.1,3.0
46.11,1.0
46.12,6.0
46.13,4.0
46.15,12.0
46.16,1.0
46.17,2.0
46.18,16.0
46.19,3.0
46.2,9.0
46.21,10.0
46.22,6.0
46.23,10.0
46.24,26.0
46.25,4.0
46.27,3.0
46.28,7.0
46.29,5.0
46.3,4.0
46.31,3.0
46.32,3.0
46.33,4.0
46.34,6.0
46.35,5.0
46.36,8.0
46.37,10.0
46.38,2.0
46.39,8.0
46.4,1.0
46.41,8.0
46.42,7.0
46.43,4.0
46.44,3.0
46.45,12.0
46.46,2.0
46.47,9.0
46.48,7.0
46.49,12.0
46.5,7.0
46.51,4.0
46.52,13.0
46.53,5.0
46.54,6.0
46.55,9.0
46.56,3.0
46.57,1.0
46.58,15.0
46.59,6.0
46.6,2.0
46.61,4.0
46.62,2.0
46.63,5.0
46.64,6.0
46.65,2.0
46.67,38.0
46.68,1.0
46.69,35.0
46.7,7.0
46.71,13.0
46.72,6.0
46.73,4.0
46.74,24.0
46.75,5.0
46.76,5.0
46.77,20.0
46.78,2.0
46.79,6.0
46.8,2.0
46.81,16.0
46.82,7.0
46.83,6.0
46.84,6.0
46.85,8.0
46.86,8.0
46.88,9.0
46.89,3.0
46.9,4.0
46.92,19.0
46.93,8.0
46.94,4.0
46.95,9.0
46.96,7.0
46.97,3.0
46.98,2.0
46.99,9.0
47.0,5.0
47.01,3.0
47.02,17.0
47.03,26.0
