Read_ID	Length	GC_content	Avg_Quality	Mapping_Quality
8af65e06-ef14-4767-bba6-d2462c793d14	114	49.12	8.04	60
8af65e06-ef14-4767-bba6-d2462c793d14	633	54.03	12.84	60
4957cf94-8178-4c4e-8137-fd70966f3d14	266	50.75	8.93	60
f7ea5ebb-a14e-4581-b12f-53be6e6378e9	226	50.44	5.40	27
1c90a88e-b1e6-44f7-b95f-eabc2c0b26fa	247	51.01	6.97	60
0f9f120a-ed09-45de-9cd4-6642018f638a	752	48.40	5.92	60
b8035944-2352-4b6d-829b-6fdbd8548ffd	560	55.89	12.93	60
7a632a14-ee5e-4bb8-87ce-20d8ea428f45	283	48.41	7.45	60
adc7ede6-2436-4827-b9a1-1dd3a21659be	228	52.19	12.53	0
7bb299af-20ce-49b5-82f8-2a216b7dbd32	929	47.58	8.84	0
4767326f-5303-42b8-b012-2cda18b3c8b6	288	52.08	13.37	0
edf37328-4aed-424a-834e-e527ee30f861	179	45.25	11.16	0
d8626116-9852-4dfa-9453-f49f3f04e1a8	483	42.24	11.71	0
ed53017d-a43e-4702-becd-39a5b7e22c36	261	51.72	8.43	0
d4a91248-9024-4277-9076-10060209529c	210	51.90	14.00	0
9b56c8aa-bce6-46b5-adda-942660551b15	721	45.63	10.33	0
b673e277-3786-4b9c-bfb1-ee38c3de7b80	259	49.03	12.58	0
3b9ccc0a-2c3f-4954-8dbd-1f3e7f1dd09b	458	42.58	11.99	0
daf992ab-4b12-4dc8-bc32-c8e49dcc9ac1	176	50.57	4.19	0
ea4a2f28-77fa-4db3-a4a4-ffda1efef799	201	46.27	11.34	0
262c4bfc-3f20-4308-8471-5ecf3c995453	201	51.24	9.59	0
7e8bf649-3ebf-4402-882d-e37ccf2f8a35	690	48.41	11.70	0
55c50bb0-9fe0-4904-b583-9483e46e18ca	163	51.53	14.36	0
282ac835-d0ec-4577-a2ad-d91af01d13a4	296	39.53	11.49	0
c153339a-2a56-453a-88da-3037ba816750	797	45.92	11.97	0
16734654-bc79-418e-9b2b-275b5f1289ef	150	37.33	10.35	0
1ea90709-23be-4746-a7d5-2d7c4761fe73	383	49.61	12.20	0
c23c2aee-1bc1-4916-b46b-394a5b9d004c	771	45.01	13.52	0
f2d293d0-b0d4-46c4-86b0-f2501ecd78b2	794	46.47	12.25	0
81758ca2-fe09-4a82-bcd0-422bffd58f1b	161	50.31	8.55	0
2a5a59b4-bed0-4d5a-b7e9-2cfc2b3d9d74	183	51.37	13.12	0
64572498-f999-487e-80a0-91cb4dfe8504	1149	42.12	18.17	0
dd2a878a-62f5-4145-9936-3ba1df8650f0	384	41.93	18.88	0
0fa8cf15-43ff-40dc-b5ae-0b4cb9fed952	389	42.67	14.02	0
e74eb036-31d0-42e6-b6c0-7df642917669	394	59.90	13.21	0
20b65b27-d653-4f12-9abe-194e1dfb8b50	288	51.39	13.64	0
37101edb-21ed-4731-8dca-5ea8ba42abc6	682	42.08	11.73	0
f886dffa-239d-4605-9fff-27db868f824b	215	42.79	9.22	0
ffe9d183-f1c5-4dd5-b38a-0b6466028617	360	38.06	8.44	0
10286324-7f51-4b8e-bd34-eb18ddb41968	184	50.54	8.26	0
94ee1e63-79d8-409b-8cfb-506e6e593726	164	37.80	7.21	0
b89e6689-6e23-45a5-b668-a4adfa63d386	202	41.09	7.02	0
82aba4dd-c436-45ee-ab3a-79a0971f3a4b	186	50.00	13.96	0
87025969-c8b2-44bf-8154-d12c0608d1c1	282	45.74	14.37	0
24cbdae4-da90-47a9-b1c1-9a1aa2f40604	157	47.77	12.43	0
ed59eca9-d35f-4fa9-93cf-b980ba69ea71	153	52.94	12.54	0
605c9f16-26a5-41ce-b217-c3f2f35abb83	1199	38.87	24.58	0
061837b4-72a3-4bec-9017-5f2d7d588273	529	42.34	12.62	0
66377c99-a09b-40a4-9d59-629e827fd88f	283	39.58	12.08	0
f25a2351-648c-4219-82f0-b8a2a4a05662	356	52.53	5.24	0
6e7f1067-f149-43ca-8707-76d8a501a3df	1167	47.73	11.00	0
4ff78f1b-e9f3-4170-8518-2634e41c3711	222	49.55	10.70	0
