GC_content,mapped,occurence
31.72,0.0,1.0
33.62,0.0,1.0
38.83,0.0,1.0
39.64,0.0,1.0
39.72,0.0,1.0
39.81,0.0,1.0
40.62,0.0,1.0
40.74,0.0,1.0
40.83,1.0,1.0
40.91,0.0,2.0
41.25,0.0,1.0
41.25,1.0,1.0
41.33,0.0,1.0
41.34,0.0,1.0
41.42,0.0,1.0
41.52,0.0,1.0
41.56,0.0,1.0
41.57,0.0,1.0
41.61,0.0,1.0
41.7,0.0,1.0
41.93,0.0,1.0
42.2,0.0,1.0
42.38,0.0,2.0
42.48,0.0,1.0
42.68,0.0,1.0
42.76,0.0,3.0
42.77,0.0,1.0
42.95,0.0,1.0
43.03,0.0,1.0
43.24,0.0,1.0
43.25,0.0,1.0
43.27,0.0,1.0
43.38,0.0,1.0
43.4,0.0,1.0
43.42,0.0,1.0
43.48,0.0,1.0
43.5,0.0,2.0
43.59,0.0,1.0
43.6,0.0,3.0
43.64,0.0,1.0
43.71,0.0,1.0
43.72,0.0,1.0
43.79,0.0,1.0
43.82,0.0,3.0
43.88,0.0,1.0
43.94,1.0,1.0
43.98,0.0,3.0
44.08,0.0,1.0
44.12,0.0,2.0
44.16,0.0,1.0
44.18,0.0,1.0
44.23,0.0,1.0
44.27,0.0,1.0
44.28,0.0,1.0
44.31,0.0,1.0
44.32,0.0,1.0
44.38,0.0,2.0
44.39,0.0,1.0
44.44,0.0,2.0
44.5,0.0,2.0
44.51,0.0,1.0
44.52,0.0,1.0
44.55,0.0,2.0
44.57,0.0,1.0
44.58,1.0,1.0
44.61,0.0,2.0
44.63,0.0,1.0
44.64,0.0,1.0
44.64,1.0,1.0
44.68,0.0,1.0
44.71,0.0,1.0
44.72,0.0,1.0
44.74,0.0,2.0
44.75,0.0,2.0
44.77,1.0,1.0
44.78,0.0,1.0
44.81,0.0,1.0
44.82,1.0,1.0
44.83,0.0,2.0
44.84,0.0,1.0
44.87,0.0,1.0
44.88,0.0,1.0
44.89,0.0,1.0
45.0,0.0,1.0
45.03,0.0,2.0
45.06,0.0,1.0
45.13,0.0,1.0
45.14,0.0,3.0
45.15,0.0,1.0
45.16,0.0,1.0
45.18,0.0,3.0
45.21,0.0,1.0
45.22,0.0,1.0
45.28,0.0,1.0
45.28,1.0,1.0
45.29,0.0,4.0
45.29,1.0,1.0
45.32,0.0,1.0
45.34,0.0,1.0
45.35,0.0,3.0
45.38,0.0,1.0
45.39,0.0,1.0
45.4,0.0,5.0
45.41,0.0,1.0
45.41,1.0,1.0
45.42,0.0,1.0
45.42,1.0,1.0
45.45,0.0,9.0
45.51,0.0,1.0
45.54,0.0,1.0
45.56,0.0,3.0
45.57,0.0,3.0
45.59,0.0,1.0
45.6,1.0,1.0
45.61,0.0,3.0
45.62,0.0,1.0
45.63,0.0,1.0
45.66,0.0,2.0
45.66,1.0,1.0
45.68,1.0,1.0
45.7,0.0,2.0
45.71,0.0,2.0
45.74,0.0,1.0
45.75,0.0,3.0
45.76,0.0,1.0
45.78,0.0,1.0
45.81,0.0,2.0
45.83,0.0,2.0
45.84,1.0,1.0
45.86,1.0,1.0
45.88,0.0,5.0
45.89,0.0,1.0
45.93,0.0,1.0
45.93,1.0,1.0
45.95,0.0,2.0
45.96,0.0,4.0
45.96,1.0,1.0
45.98,0.0,2.0
45.98,1.0,1.0
46.0,0.0,1.0
46.01,0.0,1.0
46.02,0.0,1.0
46.04,1.0,1.0
46.05,0.0,2.0
46.06,0.0,1.0
46.07,0.0,1.0
46.08,0.0,1.0
46.09,0.0,1.0
46.1,0.0,3.0
46.1,1.0,1.0
46.11,0.0,12.0
46.15,0.0,9.0
46.17,0.0,1.0
46.18,0.0,1.0
