read_length,occurence
150,23
151,15
152,16
153,15
154,22
155,18
156,20
157,22
158,26
159,33
160,57
161,142
162,26
163,22
164,24
165,16
166,17
167,23
168,27
169,14
170,13
171,12
172,16
173,8
174,13
175,9
176,9
177,10
178,5
179,10
180,17
181,10
182,6
183,15
184,10
185,18
186,19
187,20
188,8
189,14
190,14
191,14
192,14
193,5
194,7
195,2
196,5
197,9
198,7
199,19
200,11
201,8
202,10
203,6
204,8
205,8
206,8
207,9
208,11
209,9
210,9
211,7
212,10
213,13
214,11
215,12
216,6
217,9
218,9
219,12
220,8
221,7
222,8
223,15
224,9
225,7
226,8
227,11
228,10
229,7
230,7
231,9
232,11
233,8
234,8
235,3
236,8
237,13
238,8
239,12
240,10
241,8
242,5
243,5
244,5
245,5
246,10
247,6
248,11
249,6
250,9
251,6
252,8
253,8
254,8
255,9
256,7
257,8
258,7
259,9
260,3
261,9
262,9
263,7
264,7
265,12
266,11
267,8
268,7
269,5
270,8
271,8
272,13
273,8
274,8
275,10
276,8
277,14
278,9
279,13
280,8
281,12
282,12
283,6
284,6
285,7
286,5
287,5
288,12
289,7
290,12
291,6
292,8
293,8
294,10
295,2
296,3
297,7
298,4
299,9
300,11
301,9
302,13
303,10
304,9
305,31
306,14
307,16
308,10
309,8
310,6
311,7
312,11
313,7
314,3
315,7
316,7
317,12
318,7
319,10
320,7
321,6
322,9
323,9
324,9
325,7
326,8
327,10
328,13
329,4
330,6
331,9
332,6
333,3
334,6
335,4
336,8
337,8
338,7
339,3
340,2
341,4
342,8
343,7
344,8
345,10
346,11
347,6
348,3
349,6
350,5
351,5
352,3
353,6
354,2
355,5
356,6
357,3
358,8
359,5
360,11
361,2
362,10
363,4
364,4
365,3
366,9
367,3
368,4
369,5
370,5
371,5
372,2
373,6
374,1
375,2
376,8
377,4
378,6
379,1
380,7
381,6
382,7
383,3
384,5
385,8
386,6
387,7
388,5
389,6
390,9
391,8
392,3
393,4
394,9
395,5
396,2
397,5
398,5
399,6
400,2
401,4
402,4
403,4
404,3
405,7
406,4
407,5
408,5
409,4
410,3
411,5
412,3
413,7
414,4
415,5
416,5
417,5
418,11
419,1
420,3
421,8
422,8
423,8
424,9
425,4
426,6
427,7
428,2
429,1
430,5
431,5
432,4
433,3
434,2
435,4
436,5
437,5
438,3
439,2
440,2
441,4
442,3
443,6
444,3
445,5
446,7
447,8
448,3
449,4
450,9
451,8
452,1
453,7
454,6
455,10
456,3
457,7
458,8
459,13
460,8
461,12
462,22
463,14
464,28
465,44
466,15
467,12
468,6
469,3
470,5
471,1
472,8
473,2
474,6
475,6
476,3
477,5
478,4
479,9
480,4
481,6
482,3
483,5
484,4
485,3
486,2
487,4
488,5
489,1
490,3
491,3
492,4
493,4
494,6
495,8
496,5
497,6
498,6
499,2
500,6
501,6
502,4
503,6
504,11
505,3
506,5
507,7
508,4
509,7
510,1
511,2
512,4
513,7
514,4
515,1
516,1
517,3
518,2
519,1
520,4
521,5
522,5
523,2
524,4
525,2
526,4
527,3
528,3
529,1
530,7
531,3
532,4
533,7
534,5
535,4
536,2
537,3
538,2
539,3
540,2
541,6
542,4
543,9
544,12
545,11
546,7
547,7
548,4
549,4
550,4
551,1
552,3
553,3
554,3
555,1
556,3
557,2
558,3
559,4
560,2
561,4
563,2
564,2
565,2
566,3
567,2
568,2
569,7
570,3
571,3
572,4
573,4
574,3
575,1
577,3
578,3
579,4
580,2
581,8
582,2
583,6
584,5
585,5
586,3
587,4
588,4
589,2
590,3
591,4
592,9
593,8
594,17
595,8
596,11
597,7
598,8
599,11
600,13
601,8
602,8
603,11
604,5
605,7
606,5
607,4
608,5
609,1
611,2
612,5
613,8
614,5
615,7
616,5
617,6
618,6
619,4
620,5
621,3
622,2
623,5
624,3
625,2
626,4
627,7
628,2
629,4
630,4
631,2
632,2
633,1
634,4
635,7
636,2
638,2
639,2
640,8
641,4
642,2
643,6
644,1
645,2
646,5
647,2
648,3
649,5
650,3
651,3
652,5
653,2
654,3
655,2
657,2
658,5
659,4
660,3
661,2
662,3
663,5
664,3
665,2
667,3
668,2
669,4
670,3
671,3
672,1
673,4
674,5
675,6
676,4
677,2
678,6
679,4
680,5
682,5
683,5
684,5
685,3
686,1
687,3
688,3
689,1
690,2
691,4
692,2
693,1
694,4
695,2
696,1
697,1
698,4
699,5
700,6
701,3
702,3
703,2
704,3
705,8
706,7
707,1
708,7
709,1
710,7
711,8
712,5
713,6
714,11
715,7
716,6
717,7
718,5
719,6
