read_length,mapped,occurence
1,1,1
54,1,1
55,1,1
56,1,1
57,1,1
66,1,2
67,1,1
74,1,5
75,1,1
76,1,1
79,1,1
82,1,1
84,1,2
87,1,1
88,1,7
89,1,2
90,1,1
91,1,1
93,1,3
94,1,2
95,1,1
96,1,2
97,1,3
99,1,2
100,1,9
101,1,5
102,1,22
103,1,42
104,1,5
105,1,7
106,1,10
107,1,74
108,1,5
109,1,4
110,1,1
111,1,1
113,1,1
114,1,1
117,1,1
120,1,1
121,1,1
123,1,3
124,1,3
125,1,15
126,1,3
128,1,2
131,1,2
133,1,3
134,1,1
135,1,3
136,1,1
137,1,1
139,1,1
142,1,3
143,1,1
144,1,1
146,1,1
150,0,36
150,1,1
151,0,21
151,1,2
152,0,33
152,1,5
153,0,54
153,1,6
154,0,20
155,0,13
155,1,2
156,0,13
156,1,4
157,0,8
157,1,5
158,0,7
158,1,2
159,0,3
159,1,4
160,0,17
160,1,3
161,0,10
161,1,8
162,0,16
162,1,4
163,0,20
163,1,8
164,0,14
164,1,4
165,0,8
165,1,7
166,0,3
166,1,3
167,0,8
167,1,5
168,0,9
168,1,2
169,0,14
169,1,5
170,0,16
170,1,15
171,0,6
171,1,2
172,0,12
172,1,7
173,0,3
173,1,3
174,0,10
174,1,3
175,0,7
175,1,4
176,0,8
176,1,6
177,0,10
177,1,7
178,0,7
178,1,21
179,0,14
179,1,15
180,0,27
180,1,22
181,0,11
181,1,26
182,0,8
182,1,39
183,0,10
183,1,58
184,0,9
184,1,123
185,0,6
185,1,133
186,0,7
186,1,30
187,0,5
187,1,20
188,0,3
188,1,8
189,0,9
189,1,15
190,0,9
190,1,14
191,0,6
191,1,10
192,0,7
192,1,5
193,0,5
193,1,10
194,0,5
194,1,7
195,0,8
195,1,16
196,0,12
196,1,15
197,0,11
197,1,7
198,0,11
198,1,11
199,0,2
199,1,10
200,0,6
200,1,11
201,0,5
201,1,17
202,0,9
202,1,30
203,0,6
203,1,22
204,0,10
204,1,12
205,0,5
205,1,32
206,0,7
206,1,12
207,0,11
207,1,9
208,0,2
208,1,12
209,0,5
209,1,10
210,0,6
210,1,11
211,0,2
211,1,25
212,0,5
212,1,42
213,0,2
213,1,24
214,0,7
214,1,37
215,0,2
215,1,215
216,0,8
216,1,37
217,0,7
217,1,20
218,0,6
218,1,13
219,0,5
219,1,16
220,0,1
220,1,16
221,0,5
221,1,15
222,0,10
222,1,20
223,0,2
223,1,32
224,0,5
224,1,36
225,0,6
225,1,32
226,0,5
226,1,34
227,0,3
227,1,35
228,0,1
228,1,24
229,0,1
229,1,48
230,0,4
230,1,54
231,0,3
231,1,76
232,0,4
232,1,136
233,0,2
233,1,166
234,0,4
234,1,105
235,0,1
235,1,152
236,0,3
236,1,320
237,0,3
237,1,143
238,0,1
238,1,139
239,0,4
239,1,167
240,0,4
240,1,139
241,0,4
241,1,190
242,1,258
243,0,1
243,1,416
244,0,2
244,1,143
245,1,94
246,0,5
246,1,46
247,0,3
247,1,24
248,0,2
248,1,20
249,0,4
249,1,14
250,0,3
250,1,13
251,0,1
251,1,15
252,0,1
252,1,22
253,0,4
253,1,17
254,0,1
254,1,15
255,0,3
255,1,25
256,0,1
256,1,48
257,0,3
257,1,20
258,0,1
258,1,22
259,0,3
259,1,23
260,0,1
260,1,51
261,0,2
261,1,16
262,0,1
262,1,22
263,0,1
263,1,49
264,0,3
264,1,23
265,0,1
265,1,21
266,0,1
266,1,14
267,0,1
267,1,34
268,0,6
268,1,20
269,0,2
269,1,20
270,0,2
270,1,25
271,1,19
272,0,1
272,1,21
273,0,2
273,1,32
274,0,1
274,1,33
275,0,5
275,1,48
276,0,2
276,1,63
277,0,2
277,1,165
278,0,7
278,1,130
279,0,5
279,1,322
280,0,1
280,1,115
281,0,2
281,1,82
282,0,2
282,1,77
283,0,2
283,1,128
284,1,168
285,0,3
285,1,82
286,1,73
287,0,8
287,1,84
288,0,2
288,1,35
289,0,4
289,1,22
290,0,5
290,1,53
291,0,6
291,1,11
292,0,6
292,1,10
293,0,2
293,1,17
294,0,1
294,1,14
295,0,4
295,1,14
296,0,6
296,1,7
297,0,14
297,1,13
298,0,19
298,1,15
299,0,21
299,1,10
300,0,28
300,1,8
301,0,46
301,1,21
302,0,84
302,1,13
303,0,29
303,1,25
304,0,34
304,1,28
305,0,22
305,1,37
306,0,18
306,1,62
307,0,20
307,1,30
308,0,22
308,1,23
309,0,34
309,1,26
310,0,11
310,1,26
311,0,9
311,1,19
312,0,7
312,1,17
313,0,8
313,1,30
314,0,5
314,1,21
315,0,3
315,1,11
316,0,3
316,1,12
317,0,5
317,1,21
318,0,4
318,1,13
319,0,5
319,1,11
320,0,3
320,1,12
321,0,5
321,1,12
322,0,5
322,1,9
323,0,6
323,1,15
324,0,9
324,1,13
325,0,9
325,1,16
326,0,18
326,1,11
327,0,23
327,1,15
328,0,20
328,1,26
329,0,47
329,1,18
330,0,19
330,1,16
331,0,24
331,1,37
332,0,10
332,1,24
333,0,5
333,1,51
334,0,17
334,1,19
335,0,10
335,1,17
336,0,18
336,1,19
337,0,12
337,1,18
338,0,11
338,1,17
339,0,13
339,1,16
340,0,5
340,1,24
341,0,11
341,1,22
342,0,13
342,1,14
343,0,7
343,1,13
344,0,13
344,1,14
345,0,16
345,1,12
346,0,24
346,1,8
347,0,17
347,1,8
348,0,16
348,1,6
349,0,12
349,1,6
350,0,4
350,1,10
351,0,8
351,1,13
352,0,7
352,1,9
353,0,13
353,1,3
354,0,10
354,1,6
355,0,16
355,1,9
356,0,38
356,1,7
357,0,21
357,1,14
358,0,17
358,1,23
359,0,8
359,1,20
360,0,11
360,1,37
361,0,6
361,1,11
362,0,14
362,1,10
363,0,20
363,1,8
364,0,9
364,1,10
365,0,6
365,1,14
366,0,8
366,1,10
367,0,3
367,1,13
368,0,5
368,1,14
369,0,9
369,1,8
370,0,15
370,1,7
371,0,9
371,1,10
372,0,13
372,1,5
373,0,14
373,1,5
374,0,12
374,1,8
