read_length,occurence
150,6
151,4
152,7
153,2
154,1
155,4
156,5
157,4
158,2
159,6
160,5
161,7
162,8
163,12
164,21
165,258
166,35
167,17
168,69
169,18
170,17
171,14
172,9
173,12
174,13
175,21
176,27
177,24
178,13
179,8
180,12
181,19
182,11
183,13
184,21
185,20
186,36
187,92
188,517
189,86
190,39
191,60
192,35
193,29
194,26
195,34
196,30
197,39
198,52
199,29
200,36
201,50
202,47
203,50
204,57
205,57
206,55
207,72
208,68
209,78
210,68
211,43
212,63
213,59
214,65
215,55
216,67
217,60
218,35
219,32
220,35
221,45
222,44
223,54
224,53
225,52
226,52
227,93
228,135
229,445
230,144
231,138
232,261
233,207
234,365
235,852
236,4725
237,694
238,299
239,225
240,115
241,79
242,91
243,99
244,95
245,147
246,75
247,72
248,57
249,35
250,14
251,25
252,26
253,20
254,11
255,8
256,12
257,7
258,6
259,6
260,7
261,3
262,6
263,6
264,7
265,9
266,15
267,12
268,25
269,11
270,21
271,10
272,11
273,11
274,13
275,12
276,22
277,12
278,16
279,24
280,93
281,20
282,13
283,10
284,9
285,8
286,14
287,20
288,16
289,9
290,8
291,6
292,4
293,5
294,5
295,3
296,1
297,6
298,4
299,7
300,3
301,4
302,6
303,3
304,2
305,4
306,5
307,10
308,7
309,10
310,6
311,10
312,5
313,5
314,9
315,7
316,8
317,17
318,10
319,16
320,23
321,27
322,28
323,51
324,55
325,61
326,73
327,102
328,60
329,45
330,31
331,41
332,33
333,51
334,46
335,60
336,76
337,73
338,42
339,48
340,30
341,23
342,30
343,37
344,17
345,5
346,10
347,7
348,2
349,7
350,4
351,1
352,3
353,6
354,1
355,5
356,3
357,1
358,3
359,1
360,5
361,4
362,9
363,6
364,15
365,6
366,19
367,17
368,19
369,12
370,33
371,42
372,68
373,147
374,54
375,29
376,21
377,16
378,19
379,14
380,24
381,7
382,18
383,9
384,6
385,11
386,7
387,10
388,7
389,3
390,3
391,4
392,2
393,3
394,3
395,1
396,2
397,3
398,8
399,6
400,3
401,5
402,3
403,3
404,3
405,5
406,2
407,6
408,1
409,6
410,3
411,4
412,5
413,7
414,6
415,5
416,6
417,6
418,4
419,6
420,6
421,3
422,9
423,6
424,9
425,14
426,33
427,18
428,14
429,12
430,8
431,11
432,8
433,9
434,10
435,10
436,11
437,8
438,13
439,8
440,4
441,13
442,14
443,5
444,20
445,7
446,17
447,14
448,10
449,8
450,14
451,14
452,11
453,14
454,12
455,16
456,5
457,9
458,11
459,13
460,9
461,9
462,13
463,10
464,8
465,6
466,12
467,11
468,6
469,8
470,11
471,10
472,12
473,8
474,5
475,7
476,4
477,3
478,6
479,13
480,12
481,6
482,5
483,5
484,5
485,7
486,4
487,2
488,7
489,4
490,4
491,5
492,3
493,5
494,4
495,4
496,3
497,4
498,1
499,2
500,2
501,5
502,2
503,2
504,2
505,3
506,4
507,2
508,3
509,5
510,5
511,5
512,3
513,2
515,1
516,1
517,3
518,3
519,2
520,5
522,1
523,3
524,6
525,2
526,2
527,2
528,4
529,3
530,5
531,1
532,2
533,1
534,2
535,2
536,1
537,1
538,3
539,2
541,2
543,3
544,1
545,2
546,1
547,1
548,2
549,2
551,3
552,3
553,5
554,3
555,3
556,1
557,1
558,2
560,2
561,2
562,3
563,3
564,2
565,1
566,3
568,3
569,3
570,3
571,4
572,1
573,3
574,3
575,3
576,4
577,2
580,3
581,2
582,5
583,2
584,4
585,2
586,1
587,7
588,1
589,4
590,3
591,1
592,8
593,2
594,3
595,2
596,3
597,1
598,2
599,5
600,1
601,1
602,1
603,3
604,1
605,3
606,3
607,1
609,6
610,2
611,2
612,3
613,3
614,1
615,3
619,2
620,2
621,1
622,1
623,1
624,1
625,2
627,1
628,4
629,3
630,2
631,1
632,1
633,2
634,2
635,1
636,2
637,1
639,3
640,3
641,1
642,2
643,1
644,4
645,1
646,6
647,2
648,3
649,6
650,4
651,7
652,9
653,5
654,5
655,3
656,7
657,5
658,2
659,4
660,5
661,3
662,4
663,3
664,3
665,2
666,5
667,4
668,6
669,3
670,5
671,1
673,2
674,3
675,2
676,2
677,5
678,4
679,1
680,2
681,1
682,4
683,3
684,1
685,2
686,2
690,3
691,2
692,3
693,1
694,5
695,6
696,5
697,7
698,4
699,4
700,3
701,2
702,4
703,3
704,2
705,2
706,4
708,2
709,7
710,1
711,5
712,1
713,3
714,5
715,3
716,2
717,5
718,2
719,3
720,6
721,1
722,5
723,2
724,2
727,4
728,3
729,6
730,5
731,1
732,3
733,3
734,1
736,2
738,2
739,4
740,2
741,3
742,3
743,2
744,1
746,1
748,1
749,1
750,1
753,1
755,4
757,1
758,2
759,2
760,2
761,2
763,2
764,4
765,2
766,3
767,2
768,3
770,2
771,5
772,1
773,2
774,2
775,5
778,1
779,3
781,2
782,5
783,1
785,3
788,1
789,1
790,1
792,5
793,1
795,2
796,2
797,3
798,2
799,1
800,3
801,2
802,1
804,4
806,2
807,7
808,7
809,8
810,12
811,18
812,14
813,11
814,10
815,4
816,5
817,9
818,1
819,3
820,2
821,3
822,2
823,5
824,1
825,1
826,2
827,6
828,1
829,5
830,1
831,3
834,3
836,3
837,4
838,2
840,1
841,2
842,2
843,2
844,2
846,2
847,2
848,2
849,2
851,1
853,3
854,4
856,3
857,2
858,2
859,2
861,6
862,2
863,2
864,1
865,1
866,4
867,1
868,3
869,3
870,2
871,1
872,2
873,5
874,3
875,1
876,4
877,1
879,1
880,2
881,2
883,3
884,1
885,4
887,1
888,2
890,1
891,2
892,2
893,4
894,1
895,2
896,1
897,1
898,1
899,1
900,2
901,3
902,2
903,3
904,1
905,2
906,4
907,3
908,1
909,2
910,1
911,3
912,3
913,3
914,2
916,2
917,2
919,1
920,2
921,1
922,3
923,1
924,6
925,3
926,5
929,1
930,1
931,2
932,2
933,2
934,2
935,2
936,1
937,1
938,4
939,2
940,2
942,4
943,3
944,3
945,2
946,2
947,1
948,2
949,2
950,2
951,2
952,4
953,1
954,1
955,2
956,3
957,2
958,2
959,1
960,2
961,1
962,1
963,1
964,2
965,1
966,1
967,1
969,1
970,1
971,2
972,4
973,3
974,2
977,2
978,2
979,4
980,3
981,2
984,1
985,1
988,2
989,2
990,1
992,2
993,2
994,2
995,1
996,1
997,1
998,1
1000,1
1001,1
1002,1
1003,1
1006,2
1007,1
1008,3
1009,3
1010,2
1011,1
1012,4
1013,3
1014,3
1015,1
1016,3
1017,1
1018,1
1020,1
1021,1
1022,3
1023,1
1025,2
1026,1
1027,2
1029,1
1030,3
1031,3
1033,1
1034,4
1036,2
1037,1
1038,3
1039,1
1040,2
1041,3
1043,4
1045,2
1047,2
1048,3
1049,2
1050,2
1051,6
1052,4
1053,2
1054,1
1055,2
1056,1
1057,2
1058,4
1059,2
1060,1
1061,2
1064,2
1065,2
1066,3
1067,2
1068,1
1069,2
1070,4
1071,1
1072,3
1073,1
1074,1
1075,2
1076,1
1077,1
1078,2
1079,1
1080,2
1081,1
1082,1
1085,1
1087,2
1088,1
1089,2
1090,2
1091,2
1092,2
1093,4
1096,3
1098,3
1100,1
1101,1
1102,1
1103,1
1105,1
1106,1
1109,1
1110,2
1114,2
1115,2
1116,1
1117,3
1119,3
1120,1
1122,1
1123,2
1124,1
1126,2
1127,3
1128,4
1129,2
1130,1
1131,3
1132,1
1133,2
1134,2
1135,1
1136,4
1137,1
1138,2
1139,1
1141,2
1145,2
1146,3
1147,2
1148,2
1150,3
1151,2
1152,1
1153,4
1155,3
