Read_ID	Length	GC_content	Avg_Quality	Mapping_Quality
c2347803-e56d-4517-b5cd-652585978de1	761	45.60	5.64	60
88d4e0f5-8708-4d36-8d60-b4331419c351	906	44.59	11.07	60
6951dc0e-41eb-4331-a859-dad94117df2a	982	44.50	8.75	60
32bcf8f8-66ec-4035-87b8-28d3ddb92fcf	1060	46.79	10.64	53
70b62436-8236-42b4-9929-7d974eb6ed60	1010	42.97	12.30	60
e2370ca0-b211-4978-a039-27f89fe1b959	896	43.19	11.91	60
a715925b-8705-45b5-81aa-30846cb85c23	239	50.21	5.21	60
3ec73be7-0d08-4a58-b6cc-df98ba6cbe8f	1019	42.79	17.41	60
609e553d-8081-463d-b38a-588c1ace60d2	665	46.62	11.25	60
310cd1e1-29e4-4392-a75e-0604796f3291	229	49.78	11.81	60
fe6c0edd-41f1-4718-a3d5-0246fb0e5c5e	281	50.53	42.27	60
86c5188c-5f55-4216-bd09-907159c182eb	480	41.88	7.18	3
dfb6fd34-90d5-4ade-86b6-15871a601113	928	49.57	9.80	60
e43e40aa-524d-48b4-801c-c5f34e3ce47c	1115	49.69	12.07	60
ed688f14-f865-4113-8a0b-68208dc12655	1181	49.87	10.51	60
8a8f3833-c4ce-452a-bbf5-fa5a51dbca2c	1195	47.45	8.64	60
d334d321-b2a8-43e8-bda0-ce7dac699090	1159	49.09	8.04	60
aadea99e-13d4-44a7-978b-e64287340da9	1077	49.49	11.80	60
e6d27dee-4508-486c-9dc0-f7736b967666	905	51.05	10.82	60
ad62d1fc-351a-46e9-a2c0-0cd77a7db15c	940	51.38	11.95	60
41eb205a-63cf-4df8-a78b-b576f06cc277	845	53.14	18.67	60
46196a2d-1381-4f69-b918-5df357bf4d8e	584	55.65	10.80	60
dae260d1-453d-4379-99e6-46ef26d7fcef	823	53.58	15.30	60
0939d7de-8849-4c6f-ac45-e220fa3409c7	694	55.91	10.98	60
979d177e-9b1e-45a2-935a-7c92160b14a5	469	60.98	20.30	60
979d177e-9b1e-45a2-935a-7c92160b14a5	978	59.82	16.62	60
51062a0e-d586-446c-80eb-b50e354f7474	471	55.20	5.10	60
6fbf5182-d5d7-405a-a9c0-ed2286894dcf	451	56.54	12.26	60
175ba947-14fd-450c-8805-c5597bc8308b	449	55.90	15.59	60
6e0aa176-241a-4cf8-9865-efc871954e93	379	53.83	14.57	60
c3c5606a-16a2-4af5-ac34-539f157cdce0	693	54.69	19.82	60
817e067a-a8ed-48be-b39c-c85a9f55a639	300	50.67	8.20	60
cba369c2-7288-4acb-a576-c6078d5bada0	277	49.10	7.10	60
6a91a699-56d2-4e0d-b597-02a055cd8fe3	278	48.92	11.78	60
300b78ee-bbf0-4077-b9b1-801115830171	273	49.45	13.42	60
0ff7a630-a617-427d-bb86-e805412b1fea	273	50.18	10.41	60
249e7004-9229-4247-ae55-e859e9b5c62e	277	50.18	5.55	60
5e44247f-9571-4350-aff6-2bdd556bedaf	277	49.10	8.01	60
