read_length,mapped,occurence
51,1,1
108,1,1
115,1,2
125,1,1
150,0,3
151,0,1
152,0,1
154,0,1
156,1,1
157,0,1
159,1,1
161,0,1
165,1,1
166,0,1
167,0,1
168,0,1
175,0,2
179,0,1
183,0,1
185,0,1
194,0,1
196,0,1
198,0,2
202,1,1
205,0,1
206,1,1
211,0,1
211,1,1
214,0,3
215,0,2
219,1,1
224,0,2
226,0,1
227,0,1
228,0,1
229,0,1
229,1,1
231,1,1
234,0,1
236,1,1
237,0,1
238,0,1
244,1,1
246,0,1
258,0,1
258,1,1
266,1,1
268,1,2
269,0,1
271,1,2
272,1,1
273,0,1
278,0,1
282,0,1
282,1,1
294,0,1
294,1,1
298,1,1
305,0,1
306,1,1
309,1,1
314,1,1
318,0,1
322,0,1
324,1,1
333,0,1
335,1,1
341,0,1
343,0,1
355,1,1
364,0,1
369,1,1
370,0,1
371,1,1
372,1,1
373,1,1
374,0,1
383,1,1
384,1,1
386,1,2
392,1,1
393,0,1
395,0,1
395,1,1
402,1,1
403,0,2
403,1,1
411,1,1
414,0,1
423,1,1
427,0,1
429,0,1
430,1,2
435,0,1
436,1,1
438,0,1
447,0,1
453,1,1
454,0,1
463,0,1
470,0,1
478,0,1
479,0,1
479,1,1
488,1,1
492,1,1
504,1,1
515,1,1
523,1,1
538,0,1
539,0,1
543,0,1
547,0,1
553,0,1
554,0,1
555,1,1
569,0,1
579,0,1
581,0,1
582,0,1
586,1,1
608,1,1
625,0,1
628,0,1
657,0,1
660,0,1
663,0,1
676,1,1
678,0,1
680,0,1
714,0,1
729,0,1
737,0,1
743,0,1
749,0,1
753,0,1
754,0,2
757,0,1
760,0,1
784,0,1
804,0,1
808,1,1
812,0,1
813,0,1
817,0,2
828,0,1
832,0,1
847,0,1
856,0,1
867,0,1
870,0,1
880,0,1
889,0,1
891,0,1
895,0,1
908,0,2
911,1,1
917,0,2
919,0,3
923,0,1
941,1,1
944,0,1
954,0,1
958,0,1
963,0,1
975,0,1
975,1,1
979,0,1
986,0,1
997,0,1
1003,0,1
1016,0,1
1018,0,3
1020,0,1
1022,0,1
1028,0,1
1031,0,1
1034,0,1
1039,0,1
1042,0,2
1044,0,1
1048,0,1
1060,0,1
1062,0,2
1065,0,1
1072,0,1
1075,0,1
1077,0,1
1078,0,1
1079,0,1
1108,0,1
1112,0,1
1116,1,1
1118,0,1
1120,0,1
1123,0,1
1129,0,1
1130,0,1
1134,0,1
1138,0,1
1139,1,1
1144,0,1
1150,0,2
1152,0,2
1155,0,1
1156,0,1
1169,0,1
1179,0,2
1180,0,1
1180,1,1
1181,0,1
1187,0,1
1188,0,1
1190,0,1
1195,0,1
1198,0,2
1199,0,1
1199,1,1

