read_length,mapped,occurence
1,1,1
45,1,1
49,1,20
50,1,2
52,1,3
53,1,29
55,1,1
56,1,1
59,1,4
60,1,2
62,1,3
63,1,1
65,1,1
66,1,1
67,1,2
68,1,1
71,1,1
73,1,2
75,1,1
76,1,1
79,1,4
81,1,2
83,1,1
85,1,1
86,1,1
88,1,3
89,1,2
92,1,1
93,1,1
94,1,2
95,1,3
96,1,2
97,1,5
98,1,7
99,1,4
100,1,10
101,1,14
102,1,16
103,1,30
104,1,31
105,1,95
106,1,106
107,1,71
108,1,314
109,1,76
110,1,134
111,1,47
112,1,38
113,1,64
114,1,22
115,1,51
116,1,22
117,1,51
118,1,7
119,1,7
120,1,4
121,1,3
122,1,4
123,1,5
124,1,5
125,1,7
126,1,4
127,1,8
128,1,22
129,1,6
130,1,10
131,1,10
132,1,23
133,1,289
134,1,21
135,1,9
136,1,9
137,1,6
138,1,2
139,1,6
140,1,6
141,1,9
142,1,22
143,1,12
144,1,2
145,1,2
146,1,1
147,1,1
148,1,2
149,1,4
150,0,7
151,0,8
151,1,1
152,0,12
152,1,2
153,0,9
153,1,7
154,0,28
154,1,6
155,0,11
155,1,3
156,0,2
156,1,4
157,0,15
157,1,5
158,0,7
158,1,4
159,0,9
159,1,9
160,0,9
160,1,9
161,0,15
161,1,33
162,0,29
162,1,208
163,0,15
163,1,25
164,0,11
164,1,10
165,0,8
165,1,11
166,0,8
166,1,10
167,0,6
167,1,9
168,0,4
168,1,8
169,0,11
169,1,5
170,0,10
170,1,12
171,0,12
171,1,19
172,0,5
172,1,22
173,0,7
173,1,47
174,0,9
174,1,36
175,0,9
175,1,43
176,0,7
176,1,127
177,0,3
177,1,28
178,0,10
178,1,19
179,0,15
179,1,13
180,0,7
180,1,9
181,0,9
181,1,19
182,0,6
182,1,5
183,0,7
183,1,4
184,0,13
184,1,11
185,0,3
185,1,6
186,0,4
186,1,6
187,0,14
187,1,5
188,0,7
188,1,10
189,0,3
189,1,1
190,0,5
190,1,4
191,0,6
191,1,3
192,0,3
192,1,8
193,0,6
193,1,1
194,0,5
194,1,9
195,0,6
195,1,17
196,0,5
196,1,6
197,0,8
197,1,7
198,0,12
198,1,10
199,0,5
199,1,13
200,0,3
200,1,24
201,0,3
201,1,23
202,0,4
202,1,42
203,0,2
203,1,199
204,0,4
204,1,32
205,0,6
205,1,22
206,0,7
206,1,11
207,0,7
207,1,9
208,0,3
208,1,7
209,0,6
209,1,2
210,0,4
210,1,2
211,0,10
211,1,3
212,0,4
212,1,12
213,0,10
213,1,10
214,0,12
214,1,2
215,0,7
215,1,4
216,0,13
216,1,6
217,0,24
217,1,1
218,0,21
218,1,9
219,0,15
219,1,30
220,0,26
220,1,6
221,0,68
221,1,3
222,0,146
222,1,4
223,0,41
223,1,3
224,0,28
224,1,4
225,0,28
225,1,3
226,0,14
226,1,4
227,0,12
227,1,6
228,0,10
228,1,3
229,0,8
229,1,1
230,0,10
230,1,5
231,0,16
231,1,7
232,0,15
232,1,5
233,0,6
233,1,17
234,0,4
234,1,20
235,0,5
235,1,30
236,0,7
236,1,45
237,0,2
237,1,58
238,0,9
238,1,87
239,0,6
239,1,120
240,0,2
240,1,245
241,0,4
241,1,98
242,0,5
242,1,68
243,0,4
243,1,42
244,0,6
244,1,21
245,0,5
245,1,39
246,0,3
246,1,51
247,0,5
247,1,86
248,0,6
248,1,68
249,0,8
249,1,72
250,0,7
250,1,202
251,0,21
251,1,55
252,0,9
252,1,43
253,0,7
253,1,18
254,0,7
254,1,39
255,0,7
255,1,30
256,0,7
256,1,74
257,0,3
257,1,96
258,0,16
258,1,272
259,0,8
259,1,162
260,0,15
260,1,270
261,0,15
261,1,599
262,0,9
262,1,141
263,0,5
263,1,55
264,0,10
264,1,37
265,0,10
265,1,31
266,0,23
266,1,40
267,0,9
267,1,80
268,0,3
268,1,48
269,0,9
269,1,54
270,0,4
270,1,140
271,0,6
271,1,35
272,0,5
272,1,23
273,0,1
273,1,7
274,0,5
274,1,11
275,0,8
275,1,7
276,0,6
276,1,9
277,0,6
277,1,5
278,0,3
278,1,14
279,0,11
279,1,6
280,0,6
280,1,4
281,0,4
281,1,3
282,0,7
282,1,4
283,0,6
283,1,3
284,0,9
284,1,5
285,0,11
285,1,6
286,0,6
286,1,4
287,0,4
287,1,3
288,0,4
288,1,5
289,0,4
289,1,9
290,0,3
290,1,11
291,0,3
291,1,15
292,0,12
292,1,4
293,0,10
293,1,6
294,0,13
294,1,3
295,0,12
295,1,2
296,0,5
296,1,7
297,0,7
297,1,7
298,0,10
298,1,9
299,0,3
299,1,6
300,0,4
300,1,6
301,0,6
301,1,13
302,0,9
302,1,41
303,0,3
303,1,18
304,0,8
304,1,11
305,0,19
305,1,5
306,0,17
306,1,6
307,0,11
307,1,2
308,0,5
308,1,2
309,0,9
309,1,2
310,0,8
310,1,10
311,0,7
311,1,13
312,0,5
312,1,5
313,0,5
313,1,3
314,0,25
314,1,1
315,0,16
315,1,1
316,0,5
316,1,2
317,0,9
317,1,2
318,0,10
318,1,5
319,0,8
319,1,3
320,0,6
320,1,7
321,0,9
321,1,8
322,0,2
322,1,12
323,0,2
323,1,13
324,0,7
324,1,15
325,0,4
325,1,10
326,0,9
326,1,9
327,0,4
327,1,4
328,0,12
328,1,6
329,0,3
329,1,2
330,0,4
330,1,6
331,0,3
331,1,3
332,0,2
332,1,6
333,0,4
333,1,3
334,0,6
334,1,4
335,0,8
335,1,6
336,0,8
336,1,6
337,0,4
337,1,2
338,0,9
338,1,3
339,0,8
339,1,3
340,0,8
340,1,5
341,0,7
341,1,3
342,0,5
342,1,4
343,0,6
343,1,2
344,0,4
344,1,6
345,0,3
345,1,1
346,0,5
346,1,3
347,0,4
347,1,4
348,0,2
348,1,3
349,0,7
349,1,5
350,0,2
350,1,2
351,0,9
351,1,8
352,0,6
352,1,6
353,0,6
353,1,2
354,0,6
354,1,10
355,0,3
355,1,4
356,0,6
