read_length,occurence
150,3
151,6
152,8
153,9
154,6
155,5
156,5
157,17
158,4
159,11
160,8
161,13
162,4
163,6
164,8
165,2
166,2
167,6
168,8
169,11
170,14
171,11
172,5
173,8
174,2
175,5
176,2
177,5
178,6
179,7
180,4
181,9
182,10
183,8
184,6
185,1
186,3
187,5
188,5
189,4
190,6
191,3
192,4
193,3
194,5
195,1
196,4
197,6
198,4
199,9
200,3
201,4
202,6
203,7
204,1
205,3
206,5
207,3
208,3
209,8
211,1
212,1
213,2
214,3
215,8
216,5
217,3
218,3
219,5
220,3
221,2
222,4
223,5
224,2
225,2
226,2
227,2
228,4
229,5
230,6
231,2
233,10
234,5
235,6
236,4
237,5
238,10
239,14
240,16
241,15
242,9
243,18
244,7
245,3
246,7
247,5
248,4
249,3
250,3
251,4
252,1
253,3
254,3
255,2
256,2
257,1
258,3
260,6
261,2
262,3
263,5
264,4
265,2
266,7
267,3
268,5
269,7
270,5
271,4
272,19
273,17
274,1
275,5
276,7
277,8
278,8
279,12
280,8
281,8
282,14
283,11
284,22
285,37
286,7
287,13
288,5
289,8
290,4
291,16
292,30
293,11
294,8
295,6
296,4
297,1
298,6
299,4
300,3
301,4
302,3
303,7
304,3
305,8
306,1
307,6
308,2
309,3
310,1
311,2
312,6
313,7
314,3
315,1
316,5
317,1
318,5
319,3
320,4
321,6
322,3
323,1
324,3
325,6
326,11
327,1
328,7
329,1
330,3
331,3
332,3
333,5
334,3
335,5
336,2
337,5
338,4
339,3
340,3
341,6
342,6
343,6
344,8
345,6
346,6
347,2
348,4
349,2
350,5
352,1
353,7
354,3
355,2
356,7
357,2
358,6
359,4
360,4
361,3
362,4
363,5
364,2
365,3
366,2
367,3
368,3
369,5
370,5
371,5
372,2
373,3
374,3
375,3
376,4
377,1
378,3
379,5
380,1
381,4
382,6
383,4
384,4
385,1
386,5
387,2
388,2
389,7
390,2
391,2
392,2
393,5
394,9
395,4
396,4
397,4
398,2
399,2
400,2
401,5
402,2
403,2
404,5
405,2
406,2
407,2
409,4
410,6
411,4
412,2
414,3
415,4
416,4
417,5
418,6
419,3
420,2
421,3
422,2
423,6
424,4
425,4
426,4
427,4
428,2
429,5
430,2
431,3
432,2
433,2
434,4
435,2
436,1
437,4
438,4
439,3
440,3
441,8
442,4
443,2
444,5
445,3
446,1
447,7
448,4
449,4
450,3
451,5
452,1
453,2
455,1
456,4
457,4
458,3
459,1
460,3
461,1
462,9
463,2
464,3
465,3
466,2
467,5
468,4
469,2
470,2
471,4
472,5
473,6
474,6
475,4
476,3
477,2
478,6
479,7
480,4
481,5
482,5
483,5
484,5
485,4
486,2
487,3
488,2
489,3
490,1
491,4
492,6
493,3
494,6
495,2
496,9
497,8
498,4
499,5
500,2
501,2
502,3
503,5
504,1
505,4
506,2
507,4
508,2
509,9
510,7
511,2
512,2
513,1
514,5
515,3
516,1
517,3
518,4
519,1
520,2
521,1
522,2
523,3
524,2
525,1
526,3
527,3
528,1
529,4
531,2
532,6
533,3
534,4
535,1
536,3
537,3
538,5
539,1
540,4
541,5
542,4
543,4
544,7
545,5
546,7
547,3
548,3
549,2
550,3
551,1
552,1
553,1
554,4
555,3
556,5
557,4
558,5
559,2
560,1
561,3
562,5
563,3
564,1
565,1
566,4
567,3
568,2
569,4
570,6
571,5
572,2
573,3
574,7
575,3
576,6
577,5
578,5
579,3
580,7
581,3
582,5
583,3
584,2
585,5
586,1
588,5
589,2
590,8
591,6
592,4
593,4
594,1
595,2
596,6
597,3
598,3
599,6
600,3
601,4
602,3
603,4
604,1
605,1
606,2
607,3
608,1
609,1
610,3
611,4
612,11
613,3
614,3
615,5
616,3
617,4
618,3
619,3
620,5
621,6
622,5
623,2
624,5
625,1
626,1
628,2
629,3
630,2
631,4
632,1
633,4
634,3
635,1
636,2
637,1
638,4
639,8
640,3
641,2
642,4
643,1
644,4
645,8
646,4
647,3
648,4
649,4
650,1
651,5
653,2
654,2
655,1
656,4
657,2
658,4
659,4
660,1
661,3
663,2
664,2
665,5
666,5
667,5
669,3
670,3
671,5
672,3
673,3
674,4
675,1
676,4
677,3
678,2
679,1
680,3
681,1
682,2
684,4
685,4
687,3
688,1
689,6
690,4
691,1
692,3
693,2
694,3
695,1
696,3
697,4
698,3
699,6
700,2
701,3
702,1
703,6
704,1
705,3
706,7
707,4
708,3
709,1
710,2
711,5
712,4
713,6
714,3
715,2
716,2
717,4
718,2
719,5
720,2
721,3
722,1
723,3
724,2
725,5
726,3
727,4
728,3
729,2
731,3
732,3
733,2
734,4
735,2
736,1
737,2
739,2
740,3
741,1
742,3
743,2
744,5
745,4
747,8
748,2
749,4
750,3
751,2
752,5
753,4
754,1
755,1
756,3
757,1
758,1
759,2
760,4
761,3
762,3
763,6
764,4
765,1
766,3
767,1
768,1
769,3
771,2
772,3
773,4
774,2
775,5
776,4
777,3
778,6
779,2
780,2
781,1
782,5
783,1
784,1
785,1
786,4
787,4
788,2
789,5
791,1
792,2
793,3
794,3
795,2
796,2
797,3
798,1
799,3
800,3
801,1
802,1
803,1
804,1
805,4
806,1
807,3
808,3
809,3
810,6
811,2
813,3
814,4
815,2
816,2
817,3
818,4
819,4
820,1
821,1
822,2
823,2
824,4
825,5
826,4
828,4
829,5
830,3
831,2
832,3
833,1
834,4
835,1
836,3
837,2
838,3
839,3
840,4
841,2
842,4
843,2
844,3
845,2
846,2
847,4
848,1
849,1
850,3
852,1
853,5
854,2
856,2
857,1
858,2
859,2
860,1
861,2
862,3
864,3
865,3
867,1
868,3
869,3
870,2
871,1
873,1
874,1
877,1
878,3
879,3
880,2
881,2
882,3
883,2
884,2
885,1
886,2
887,7
889,3
890,1
891,3
892,3
893,4
894,1
895,2
896,2
899,4
900,2
901,3
903,6
905,2
906,2
907,3
908,4
909,2
910,3
911,2
912,1
913,1
915,2
917,1
918,2
919,1
921,4
922,2
923,1
924,5
925,2
926,1
929,2
931,3
932,3
933,2
934,1
935,1
936,3
937,1
938,1
939,2
940,3
941,1
942,2
943,1
945,1
946,3
948,1
949,1
950,1
951,1
952,1
953,1
955,1
956,3
957,1
958,3
959,3
960,3
961,3
962,2
963,1
964,1
965,5
966,4
967,2
968,3
969,2
973,3
974,2
975,1
976,2
977,6
978,2
979,4
980,1
981,1
983,1
984,1
986,1
988,1
989,2
990,1
991,4
992,1
993,2
995,3
996,2
998,2
999,2
1000,1
1001,1
1003,2
1004,4
1005,2
1007,2
1008,1
1009,3
1010,3
1012,2
1013,2
1014,1
1015,3
1016,1
1017,1
1020,2
1021,1
1023,1
1024,3
1025,1
1026,3
1027,2
1028,2
1030,4
1031,3
1033,3
1035,1
1036,1
1037,1
1040,2
1041,2
1043,1
1044,3
1045,1
1046,2
1047,4
1048,2
1050,1
1052,1
1054,2
1055,1
1056,1
1059,1
1060,4
1061,1
1062,1
1063,1
1064,1
1066,2
1067,1
1068,2
1069,1
1070,2
1071,1
1073,1
1075,3
1076,3
1077,1
1078,1
1080,4
1081,3
1082,1
1083,1
1084,1
1085,2
1086,1
1087,2
1088,1
1089,1
1090,1
1091,3
1092,2
1094,1
1095,1
1097,1
1098,1
1099,4
1100,1
1101,1
1102,1
1104,3
1105,2
1106,1
1108,2
1109,3
1110,2
1112,2
1113,2
1114,2
1115,1
1116,1
1118,1
1119,2
1120,1
1122,2
1123,1
1124,1
1126,1
1127,1
1128,2
1130,3
1131,2
1132,1
1133,2
1135,2
1136,1
1137,1
1138,2
1139,2
1140,1
1141,1
1144,1
1145,1
1146,1
1147,1
1148,2
1149,1
1151,1
1152,1
1153,1
1154,1
1155,1
1156,1
1158,3
1159,2
1160,1
1164,3
1165,2
1167,1
1169,1
1171,1
1172,2
1174,1
1175,1
1176,2
1178,1
1179,2
1180,3
1181,1
1182,1
1183,3
1184,2
1185,1
1187,3
1189,1
1191,2
1192,1
1193,1
1194,3
1195,2
1196,1
1197,1
1198,2
1200,1

