read_length,mapped,occurence
49,1,1
117,1,1
121,1,1
150,0,5
150,1,3
151,0,9
151,1,4
152,0,9
152,1,5
153,0,9
153,1,21
154,0,6
154,1,1
155,0,7
155,1,3
156,0,5
156,1,2
157,0,4
158,0,5
159,0,8
160,0,3
160,1,2
161,0,7
162,0,4
162,1,1
163,0,3
163,1,3
164,0,4
164,1,1
165,0,2
166,0,5
167,0,9
168,0,5
168,1,1
169,0,4
170,0,11
171,0,6
172,0,4
173,0,3
173,1,1
174,0,1
175,0,6
176,1,1
177,0,6
178,0,2
178,1,1
179,0,3
179,1,1
180,0,4
180,1,1
181,0,2
182,0,5
183,0,2
183,1,1
184,0,4
184,1,4
185,0,2
185,1,5
186,0,5
186,1,36
187,0,12
187,1,6
188,0,8
188,1,3
189,0,3
189,1,1
190,0,4
191,0,3
192,0,2
193,0,3
194,0,2
195,0,7
196,0,3
197,0,6
198,0,3
198,1,2
199,0,2
199,1,1
200,0,5
200,1,1
201,0,3
201,1,1
202,0,2
202,1,2
203,0,3
204,0,2
205,0,5
207,0,7
208,0,5
208,1,1
209,0,1
210,0,2
211,0,2
212,0,2
212,1,1
213,0,4
214,0,4
215,1,1
216,0,6
216,1,1
217,0,1
218,0,4
218,1,1
219,0,2
219,1,1
220,0,3
221,0,4
221,1,1
222,0,2
223,0,2
223,1,1
224,1,1
225,0,1
225,1,2
226,0,2
226,1,7
227,0,3
227,1,1
228,0,9
228,1,2
229,0,2
229,1,5
230,1,1
231,0,6
231,1,5
232,0,1
233,0,1
233,1,4
234,0,5
234,1,1
235,0,2
235,1,8
236,0,1
236,1,5
237,0,2
237,1,2
238,0,3
238,1,4
239,0,3
239,1,3
240,0,1
240,1,1
241,0,4
241,1,1
242,0,4
242,1,1
243,0,5
244,0,3
244,1,1
245,0,5
245,1,1
246,0,6
246,1,3
247,0,1
247,1,4
248,0,2
248,1,3
249,0,1
249,1,2
250,0,2
250,1,1
251,0,1
251,1,4
252,0,2
252,1,1
253,0,6
253,1,1
254,0,4
254,1,1
255,0,1
255,1,1
256,0,2
256,1,1
257,0,4
257,1,1
258,0,3
258,1,5
259,0,5
259,1,2
260,0,4
260,1,2
261,0,2
261,1,3
262,0,1
262,1,1
263,0,4
263,1,2
264,0,1
264,1,3
265,0,2
265,1,3
266,0,1
266,1,1
267,0,4
267,1,4
268,0,3
268,1,3
269,0,3
269,1,5
270,0,4
270,1,8
271,0,4
271,1,11
272,0,3
272,1,22
273,0,1
273,1,34
274,0,3
274,1,68
275,0,1
275,1,67
276,0,5
276,1,103
277,0,4
277,1,311
278,0,1
278,1,61
279,0,3
279,1,26
280,0,5
280,1,22
281,0,2
281,1,4
282,0,2
282,1,6
