read_length,occurence
150,15
151,25
152,19
153,25
154,24
155,26
156,29
157,12
158,23
159,20
160,21
161,27
162,12
163,16
164,16
165,7
166,19
167,13
168,16
169,18
170,17
171,17
172,11
173,13
174,21
175,17
176,19
177,18
178,18
179,20
180,22
181,17
182,17
183,10
184,14
185,24
186,14
187,12
188,14
189,9
190,20
191,19
192,12
193,12
194,10
195,17
196,19
197,18
198,26
199,12
200,14
201,6
202,13
203,8
204,23
205,28
206,17
207,7
208,13
209,17
210,11
211,17
212,14
213,13
214,11
215,11
216,9
217,13
218,11
219,14
220,16
221,24
222,14
223,13
224,12
225,13
226,23
227,25
228,10
229,24
230,15
231,25
232,37
233,54
234,35
235,45
236,99
237,28
238,23
239,15
240,19
241,13
242,12
243,12
244,10
245,11
246,9
247,7
248,9
249,9
250,12
251,11
252,9
253,13
254,13
255,7
256,21
257,18
258,12
259,18
260,18
261,21
262,15
263,26
264,18
265,9
266,18
267,17
268,9
269,17
270,16
271,11
272,17
273,19
274,32
275,27
276,42
277,80
278,20
279,20
280,19
281,10
282,9
283,7
284,12
285,6
286,9
287,14
288,14
289,9
290,13
291,7
292,8
293,8
294,5
295,5
296,9
297,5
298,3
299,4
300,8
301,11
302,10
303,10
304,8
305,14
306,9
307,5
308,8
309,6
310,6
311,5
312,12
313,7
314,10
315,12
316,7
317,10
318,22
319,7
320,10
321,7
322,5
323,11
324,9
325,6
326,4
327,11
328,4
329,3
330,9
331,15
332,6
333,9
334,7
335,3
336,5
337,4
338,6
339,7
340,8
341,4
342,3
343,5
344,3
345,6
346,3
347,3
348,5
349,8
350,7
351,5
352,8
353,9
354,7
355,3
356,5
357,9
358,2
359,6
360,8
361,7
362,4
363,7
364,4
365,2
366,3
367,5
368,8
369,4
370,7
371,6
372,5
373,8
374,6
375,7
376,7
377,6
378,2
379,6
380,6
381,6
382,3
383,6
384,3
385,13
386,3
387,4
388,3
389,2
390,3
391,3
392,7
393,5
394,5
395,3
396,4
397,10
398,4
399,5
400,6
401,6
402,8
403,5
404,3
405,7
406,2
407,4
408,8
409,1
410,6
411,8
412,6
413,3
414,4
415,4
416,5
417,2
418,6
419,5
420,5
421,2
422,5
423,7
424,6
425,3
426,3
427,4
428,9
429,5
430,4
431,2
432,1
433,5
434,4
435,4
436,2
437,5
438,4
439,7
440,5
441,4
442,6
443,4
444,2
445,5
446,5
447,7
448,2
449,5
450,4
451,5
452,7
453,2
454,2
455,1
456,5
457,4
458,6
459,5
460,5
461,4
462,5
463,3
464,4
465,7
466,7
467,4
468,4
469,4
470,5
471,2
472,2
473,3
474,3
475,1
476,1
477,5
478,5
480,6
481,6
482,6
483,1
484,2
485,5
486,4
487,3
489,3
490,2
491,3
492,2
493,3
494,1
495,3
496,3
497,6
498,3
499,1
500,1
501,1
502,1
503,2
504,4
505,1
506,3
507,3
508,3
509,5
510,1
511,4
512,4
513,2
514,2
515,5
516,2
517,3
518,3
519,1
520,1
521,2
522,4
523,1
524,8
525,4
526,3
527,3
528,2
529,2
530,5
531,1
532,2
533,4
534,2
535,3
536,1
537,3
538,3
539,2
540,1
541,3
542,2
543,1
544,3
545,2
546,4
547,4
548,4
549,5
551,1
552,1
554,1
555,2
556,3
557,1
559,1
560,2
561,2
562,5
563,1
564,2
565,2
566,6
567,3
568,5
569,2
570,1
571,1
572,2
573,1
574,1
575,3
576,3
577,1
578,2
579,1
580,2
581,3
582,1
583,2
584,1
585,1
586,2
587,2
588,1
589,2
590,2
591,1
592,7
593,2
594,2
595,4
596,2
597,3
598,2
599,5
600,2
601,5
602,7
603,7
604,2
605,2
607,1
608,2
609,5
610,2
613,1
614,1
615,3
617,1
618,1
619,4
620,1
621,2
622,2
623,1
624,2
626,2
628,4
629,3
631,2
632,2
633,2
634,2
635,2
637,5
639,3
640,5
641,1
643,3
645,2
646,1
647,3
648,1
649,3
650,1
651,2
652,2
653,2
654,1
655,1
657,3
658,1
660,2
661,3
662,2
665,1
666,2
667,3
668,4
669,5
670,2
671,1
672,2
673,1
675,2
676,2
678,1
679,2
680,1
681,1
682,1
685,2
686,4
687,2
690,3
691,1
692,1
694,1
695,4
696,3
697,1
698,3
699,2
700,6
701,1
702,2
703,3
704,2
705,2
706,3
707,2
708,1
709,2
710,1
711,2
712,2
714,3
715,1
716,2
717,3
719,2
720,2
721,2
723,1
724,1
725,1
726,1
727,1
728,1
729,1
731,7
733,1
734,1
736,2
737,1
738,1
739,1
740,1
741,2
742,2
743,2
744,1
745,1
747,2
748,3
750,5
751,2
752,2
753,1
754,6
755,1
756,1
757,1
758,2
761,1
762,2
763,1
764,1
765,1
766,4
768,2
769,1
770,1
772,1
773,4
774,2
776,2
778,2
779,3
780,2
781,1
782,5
783,1
784,1
785,2
787,2
788,1
790,3
791,1
792,2
794,1
795,1
798,1
800,2
801,1
802,3
804,1
805,1
806,3
809,2
810,2
811,1
812,1
813,1
814,2
815,1
816,2
817,1
818,2
819,1
820,1
821,2
822,1
824,2
826,1
827,2
828,1
829,2
833,1
836,1
837,1
839,1
842,1
846,2
847,1
851,1
854,1
855,1
857,1
859,2
863,2
866,1
867,2
869,1
870,1
872,2
874,1
877,1
878,1
882,1
883,2
884,1
886,1
887,1
890,1
892,3
894,2
896,2
900,1
903,1
905,1
908,2
909,2
912,1
913,1
914,3
915,3
916,7
917,5
918,2
919,7
920,3
921,4
922,1
923,2
924,3
925,6
926,3
927,3
928,2
929,2
930,2
932,1
933,2
934,1
935,4
936,1
937,2
938,1
939,1
940,1
941,3
942,1
943,1
945,4
947,1
948,1
949,2
953,3
954,2
955,1
960,1
961,1
962,1
964,3
967,2
968,1
971,2
973,3
977,1
978,1
981,1
982,1
986,1
987,2
990,1
991,1
993,1
994,1
995,1
998,1
1001,2
1006,1
1008,1
1014,1
1015,1
1016,1
1019,2
1020,1
1026,1
1027,2
1028,2
1031,1
1035,1
1039,2
1040,1
1041,1
1042,1
1044,2
1045,2
1051,1
1052,1
1053,1
1056,1
1058,1
1062,1
1066,1
1069,1
1070,1
1071,1
1073,1
1075,2
1076,1
1085,1
1086,1
1090,1
1092,1
1097,1
1100,1
1101,2
1105,1
1106,2
1107,2
1108,1
1114,1
1123,1
1127,1
1130,1
1134,1
1144,1
1145,2
1148,1
1154,1
1156,1
1158,1
1162,1
1168,1
1177,1
1181,1
1182,1
1186,1
1189,1
1190,1
1191,1
1194,1
1195,1
1199,1

