read_length,mapped,occurence
1,1,1
44,1,1
51,1,34
59,1,1
61,1,3
83,1,1
84,1,1
85,1,2
86,1,1
88,1,4
89,1,2
90,1,2
92,1,2
95,1,2
96,1,1
97,1,1
98,1,5
99,1,2
100,1,2
101,1,4
102,1,8
103,1,3
104,1,10
105,1,8
106,1,12
107,1,15
108,1,36
109,1,35
110,1,242
111,1,59
112,1,18
113,1,5
114,1,7
115,1,17
116,1,4
117,1,2
118,1,1
119,1,1
120,1,1
121,1,1
122,1,2
124,1,2
125,1,5
126,1,4
127,1,1
128,1,1
130,1,1
137,1,1
141,1,1
143,1,1
148,1,1
150,0,3
150,1,3
151,0,3
151,1,1
152,0,5
152,1,2
153,0,2
154,1,1
155,0,4
156,0,5
157,0,2
157,1,2
158,0,2
159,0,5
159,1,1
160,0,4
160,1,1
161,0,2
161,1,5
162,0,7
162,1,1
163,0,9
163,1,3
164,0,18
164,1,4
165,0,252
165,1,6
166,0,35
167,0,15
167,1,2
168,0,67
168,1,2
169,0,15
169,1,3
170,0,16
170,1,1
171,0,12
171,1,2
172,0,7
172,1,2
173,0,8
173,1,4
174,0,11
174,1,2
175,0,17
175,1,4
176,0,23
176,1,4
177,0,15
177,1,9
178,0,6
178,1,7
179,0,4
179,1,4
180,0,3
180,1,9
181,0,3
181,1,16
182,0,2
182,1,10
183,0,5
183,1,8
184,0,2
184,1,19
185,0,4
185,1,16
186,0,9
186,1,29
187,0,24
187,1,68
188,0,86
188,1,431
189,0,21
189,1,66
190,0,9
190,1,30
191,0,21
191,1,39
192,0,6
192,1,29
193,0,6
193,1,23
194,0,5
194,1,21
195,0,7
195,1,27
196,0,2
196,1,28
197,0,6
197,1,33
198,0,21
198,1,31
199,0,5
199,1,24
200,0,5
200,1,32
201,0,6
201,1,46
202,0,3
202,1,44
203,0,4
203,1,46
204,0,4
204,1,53
205,0,2
205,1,55
206,0,4
206,1,51
207,0,5
207,1,69
208,0,5
208,1,63
209,0,7
209,1,73
210,0,5
210,1,63
211,0,1
211,1,43
212,1,63
213,0,1
213,1,58
214,0,9
214,1,59
215,0,3
215,1,54
216,0,10
216,1,57
217,0,8
217,1,53
218,0,5
218,1,30
219,0,5
219,1,29
220,0,4
220,1,31
221,0,10
221,1,36
222,0,4
222,1,41
223,0,16
223,1,39
224,0,18
224,1,35
225,0,14
225,1,38
226,0,16
226,1,36
227,0,36
227,1,57
228,0,70
228,1,67
229,0,388
229,1,59
230,0,72
230,1,74
231,0,35
231,1,104
232,0,103
232,1,160
233,0,18
233,1,199
234,0,21
234,1,349
235,0,17
235,1,837
236,0,13
236,1,4714
237,0,22
237,1,673
238,0,8
238,1,291
239,0,9
239,1,217
240,0,7
240,1,108
241,0,9
241,1,71
242,0,6
242,1,86
243,0,7
243,1,92
244,0,4
244,1,91
245,0,5
245,1,142
246,0,4
246,1,71
247,0,1
247,1,71
248,0,1
248,1,56
249,0,5
249,1,30
250,0,4
250,1,10
251,0,3
251,1,22
252,0,4
252,1,22
253,0,2
253,1,18
254,0,2
254,1,9
255,0,4
255,1,4
256,0,1
256,1,11
257,0,2
257,1,6
258,1,6
259,0,4
259,1,2
260,0,1
260,1,6
261,0,1
261,1,2
262,0,2
262,1,5
263,0,1
263,1,5
264,0,2
264,1,5
265,0,3
265,1,7
266,0,3
266,1,13
267,1,12
268,0,5
268,1,20
269,0,2
269,1,9
270,0,7
270,1,14
