seq_score,occurence
46.05,1.0
46.1,1.0
47.39,1.0
47.67,1.0
47.72,1.0
48.0,1.0
48.08,1.0
48.22,1.0
48.69,1.0
48.71,1.0
48.72,1.0
48.77,1.0
49.22,1.0
49.42,1.0
49.45,1.0
49.61,1.0
49.69,1.0
49.7,1.0
49.82,1.0
49.84,1.0
49.91,1.0
49.97,1.0
50.2,1.0
50.32,1.0
50.46,1.0
50.48,1.0
50.62,1.0
50.78,1.0
50.8,1.0
50.84,1.0
50.89,1.0
51.03,1.0
51.18,1.0
51.19,1.0
51.27,1.0
51.46,2.0
51.47,1.0
51.48,1.0
51.54,1.0
51.6,1.0
51.62,1.0
51.65,1.0
51.74,2.0
51.83,1.0
51.94,1.0
51.99,1.0
52.02,1.0
52.05,1.0
52.12,1.0
52.13,1.0
52.15,1.0
52.45,1.0
52.61,1.0
52.79,1.0
52.8,1.0
52.85,1.0
52.89,1.0
53.0,1.0
53.08,1.0
53.11,1.0
53.12,1.0
53.17,1.0
53.26,1.0
53.42,1.0
53.45,1.0
53.5,1.0
53.55,1.0
53.7,1.0
53.75,1.0
53.76,1.0
53.81,1.0
53.85,1.0
53.99,1.0
54.08,1.0
54.1,1.0
54.16,1.0
54.17,1.0
54.3,1.0
54.41,1.0
54.42,1.0
54.49,1.0
54.5,1.0
54.54,1.0
54.55,1.0
54.59,1.0
54.62,1.0
54.71,1.0
54.74,2.0
54.83,1.0
54.84,1.0
54.87,1.0
54.91,2.0
54.92,1.0
54.93,1.0
54.96,3.0
55.06,1.0
55.08,1.0
55.09,1.0
55.1,1.0
55.11,1.0
55.21,1.0
55.26,1.0
55.28,1.0
55.29,1.0
55.32,1.0
55.4,1.0
55.46,1.0
55.51,1.0
55.52,1.0
55.54,1.0
55.55,1.0
55.56,1.0
55.57,1.0
55.73,1.0
55.83,1.0
55.85,2.0
55.97,1.0
55.99,1.0
56.01,1.0
56.03,1.0
56.05,1.0
56.06,1.0
56.08,1.0
56.09,1.0
56.15,1.0
56.16,1.0
56.18,1.0
56.19,1.0
56.26,1.0
56.27,1.0
56.32,1.0
56.34,1.0
56.35,1.0
56.37,1.0
56.4,1.0
56.41,1.0
56.43,1.0
56.46,1.0
56.54,1.0
56.56,2.0
56.61,2.0
56.66,1.0
56.67,1.0
56.74,1.0
56.75,1.0
56.78,1.0
56.79,2.0
56.81,1.0
56.84,1.0
56.85,1.0
56.87,1.0
56.91,1.0
56.92,1.0
57.03,1.0
57.09,1.0
57.12,1.0
57.2,3.0
57.22,1.0
57.37,1.0
57.38,1.0
57.39,1.0
57.4,2.0
57.49,1.0
57.52,1.0
57.53,2.0
57.63,1.0
57.67,1.0
57.71,1.0
57.72,4.0
57.77,2.0
57.86,2.0
57.91,1.0
57.99,1.0
58.0,2.0
58.01,1.0
58.02,1.0
58.04,1.0
58.08,1.0
58.12,1.0
58.15,4.0
58.16,1.0
58.18,1.0
58.2,1.0
58.21,1.0
58.32,1.0
58.33,1.0
58.34,1.0
58.39,1.0
58.41,1.0
58.44,1.0
58.48,1.0
58.5,1.0
58.53,1.0
58.56,2.0
58.57,1.0
58.59,1.0
58.62,1.0
58.63,1.0
58.64,1.0
58.65,1.0
58.67,1.0
58.72,1.0
58.74,1.0
58.75,1.0
58.76,1.0
58.77,1.0
58.8,1.0
58.81,1.0
58.83,1.0
58.84,1.0
58.85,1.0
58.87,3.0
58.91,2.0
58.92,1.0
58.95,1.0
59.01,1.0
59.02,3.0
59.03,1.0
59.05,1.0
59.06,1.0
59.08,1.0
59.11,1.0
59.12,2.0
59.13,1.0
59.15,2.0
59.16,1.0
59.21,1.0
59.24,1.0
59.28,1.0
59.29,1.0
59.31,1.0
59.32,1.0
59.35,2.0
59.37,1.0
59.38,1.0
59.39,1.0
59.4,1.0
59.41,1.0
59.47,1.0
59.49,2.0
59.5,1.0
59.56,1.0
59.57,2.0
59.58,1.0
59.59,1.0
59.61,1.0
59.63,3.0
59.64,3.0
59.65,1.0
59.66,1.0
59.67,1.0
59.74,1.0
59.77,1.0
59.78,1.0
59.79,1.0
59.8,2.0
59.82,1.0
59.83,1.0
59.84,1.0
59.85,2.0
59.87,1.0
59.88,2.0
59.93,1.0
59.94,1.0
59.95,2.0
59.99,2.0
60.0,2.0
60.01,1.0
60.04,3.0
60.06,1.0
60.1,3.0
60.13,1.0
60.15,2.0
60.19,1.0
60.22,2.0
60.25,1.0
60.26,1.0
60.28,1.0
60.29,2.0
60.3,1.0
60.32,1.0
60.35,1.0
60.36,2.0
60.37,1.0
60.38,2.0
60.39,2.0
60.42,1.0
60.43,2.0
60.47,1.0
60.49,3.0
60.5,1.0
60.51,2.0
60.52,3.0
60.53,2.0
60.56,4.0
60.58,1.0
60.64,1.0
60.66,1.0
60.67,1.0
60.71,1.0
60.72,2.0
60.75,1.0
60.76,1.0
60.77,1.0
60.78,1.0
60.8,1.0
60.81,1.0
60.82,2.0
60.83,1.0
60.86,1.0
60.87,1.0
60.88,1.0
60.89,1.0
60.9,1.0
60.91,2.0
60.92,1.0
60.93,1.0
60.95,1.0
60.96,2.0
60.97,1.0
60.98,1.0
60.99,1.0
61.01,1.0
61.02,2.0
61.04,1.0
61.05,3.0
61.06,1.0
61.08,1.0
61.09,1.0
61.1,1.0
61.12,2.0
61.15,3.0
61.17,1.0
61.18,2.0
61.19,2.0
61.2,1.0
61.21,3.0
61.24,1.0
61.27,5.0
61.28,2.0
61.29,2.0
61.3,1.0
61.31,1.0
61.32,2.0
61.35,1.0
61.36,1.0
61.38,2.0
61.4,1.0
61.41,1.0
61.42,1.0
61.43,2.0
61.44,2.0
61.46,1.0
61.47,1.0
61.48,3.0
61.51,1.0
61.52,2.0
61.53,1.0
61.54,1.0
61.55,1.0
61.57,1.0
61.58,1.0
61.6,4.0
61.61,2.0
61.62,3.0
61.64,2.0
61.65,2.0
61.67,1.0
61.68,2.0
61.69,2.0
61.71,1.0
61.72,3.0
61.73,2.0
61.75,1.0
61.76,1.0
61.77,1.0
61.78,1.0
61.79,3.0
61.8,1.0
61.81,1.0
61.83,1.0
61.84,2.0
61.88,1.0
61.89,2.0
61.9,2.0
61.91,1.0
61.93,2.0
61.95,1.0
61.96,1.0
61.97,1.0
61.98,2.0
61.99,1.0
62.0,1.0
62.02,5.0
62.05,2.0
62.06,2.0
62.07,2.0
62.08,1.0
62.09,1.0
62.1,1.0
62.12,1.0
62.13,1.0
62.14,3.0
62.15,1.0
62.16,3.0
62.17,3.0
62.18,2.0
62.19,1.0
62.2,3.0
62.21,3.0
62.22,3.0
62.23,2.0
62.25,2.0
62.26,3.0
62.28,3.0
62.29,2.0
62.3,1.0
62.31,3.0
62.32,1.0
62.33,1.0
62.34,3.0
62.36,3.0
62.38,1.0
62.39,1.0
62.4,3.0
62.41,3.0
62.42,4.0
62.49,1.0
62.5,2.0
62.51,1.0
62.52,5.0
62.53,5.0
62.54,1.0
62.55,2.0
62.56,3.0
62.57,4.0
62.58,1.0
62.59,2.0
62.6,4.0
62.62,1.0
62.63,3.0
62.64,2.0
62.65,5.0
62.68,2.0
62.69,3.0
62.7,1.0
62.73,1.0
62.75,2.0
62.77,3.0
62.78,2.0
62.79,1.0
62.8,2.0
62.81,3.0
62.82,2.0
62.83,1.0
62.84,2.0
62.86,2.0
62.89,1.0
62.9,2.0
62.91,2.0
62.92,1.0
62.93,1.0
62.94,3.0
62.95,1.0
62.96,2.0
62.97,1.0
62.98,2.0
62.99,3.0
63.0,2.0
63.01,2.0
63.03,2.0
63.06,3.0
63.07,1.0
63.08,1.0
63.09,5.0
63.11,2.0
63.12,4.0
63.13,1.0
63.14,3.0
63.15,3.0
63.16,1.0
63.18,1.0
63.19,2.0
63.2,6.0
63.21,2.0
63.22,1.0
63.23,2.0
63.24,1.0
63.25,3.0
63.26,4.0
63.27,2.0
63.28,3.0
63.29,1.0
63.3,2.0
63.31,3.0
63.33,2.0
63.34,2.0
63.35,1.0
63.36,1.0
63.38,2.0
63.39,1.0
63.41,2.0
63.42,2.0
63.43,1.0
63.45,2.0
63.46,1.0
63.47,1.0
63.48,1.0
63.49,2.0
63.51,3.0
63.52,1.0
63.53,4.0
63.54,1.0
63.55,2.0
63.57,2.0
63.58,4.0
63.6,3.0
63.61,3.0
63.62,1.0
63.65,2.0
63.69,3.0
63.7,2.0
63.71,2.0
63.72,1.0
63.74,1.0
63.75,2.0
63.76,2.0
63.77,1.0
63.78,1.0
63.8,2.0
63.81,2.0
63.82,1.0
63.83,2.0
63.84,3.0
63.85,1.0
63.86,1.0
63.87,2.0
63.88,2.0
63.89,1.0
63.9,1.0
63.92,1.0
63.93,4.0
63.94,3.0
63.95,1.0
63.96,2.0
63.97,1.0
63.98,3.0
63.99,4.0
64.0,3.0
64.01,1.0
64.02,2.0
64.04,4.0
64.06,2.0
64.07,3.0
64.08,4.0
64.09,5.0
64.1,3.0
64.13,2.0
64.14,4.0
64.15,1.0
64.16,3.0
64.18,1.0
64.19,1.0
64.2,1.0
64.21,2.0
64.22,2.0
64.23,2.0
64.24,2.0
64.25,2.0
64.27,1.0
64.28,1.0
64.29,1.0
64.31,3.0
64.32,2.0
64.33,1.0
64.35,1.0
64.36,4.0
64.37,2.0
64.39,3.0
64.4,1.0
64.41,1.0
64.42,2.0
64.43,2.0
64.44,1.0
64.45,2.0
64.46,1.0
64.47,1.0
64.48,2.0
64.49,3.0
64.5,2.0
64.52,3.0
64.55,2.0
64.56,1.0
64.57,1.0
64.58,4.0
64.59,1.0
64.6,2.0
64.61,4.0
64.62,5.0
64.63,2.0
64.64,4.0
64.67,1.0
64.68,1.0
64.69,4.0
64.7,7.0
64.71,4.0
64.72,3.0
64.75,2.0
64.76,3.0
64.77,1.0
64.78,1.0
64.79,4.0
64.8,2.0
64.81,3.0
64.82,3.0
64.83,1.0
64.84,2.0
64.85,2.0
64.86,2.0
64.87,3.0
64.88,3.0
64.9,4.0
64.91,3.0
64.92,1.0
64.93,1.0
64.94,3.0
64.95,1.0
64.97,1.0
64.98,3.0
65.01,1.0
65.03,2.0
65.04,3.0
65.05,1.0
65.06,3.0
65.07,2.0
65.09,2.0
65.1,1.0
65.11,1.0
65.12,2.0
65.13,2.0
65.14,2.0
65.15,3.0
65.16,4.0
65.17,1.0
65.18,2.0
65.19,1.0
65.2,1.0
65.21,3.0
65.22,3.0
65.23,2.0
65.24,2.0
65.25,1.0
