read_length,mapped,occurence
122,1,1
148,1,1
150,0,6
150,1,1
151,0,5
152,0,8
153,0,9
154,0,3
155,0,1
156,0,1
157,0,3
158,0,7
159,0,5
160,0,3
161,0,9
161,1,1
162,0,6
162,1,1
163,0,2
164,0,4
165,0,1
166,0,4
166,1,1
167,0,3
168,0,5
169,0,3
169,1,1
170,0,6
171,0,10
172,0,7
173,0,4
174,0,5
175,0,3
177,0,5
177,1,1
178,0,4
179,0,5
180,0,6
180,1,2
181,0,2
182,0,9
182,1,1
183,0,3
183,1,1
184,0,2
184,1,4
185,0,2
185,1,13
186,0,5
186,1,6
187,0,5
187,1,5
188,0,5
188,1,2
189,0,6
189,1,2
190,0,5
191,0,1
191,1,1
192,0,3
192,1,3
193,0,7
194,1,1
195,0,2
196,0,3
196,1,1
197,0,4
197,1,2
198,0,3
198,1,1
199,0,1
199,1,4
200,0,4
200,1,1
201,0,1
201,1,1
202,0,6
202,1,3
203,0,4
204,0,5
204,1,3
205,0,1
205,1,6
206,0,4
206,1,6
207,0,2
207,1,3
208,0,4
209,0,5
210,0,3
210,1,1
211,0,3
211,1,3
212,0,4
212,1,8
213,1,2
214,0,3
214,1,4
215,0,4
215,1,5
216,1,1
217,0,7
217,1,5
218,0,4
218,1,1
219,0,3
219,1,6
220,1,4
221,0,1
221,1,5
222,1,13
223,0,5
223,1,14
224,0,3
224,1,10
225,0,5
225,1,15
226,1,7
227,0,4
227,1,9
228,0,4
228,1,6
229,0,5
229,1,10
230,0,1
230,1,10
231,0,5
231,1,15
232,0,1
232,1,33
233,0,3
233,1,46
234,0,6
234,1,45
235,0,1
235,1,80
236,0,4
236,1,215
237,0,2
237,1,82
238,0,1
238,1,116
239,0,1
239,1,35
240,0,7
240,1,14
241,0,2
241,1,13
242,0,3
242,1,9
243,0,2
243,1,2
244,1,7
245,0,3
245,1,8
246,0,6
246,1,7
247,0,2
247,1,5
248,1,3
249,0,2
249,1,10
250,0,2
250,1,7
251,0,4
251,1,12
252,0,1
252,1,6
253,0,5
253,1,8
254,0,2
254,1,7
255,0,3
255,1,7
256,0,1
256,1,11
257,0,1
257,1,3
258,0,7
258,1,8
259,0,4
259,1,9
260,0,2
260,1,21
261,0,1
261,1,13
262,0,3
