GC_content,occurence
24.5,1.0
24.89,1.0
26.86,1.0
26.89,1.0
27.04,1.0
27.37,1.0
28.06,1.0
28.18,1.0
28.34,1.0
28.52,1.0
28.61,1.0
28.86,1.0
29.18,1.0
29.33,1.0
29.36,1.0
29.5,1.0
29.65,1.0
29.86,1.0
30.01,1.0
30.02,1.0
30.06,1.0
30.09,1.0
30.11,1.0
30.25,1.0
30.27,1.0
30.31,1.0
30.39,1.0
30.52,1.0
30.62,1.0
30.68,1.0
31.15,1.0
31.17,1.0
31.23,1.0
31.44,1.0
31.51,1.0
31.79,1.0
32.26,1.0
32.31,1.0
32.45,1.0
32.56,1.0
32.58,1.0
32.66,1.0
32.76,1.0
32.91,1.0
32.93,1.0
33.0,1.0
33.01,1.0
33.04,1.0
33.2,1.0
33.33,1.0
33.41,1.0
33.43,1.0
33.45,1.0
33.48,1.0
33.59,1.0
33.64,1.0
33.78,1.0
33.85,1.0
33.86,1.0
33.88,1.0
33.89,1.0
33.94,1.0
33.95,1.0
33.98,1.0
34.12,1.0
34.15,1.0
34.16,1.0
34.17,1.0
34.27,1.0
34.28,1.0
34.29,1.0
34.31,2.0
34.32,1.0
34.35,2.0
34.36,1.0
34.45,1.0
34.63,1.0
34.66,1.0
34.67,2.0
34.7,1.0
34.75,1.0
34.81,1.0
34.92,1.0
34.98,1.0
35.08,2.0
35.13,2.0
35.19,1.0
35.2,1.0
35.26,1.0
35.31,1.0
35.45,1.0
35.55,1.0
35.58,1.0
35.65,1.0
35.66,1.0
35.71,1.0
35.73,1.0
35.88,1.0
35.89,1.0
35.9,1.0
35.92,1.0
35.94,1.0
36.06,1.0
36.11,1.0
36.13,1.0
36.16,1.0
36.24,1.0
36.34,1.0
36.38,1.0
36.41,1.0
36.43,1.0
36.48,1.0
36.49,1.0
36.5,1.0
36.54,1.0
36.55,2.0
36.56,1.0
36.6,1.0
36.63,1.0
36.64,1.0
36.65,1.0
36.71,1.0
36.73,2.0
36.75,2.0
36.78,2.0
36.79,1.0
36.81,1.0
36.85,1.0
36.94,2.0
36.97,2.0
37.01,1.0
37.05,2.0
37.07,1.0
37.09,1.0
37.11,1.0
37.13,1.0
37.16,3.0
37.19,1.0
37.22,1.0
37.26,1.0
37.27,1.0
37.29,2.0
37.3,1.0
37.35,3.0
37.38,1.0
37.39,1.0
37.42,1.0
37.5,5.0
37.55,1.0
37.57,1.0
37.62,1.0
37.64,1.0
37.65,1.0
37.69,1.0
37.7,1.0
37.74,2.0
37.79,1.0
37.8,1.0
37.82,1.0
37.85,1.0
37.86,1.0
37.87,1.0
37.88,1.0
37.91,1.0
37.92,2.0
37.93,1.0
37.95,1.0
38.01,1.0
38.02,1.0
38.07,1.0
38.11,1.0
38.18,1.0
38.2,1.0
38.25,1.0
38.26,1.0
38.3,2.0
38.4,1.0
38.52,1.0
38.53,1.0
38.61,1.0
38.64,1.0
38.68,1.0
38.7,1.0
38.71,1.0
38.73,1.0
38.74,1.0
38.78,1.0
38.79,1.0
38.81,1.0
38.82,1.0
38.91,1.0
38.94,2.0
38.99,1.0
39.1,1.0
39.13,1.0
39.14,1.0
39.16,2.0
39.21,1.0
39.23,1.0
39.32,1.0
39.33,1.0
39.34,1.0
39.36,1.0
39.46,1.0
39.49,1.0
39.54,1.0
39.57,2.0
39.59,1.0
39.62,1.0
39.64,2.0
39.69,1.0
39.71,1.0
39.76,1.0
39.77,3.0
39.78,1.0
39.81,1.0
39.82,1.0
39.9,1.0
39.93,1.0
39.97,1.0
39.98,1.0
40.0,6.0
40.07,2.0
40.11,1.0
40.21,1.0
40.23,1.0
40.25,1.0
40.27,1.0
40.29,2.0
40.44,1.0
40.46,1.0
40.49,1.0
40.6,1.0
40.62,1.0
40.67,1.0
40.72,1.0
40.74,1.0
40.82,1.0
40.83,1.0
40.86,1.0
40.92,1.0
40.93,1.0
40.94,1.0
41.0,1.0
41.01,1.0
41.05,1.0
41.07,1.0
41.12,1.0
41.14,1.0
41.18,2.0
41.19,1.0
41.2,1.0
41.21,1.0
41.22,1.0
41.23,1.0
41.25,1.0
41.26,1.0
41.29,1.0
41.3,2.0
41.32,3.0
41.33,3.0
41.34,1.0
41.37,1.0
41.39,1.0
41.4,2.0
41.42,2.0
41.45,1.0
41.47,1.0
41.48,1.0
41.49,1.0
41.52,1.0
41.54,1.0
41.56,1.0
41.57,2.0
41.58,1.0
41.59,1.0
41.6,3.0
41.64,1.0
41.65,2.0
41.67,2.0
41.71,1.0
41.74,1.0
41.75,2.0
41.76,1.0
41.77,1.0
41.81,3.0
41.84,1.0
41.88,1.0
41.91,4.0
41.92,1.0
41.94,2.0
42.0,3.0
42.01,1.0
42.03,1.0
42.04,1.0
42.05,1.0
42.07,1.0
42.11,1.0
42.13,1.0
42.16,1.0
42.18,1.0
42.19,1.0
42.2,1.0
42.21,2.0
42.22,2.0
42.23,1.0
42.26,1.0
42.29,2.0
42.3,1.0
42.31,1.0
42.37,1.0
42.38,1.0
42.42,2.0
42.44,2.0
42.45,2.0
42.47,1.0
42.48,2.0
42.5,2.0
42.53,2.0
42.55,2.0
42.57,1.0
42.58,2.0
42.59,1.0
42.6,2.0
42.62,1.0
42.64,1.0
42.65,1.0
42.66,2.0
42.67,2.0
42.71,3.0
42.75,1.0
42.76,1.0
42.77,1.0
42.78,1.0
42.81,1.0
42.83,2.0
42.84,1.0
42.86,5.0
42.87,1.0
42.88,3.0
42.9,1.0
42.92,1.0
42.93,1.0
42.94,1.0
42.95,3.0
43.02,1.0
43.04,2.0
43.08,1.0
43.1,1.0
43.11,1.0
43.12,2.0
43.13,1.0
43.14,1.0
43.15,2.0
43.16,1.0
43.17,2.0
43.19,2.0
43.2,1.0
43.21,2.0
43.22,1.0
43.24,3.0
43.25,1.0
43.27,1.0
43.28,1.0
43.29,1.0
43.3,1.0
43.32,2.0
43.33,2.0
43.35,2.0
43.36,1.0
43.37,2.0
