seq_score,occurence
42.69,1.0
44.68,1.0
44.75,1.0
45.25,1.0
45.29,1.0
45.57,1.0
45.61,1.0
45.78,1.0
45.84,2.0
46.02,1.0
46.12,1.0
46.14,1.0
46.4,1.0
46.43,1.0
46.47,1.0
46.5,1.0
46.51,1.0
46.57,1.0
46.62,1.0
46.64,1.0
46.67,1.0
46.68,1.0
46.76,1.0
46.77,2.0
46.82,1.0
46.85,1.0
46.88,1.0
46.91,3.0
46.93,1.0
46.99,1.0
47.0,1.0
47.12,2.0
47.13,1.0
47.14,2.0
47.17,1.0
47.18,1.0
47.23,2.0
47.31,1.0
47.38,1.0
47.39,1.0
47.41,1.0
47.42,2.0
47.47,1.0
47.51,1.0
47.53,1.0
47.55,1.0
47.6,2.0
47.65,1.0
47.68,2.0
47.7,1.0
47.71,1.0
47.72,1.0
47.74,1.0
47.75,1.0
47.76,3.0
47.79,2.0
47.8,1.0
47.83,1.0
47.85,1.0
47.91,1.0
47.92,1.0
47.96,1.0
47.97,1.0
47.99,1.0
48.06,1.0
48.09,1.0
48.12,1.0
48.14,1.0
48.17,2.0
48.18,1.0
48.19,1.0
48.2,1.0
48.22,1.0
48.27,1.0
48.34,3.0
48.36,1.0
48.37,1.0
48.38,1.0
48.39,1.0
48.43,2.0
48.45,1.0
48.46,1.0
48.47,1.0
48.48,1.0
48.5,2.0
48.51,1.0
48.52,1.0
48.53,1.0
48.54,1.0
48.56,1.0
48.6,1.0
48.62,2.0
48.63,1.0
48.65,1.0
48.66,2.0
48.67,2.0
48.75,1.0
48.76,1.0
48.77,1.0
48.78,1.0
48.84,1.0
48.87,1.0
48.88,2.0
48.89,2.0
48.9,2.0
48.91,1.0
48.92,1.0
48.94,3.0
48.96,4.0
48.98,2.0
48.99,1.0
49.01,1.0
49.02,1.0
49.03,1.0
49.05,2.0
49.06,2.0
49.09,1.0
49.11,1.0
49.14,1.0
49.15,4.0
49.16,1.0
49.17,1.0
49.18,1.0
49.19,1.0
49.2,2.0
49.21,2.0
49.23,1.0
49.24,1.0
49.25,1.0
49.26,2.0
49.3,1.0
49.32,1.0
49.33,2.0
49.35,1.0
49.37,1.0
49.38,1.0
49.39,2.0
49.4,1.0
49.41,1.0
49.43,1.0
49.47,1.0
49.48,1.0
49.5,1.0
49.51,1.0
49.52,2.0
49.53,1.0
49.54,1.0
49.56,2.0
49.58,1.0
49.59,2.0
49.6,1.0
49.61,2.0
49.62,3.0
49.64,2.0
49.65,2.0
49.66,1.0
49.68,2.0
49.72,1.0
49.74,1.0
49.75,1.0
49.77,2.0
49.78,1.0
49.79,1.0
49.8,2.0
49.81,1.0
49.82,4.0
49.83,5.0
49.85,1.0
49.86,1.0
49.88,2.0
49.9,1.0
49.92,2.0
49.93,3.0
49.95,1.0
49.96,2.0
49.98,2.0
49.99,2.0
50.01,4.0
50.02,1.0
50.03,1.0
50.04,2.0
50.05,1.0
50.06,2.0
50.07,3.0
50.08,1.0
50.09,3.0
50.1,1.0
50.11,3.0
50.12,2.0
50.13,1.0
50.14,3.0
50.15,1.0
50.17,1.0
50.18,1.0
50.2,1.0
50.21,3.0
50.22,3.0
50.24,1.0
50.25,3.0
50.26,1.0
50.28,1.0
50.29,2.0
50.3,1.0
50.31,1.0
50.33,4.0
50.34,2.0
50.35,1.0
50.36,3.0
50.37,2.0
50.38,4.0
50.39,3.0
50.4,2.0
50.42,2.0
50.43,3.0
50.44,2.0
50.45,2.0
50.46,2.0
50.47,3.0
50.48,4.0
50.49,1.0
50.5,3.0
50.52,1.0
50.53,3.0
50.54,1.0
50.55,2.0
50.58,3.0
50.59,4.0
50.6,3.0
50.61,2.0
50.62,2.0
50.63,1.0
50.64,2.0
50.65,1.0
50.67,3.0
50.68,4.0
50.69,4.0
50.7,3.0
50.71,3.0
50.72,1.0
50.73,2.0
50.75,1.0
50.76,1.0
50.78,4.0
50.79,1.0
50.8,5.0
50.81,1.0
50.82,4.0
50.83,1.0
50.84,3.0
50.85,2.0
50.86,3.0
50.87,1.0
50.88,1.0
50.89,1.0
50.9,4.0
50.91,2.0
50.92,1.0
50.93,2.0
50.94,2.0
50.95,1.0
50.96,1.0
50.97,3.0
50.98,1.0
