GC_content,occurence
37.33,1.0
37.8,1.0
38.06,1.0
38.87,1.0
39.53,1.0
39.58,1.0
41.09,1.0
41.93,1.0
42.08,1.0
42.12,1.0
42.24,1.0
42.34,1.0
42.58,1.0
42.67,1.0
42.79,1.0
45.01,1.0
45.25,1.0
45.63,1.0
45.74,1.0
45.92,1.0
46.27,1.0
46.47,1.0
47.58,1.0
47.73,1.0
47.77,1.0
48.4,1.0
48.41,2.0
49.03,1.0
49.55,1.0
49.61,1.0
50.0,1.0
50.31,1.0
50.44,1.0
50.54,1.0
50.57,1.0
50.75,1.0
51.01,1.0
51.24,1.0
51.37,1.0
51.39,1.0
51.53,1.0
51.72,1.0
51.9,1.0
52.08,1.0
52.19,1.0
52.53,1.0
52.94,1.0
54.03,1.0
55.89,1.0
59.9,1.0

