GC_content,occurence
10.53,1.0
14.94,1.0
18.78,1.0
28.4,1.0
29.08,1.0
29.14,1.0
29.17,1.0
29.75,1.0
30.48,1.0
30.84,1.0
30.93,1.0
31.0,1.0
31.05,1.0
31.33,1.0
31.41,1.0
31.61,1.0
31.64,2.0
31.68,1.0
31.69,1.0
31.72,1.0
31.73,2.0
31.86,1.0
31.99,1.0
32.06,1.0
32.15,1.0
32.16,1.0
32.23,1.0
32.47,1.0
32.49,1.0
32.51,1.0
32.64,1.0
32.67,1.0
32.69,1.0
32.79,1.0
32.81,1.0
33.07,1.0
33.14,1.0
33.2,1.0
33.21,1.0
33.23,1.0
33.29,1.0
33.33,1.0
33.36,1.0
33.42,2.0
33.44,1.0
33.53,1.0
33.54,1.0
33.57,1.0
33.65,1.0
33.68,1.0
33.71,1.0
33.73,1.0
33.74,1.0
33.75,3.0
33.82,1.0
33.85,1.0
33.87,1.0
33.94,1.0
34.03,1.0
34.17,2.0
34.18,1.0
34.25,2.0
34.28,1.0
34.3,1.0
34.36,1.0
34.39,1.0
34.46,1.0
34.51,1.0
34.54,1.0
34.56,1.0
34.58,1.0
34.59,1.0
34.64,1.0
34.78,1.0
34.83,1.0
34.88,1.0
35.0,1.0
35.1,1.0
35.16,2.0
35.18,1.0
35.3,1.0
35.33,1.0
35.35,1.0
35.36,2.0
35.4,1.0
35.41,1.0
35.47,1.0
35.58,1.0
35.61,1.0
35.63,1.0
35.71,1.0
35.74,1.0
35.75,1.0
35.76,1.0
35.86,1.0
35.98,7.0
36.02,1.0
36.03,1.0
36.07,1.0
36.08,1.0
36.18,1.0
36.25,1.0
36.31,1.0
36.34,1.0
36.35,1.0
36.44,1.0
36.45,1.0
36.46,1.0
36.48,1.0
36.53,1.0
36.55,1.0
36.65,1.0
36.76,1.0
36.84,1.0
36.86,1.0
36.87,1.0
36.9,1.0
36.91,2.0
36.92,1.0
36.99,2.0
37.0,1.0
37.07,1.0
37.09,1.0
37.11,1.0
37.12,1.0
37.16,3.0
37.18,1.0
37.19,1.0
37.2,1.0
37.21,2.0
37.23,1.0
37.24,1.0
37.26,1.0
37.32,1.0
37.35,2.0
37.36,3.0
37.39,1.0
37.4,2.0
37.41,1.0
37.44,2.0
37.47,2.0
37.49,1.0
37.5,2.0
37.52,3.0
37.56,1.0
37.59,1.0
37.63,1.0
37.65,1.0
37.66,4.0
37.68,2.0
37.69,2.0
37.7,1.0
37.75,2.0
37.76,3.0
37.78,1.0
37.8,1.0
37.81,3.0
37.82,1.0
37.83,2.0
37.84,1.0
37.85,3.0
37.86,1.0
37.88,1.0
37.89,3.0
37.95,4.0
37.97,1.0
37.98,4.0
37.99,1.0
38.0,2.0
38.02,3.0
38.04,2.0
38.06,3.0
38.08,2.0
38.09,3.0
38.1,1.0
38.11,2.0
38.12,2.0
38.13,3.0
38.14,3.0
38.15,1.0
38.16,1.0
38.17,3.0
38.19,1.0
38.2,1.0
38.21,5.0
38.23,2.0
38.24,1.0
38.25,3.0
38.26,2.0
38.27,5.0
38.29,2.0
38.3,1.0
38.31,4.0
38.32,1.0
38.33,5.0
38.34,1.0
38.37,2.0
38.41,2.0
38.42,1.0
38.43,1.0
38.46,2.0
38.49,2.0
38.52,1.0
38.54,1.0
38.56,1.0
38.57,1.0
38.58,2.0
38.59,1.0
38.6,3.0
38.61,1.0
38.62,1.0
38.63,1.0
38.65,1.0
38.66,1.0
38.68,2.0
38.69,1.0
38.7,1.0
38.72,2.0
38.73,4.0
38.74,2.0
38.75,3.0
38.76,4.0
38.77,4.0
38.79,2.0
38.8,1.0
38.83,1.0
38.84,3.0
38.86,1.0
38.91,1.0
38.92,1.0
38.93,1.0
38.94,1.0
38.96,1.0
38.97,2.0
38.98,2.0
39.0,2.0
39.01,1.0
39.03,2.0
39.04,4.0
39.06,1.0
39.07,2.0
39.08,1.0
39.09,2.0
39.11,1.0
39.12,1.0
39.13,1.0
39.14,1.0
39.15,2.0
39.16,1.0
39.19,3.0
39.2,1.0
39.22,2.0
39.23,1.0
39.24,2.0
39.25,1.0
39.27,7.0
39.28,1.0
39.29,1.0
39.3,4.0
39.31,2.0
39.33,3.0
39.34,1.0
39.37,3.0
39.38,1.0
39.39,4.0
39.41,2.0
39.42,3.0
39.43,2.0
39.44,4.0
39.45,2.0
39.46,1.0
39.47,3.0
39.48,2.0
39.49,2.0
39.52,8.0
39.53,3.0
39.54,1.0
39.55,3.0
39.56,2.0
39.59,3.0
39.62,3.0
39.63,7.0
39.64,2.0
39.66,2.0
39.67,2.0
39.68,1.0
39.69,1.0
39.71,2.0
39.72,2.0
39.73,2.0
39.74,1.0
39.75,2.0
39.77,1.0
39.78,3.0
39.8,2.0
39.81,1.0
39.82,1.0
39.83,2.0
39.84,1.0
39.85,2.0
39.86,4.0
39.87,1.0
39.88,3.0
39.89,3.0
39.9,2.0
39.91,2.0
39.92,1.0
39.93,1.0
39.95,2.0
39.96,2.0
39.97,1.0
40.0,5.0
40.04,2.0
40.05,1.0
40.07,1.0
40.09,1.0
40.1,2.0
40.12,1.0
40.13,1.0
40.15,1.0
40.17,2.0
40.18,1.0
40.2,2.0
40.22,1.0
40.23,1.0
40.24,3.0
40.25,1.0
40.26,4.0
40.27,4.0
40.28,1.0
40.29,4.0
40.32,3.0
40.33,3.0
40.35,5.0
40.36,4.0
40.37,2.0
40.38,5.0
40.39,1.0
40.4,2.0
40.42,1.0
40.43,3.0
40.44,2.0
40.45,2.0
40.47,1.0
40.49,1.0
40.5,1.0
40.51,2.0
40.52,2.0
40.54,1.0
40.55,1.0
40.56,2.0
40.58,1.0
40.6,1.0
40.61,2.0
40.62,2.0
40.63,3.0
40.65,1.0
40.66,2.0
40.67,1.0
40.68,1.0
40.69,2.0
40.7,2.0
40.73,1.0
40.74,1.0
40.76,1.0
40.78,1.0
40.81,3.0
40.82,2.0
40.83,1.0
40.84,2.0
40.85,1.0
40.86,2.0
40.87,2.0
40.9,1.0
40.91,1.0
40.92,1.0
40.93,3.0
40.94,1.0
40.95,1.0
40.96,2.0
40.97,1.0
40.98,3.0
41.0,1.0
41.01,2.0
41.02,2.0
41.03,2.0
41.04,2.0
41.05,1.0
41.07,1.0
41.08,1.0
41.09,1.0
41.1,3.0
41.11,3.0
41.12,1.0
41.13,1.0
41.14,1.0
41.15,1.0
41.17,1.0
41.18,3.0
41.19,1.0
41.21,3.0
41.22,3.0
41.24,1.0
41.26,2.0
41.27,3.0
41.29,1.0
41.3,1.0
41.32,1.0
41.33,2.0
41.34,1.0
41.35,2.0
41.36,1.0
41.39,3.0
41.4,1.0
41.41,2.0
41.43,2.0
41.45,2.0
41.46,1.0
41.47,1.0
41.48,3.0
41.49,1.0
41.5,3.0
41.51,2.0
41.52,1.0
41.53,2.0
41.56,2.0
41.57,1.0
41.58,1.0
41.59,2.0
41.6,2.0
41.61,1.0
41.62,4.0
41.63,1.0
41.67,3.0
41.68,1.0
41.7,2.0
41.73,3.0
41.74,2.0
41.75,1.0
41.76,1.0
41.78,2.0
41.79,2.0
41.82,1.0
41.85,4.0
41.87,2.0
41.89,5.0
41.9,4.0
41.91,2.0
41.92,4.0
41.93,1.0
41.94,3.0
41.95,5.0
41.97,2.0
41.98,2.0
41.99,1.0
42.0,1.0
42.01,2.0
42.02,4.0
42.03,4.0
42.04,2.0
42.05,2.0
42.06,1.0
42.08,1.0
42.09,2.0
42.1,1.0
42.11,4.0
42.12,3.0
42.13,3.0
42.14,1.0
42.15,4.0
42.16,1.0
42.18,4.0
42.19,1.0
42.2,1.0
42.21,3.0
42.22,1.0
42.23,6.0
42.24,3.0
42.25,3.0
42.26,1.0
42.27,2.0
42.28,4.0
42.29,4.0
42.3,1.0
42.31,2.0
42.32,2.0
42.33,2.0
42.35,4.0
42.36,3.0
42.37,1.0
42.38,4.0
42.39,3.0
42.4,1.0
42.41,3.0
42.42,1.0
42.43,1.0
42.44,1.0
42.45,2.0
42.46,2.0
42.47,2.0
42.48,5.0
42.49,1.0
42.5,2.0
42.52,2.0
42.53,4.0
42.54,1.0
42.55,2.0
42.56,2.0
42.57,3.0
42.58,2.0
42.59,2.0
42.6,2.0
42.62,5.0
42.63,2.0
42.65,5.0
42.66,2.0
42.67,6.0
42.68,5.0
42.69,2.0
42.7,2.0
42.71,7.0
42.72,2.0
42.73,2.0
42.74,1.0
42.75,2.0
42.76,2.0
42.77,2.0
42.78,1.0
42.79,1.0
42.8,1.0
42.81,4.0
42.83,3.0
42.84,4.0
42.86,7.0
42.87,4.0
42.89,2.0
42.9,1.0
42.91,3.0
42.92,4.0
42.93,8.0
42.94,4.0
42.95,8.0
42.96,2.0
42.97,3.0
42.98,1.0
42.99,2.0
43.0,8.0
43.01,6.0
43.02,3.0
43.03,4.0
43.04,2.0
43.05,8.0
43.06,7.0
43.07,1.0
43.08,3.0
43.09,6.0
43.1,9.0
43.11,1.0
43.12,7.0
43.13,2.0
43.14,6.0
43.15,5.0
43.16,6.0
43.17,6.0
43.18,7.0
43.2,3.0
43.21,2.0
43.22,7.0
43.23,1.0
43.24,4.0
43.25,2.0
43.26,5.0
43.27,8.0
43.28,8.0
43.3,2.0
43.31,6.0
43.32,6.0
43.33,2.0
43.34,3.0
43.35,3.0
43.36,2.0
43.37,5.0
43.38,4.0
43.39,1.0
43.4,3.0
43.41,2.0
43.42,6.0
43.43,2.0
43.44,3.0
43.46,6.0
43.48,7.0
43.5,2.0
43.51,3.0
43.52,3.0
43.53,1.0
43.54,3.0
43.55,1.0
43.56,3.0
43.57,3.0
43.58,3.0
43.59,4.0
43.6,5.0
43.61,6.0
43.62,4.0
43.63,1.0
43.65,2.0
43.66,2.0
43.67,1.0
43.68,4.0
43.69,2.0
43.7,2.0
43.71,4.0
43.73,5.0
43.74,3.0
43.75,2.0
43.76,1.0
43.77,2.0
43.78,3.0
43.79,1.0
43.8,1.0
43.81,3.0
43.82,1.0
43.83,3.0
43.85,4.0
43.86,1.0
43.87,3.0
43.88,5.0
43.89,6.0
43.9,3.0
43.91,1.0
43.93,5.0
43.95,2.0
43.96,3.0
43.97,3.0
43.98,5.0
44.0,2.0
44.02,4.0
44.03,3.0
44.04,5.0
44.05,4.0
44.06,4.0
44.07,2.0
44.08,2.0
44.09,3.0
44.1,2.0
44.12,1.0
44.13,5.0
44.14,3.0
44.15,2.0
44.16,4.0
44.17,2.0
44.19,3.0
44.2,1.0
44.21,2.0
44.22,1.0
44.23,1.0
44.24,5.0
44.25,1.0
44.26,2.0
44.27,3.0
44.28,1.0
44.29,3.0
44.3,3.0
44.32,1.0
44.33,2.0
44.34,2.0
44.35,2.0
44.36,3.0
44.37,2.0
44.38,6.0
44.39,3.0
44.4,3.0
44.41,5.0
44.42,1.0
44.44,8.0
44.46,1.0
44.47,3.0
44.48,2.0
44.49,1.0
44.5,4.0
44.51,1.0
44.52,3.0
44.53,2.0
44.54,1.0
44.55,3.0
44.57,1.0
44.58,4.0
44.59,4.0
44.6,1.0
44.61,3.0
44.63,5.0
44.64,1.0
44.65,5.0
44.66,4.0
44.67,3.0
44.69,1.0
44.7,3.0
44.71,3.0
44.72,2.0
44.73,3.0
44.75,1.0
44.76,2.0
44.77,2.0
44.78,1.0
44.79,3.0
44.8,2.0
44.81,3.0
44.82,2.0
44.83,1.0
44.84,4.0
44.87,1.0
44.88,1.0
44.89,3.0
44.9,2.0
44.91,3.0
44.92,1.0
44.93,5.0
44.94,4.0
44.95,1.0
44.96,2.0
44.98,1.0
44.99,1.0
45.0,2.0
45.01,1.0
45.02,1.0
45.03,6.0
45.05,2.0
45.06,5.0
45.08,1.0
45.09,2.0
45.11,3.0
45.12,1.0
45.14,1.0
45.15,4.0
45.16,4.0
45.17,1.0
45.18,1.0
45.19,5.0
45.2,1.0
45.21,3.0
45.22,3.0
45.23,5.0
45.26,1.0
45.27,2.0
45.28,1.0
45.29,3.0
45.3,2.0
45.31,2.0
45.32,3.0
45.33,4.0
45.35,3.0
45.36,1.0
45.37,3.0
45.38,2.0
45.39,3.0
45.4,1.0
45.41,2.0
45.42,3.0
45.43,3.0
45.44,4.0
45.45,5.0
45.47,4.0
45.48,2.0
45.49,1.0
45.5,4.0
45.51,2.0
45.52,1.0
45.53,2.0
45.54,3.0
45.56,5.0
45.57,7.0
45.58,1.0
45.59,3.0
45.6,3.0
45.61,1.0
45.62,2.0
45.63,3.0
45.64,1.0
45.66,4.0
45.67,1.0
45.68,4.0
45.69,4.0
45.7,1.0
45.71,3.0
45.73,8.0
45.74,3.0
45.75,2.0
45.76,5.0
45.78,5.0
45.79,1.0
45.81,4.0
45.82,4.0
45.83,5.0
45.85,1.0
45.86,5.0
45.87,1.0
45.88,3.0
45.91,1.0
45.92,2.0
45.93,3.0
45.94,1.0
45.95,2.0
45.96,6.0
45.97,3.0
45.98,4.0
45.99,4.0
46.0,5.0
46.01,3.0
46.02,2.0
46.03,3.0
46.04,2.0
46.05,4.0
46.06,5.0
46.07,3.0
46.09,1.0
46.1,2.0
46.11,2.0
46.12,2.0
46.13,6.0
46.14,2.0
46.15,10.0
46.17,3.0
46.18,6.0
46.19,5.0
46.2,3.0
46.21,1.0
46.22,1.0
46.23,5.0
46.24,4.0
46.25,3.0
46.26,4.0
46.27,2.0
46.29,2.0
46.3,3.0
46.31,2.0
46.32,6.0
46.33,2.0
46.34,2.0
46.35,6.0
46.36,4.0
46.37,2.0
46.38,1.0
46.4,2.0
46.41,3.0
46.42,1.0
46.43,8.0
46.44,1.0
46.45,1.0
46.46,3.0
46.47,7.0
46.48,3.0
46.49,5.0
46.5,3.0
46.51,1.0
46.52,3.0
46.53,4.0
46.54,4.0
46.56,3.0
46.58,2.0
46.59,1.0
46.6,2.0
46.61,1.0
46.63,6.0
46.64,1.0
46.65,3.0
46.66,2.0
46.67,8.0
46.68,1.0
46.69,2.0
46.7,2.0
46.71,3.0
46.72,2.0
46.73,1.0
46.74,1.0
46.75,4.0
46.76,4.0
46.77,7.0
46.78,2.0
46.79,5.0
46.8,1.0
46.81,2.0
46.82,2.0
46.83,5.0
46.84,5.0
46.85,1.0
46.87,2.0
46.88,4.0
46.89,1.0
46.9,3.0
46.91,3.0
46.92,2.0
46.93,1.0
46.94,2.0
46.95,4.0
46.96,2.0
46.97,1.0
46.98,3.0
46.99,3.0
47.0,1.0
47.01,4.0
47.02,16.0
47.03,4.0
47.04,3.0
47.05,2.0
47.06,4.0
47.08,3.0
47.09,3.0
47.1,2.0
47.11,3.0
47.12,2.0
47.13,4.0
47.14,2.0
47.15,1.0
47.16,4.0
47.17,2.0
47.18,7.0
47.19,2.0
47.2,2.0
47.21,4.0
47.22,6.0
47.23,3.0
47.24,7.0
47.25,2.0
47.27,3.0
47.28,1.0
47.29,2.0
47.3,2.0
47.31,10.0
47.32,5.0
47.33,4.0
47.34,5.0
47.35,2.0
47.36,1.0
47.37,6.0
47.38,3.0
47.39,1.0
47.4,1.0
47.41,1.0
47.42,4.0
47.43,4.0
47.44,6.0
47.45,4.0
47.46,5.0
47.47,3.0
47.48,1.0
47.49,3.0
47.5,3.0
47.51,5.0
47.52,3.0
47.53,2.0
47.54,1.0
47.55,1.0
47.56,5.0
47.57,4.0
47.58,2.0
47.59,3.0
47.6,3.0
47.61,2.0
47.62,6.0
47.63,2.0
47.64,4.0
47.65,2.0
47.66,1.0
47.67,3.0
47.68,2.0
47.69,5.0
47.7,2.0
47.71,6.0
47.73,2.0
47.74,2.0
47.75,1.0
47.76,3.0
47.78,2.0
47.79,4.0
47.8,8.0
47.81,5.0
47.83,3.0
47.84,2.0
47.85,4.0
47.86,2.0
47.87,7.0
47.88,3.0
47.89,4.0
47.9,2.0
47.91,5.0
47.92,4.0
47.93,2.0
47.94,1.0
47.96,4.0
47.97,5.0
47.98,3.0
47.99,3.0
48.0,4.0
48.01,5.0
48.02,5.0
48.03,6.0
48.04,5.0
48.05,3.0
48.06,1.0
48.07,1.0
48.08,4.0
48.09,4.0
48.1,6.0
48.11,2.0
48.12,3.0
48.13,2.0
48.14,2.0
48.15,4.0
48.16,1.0
48.17,2.0
48.19,5.0
48.2,1.0
48.21,4.0
48.22,6.0
48.23,2.0
48.24,3.0
48.25,2.0
48.26,3.0
48.27,1.0
48.28,8.0
48.29,2.0
48.3,1.0
48.31,4.0
48.32,1.0
48.33,5.0
48.34,2.0
48.35,2.0
48.36,6.0
48.37,3.0
48.38,6.0
48.39,5.0
48.4,4.0
48.41,1.0
48.42,3.0
48.43,5.0
48.44,2.0
48.45,4.0
48.47,1.0
48.48,5.0
48.49,7.0
48.5,7.0
48.52,3.0
48.53,7.0
48.54,3.0
48.55,7.0
48.57,5.0
48.58,5.0
48.59,5.0
48.6,10.0
48.61,4.0
48.62,4.0
48.63,2.0
48.64,4.0
48.65,1.0
48.66,6.0
48.67,2.0
48.68,3.0
48.69,6.0
48.7,8.0
48.71,10.0
48.72,3.0
48.73,3.0
48.74,5.0
48.75,6.0
48.76,4.0
48.77,2.0
48.78,1.0
48.79,2.0
48.8,6.0
48.81,5.0
48.82,16.0
48.83,4.0
48.84,6.0
48.85,4.0
48.86,4.0
48.87,6.0
48.88,6.0
48.89,2.0
48.9,8.0
48.91,6.0
48.92,16.0
48.93,7.0
48.95,8.0
48.96,5.0
48.97,3.0
48.98,8.0
48.99,4.0
49.0,8.0
49.01,8.0
49.02,5.0
49.03,23.0
49.04,4.0
49.05,2.0
49.06,1.0
49.07,3.0
49.08,10.0
49.09,5.0
49.1,3.0
49.11,1.0
49.12,4.0
49.13,9.0
49.14,8.0
49.15,9.0
49.16,14.0
49.17,5.0
49.18,3.0
49.19,1.0
49.2,3.0
49.21,7.0
49.23,4.0
49.24,9.0
49.25,6.0
49.26,3.0
49.27,4.0
49.28,3.0
49.29,2.0
49.3,4.0
49.31,2.0
49.32,4.0
49.33,6.0
49.34,2.0
49.35,8.0
49.36,7.0
49.37,6.0
49.38,4.0
49.39,3.0
49.41,5.0
49.42,1.0
49.43,1.0
49.44,5.0
49.45,9.0
49.46,14.0
49.47,2.0
49.48,2.0
49.49,5.0
49.5,5.0
49.51,5.0
49.52,4.0
49.53,1.0
49.54,2.0
49.55,3.0
49.56,2.0
49.57,6.0
49.58,2.0
49.59,3.0
49.6,8.0
49.61,4.0
49.62,7.0
49.63,3.0
49.64,3.0
49.65,2.0
49.66,2.0
49.67,6.0
49.68,4.0
49.69,6.0
49.7,3.0
49.71,3.0
49.72,1.0
49.73,1.0
49.74,8.0
49.75,4.0
49.76,3.0
49.77,3.0
49.78,7.0
49.79,7.0
49.8,3.0
49.81,4.0
49.82,2.0
49.83,4.0
49.84,2.0
49.85,2.0
49.86,1.0
49.87,1.0
49.88,5.0
49.89,10.0
49.9,4.0
49.91,1.0
49.93,1.0
49.94,1.0
50.0,33.0
50.07,2.0
50.08,4.0
50.09,1.0
50.1,4.0
50.11,6.0
50.12,2.0
50.13,1.0
50.14,3.0
50.15,3.0
50.16,2.0
50.17,3.0
50.18,2.0
50.19,1.0
50.2,1.0
50.21,5.0
50.22,5.0
50.23,2.0
50.24,5.0
50.25,4.0
50.26,4.0
50.27,5.0
50.28,4.0
50.29,1.0
50.3,5.0
50.31,10.0
50.32,4.0
50.33,4.0
50.34,2.0
50.35,2.0
50.36,3.0
50.37,3.0
50.38,3.0
50.39,2.0
50.4,3.0
50.41,3.0
50.42,2.0
50.43,4.0
50.44,3.0
50.45,3.0
50.46,4.0
50.47,3.0
50.48,1.0
50.49,1.0
50.5,1.0
50.52,5.0
50.53,1.0
50.54,2.0
50.55,5.0
50.56,2.0
50.57,3.0
50.58,4.0
50.59,3.0
50.6,1.0
50.61,1.0
50.62,9.0
50.63,1.0
50.64,3.0
50.65,3.0
50.66,2.0
50.67,6.0
50.68,3.0
50.7,2.0
50.72,4.0
50.73,1.0
50.74,2.0
50.75,1.0
50.76,1.0
50.77,3.0
50.78,5.0
50.79,2.0
50.8,3.0
50.81,2.0
50.82,5.0
50.83,2.0
