read_length,occurence
150,7
151,23
152,9
153,3
154,7
155,4
156,5
157,9
158,8
159,16
160,27
161,47
162,70
163,18
164,3
165,10
166,6
167,4
168,4
169,15
170,7
171,6
172,6
173,10
174,6
175,15
176,24
177,102
178,15
179,12
180,4
181,11
182,14
183,8
184,12
185,16
186,74
187,14
188,8
189,2
190,10
191,4
192,4
193,4
194,1
195,5
196,3
197,2
198,4
199,5
200,2
201,4
202,8
203,4
204,11
205,4
206,10
207,4
208,6
209,8
210,7
211,3
212,9
213,12
214,24
215,6
216,17
217,30
218,54
219,358
220,54
221,32
222,35
223,30
224,59
225,120
226,605
227,98
228,44
229,30
230,17
231,12
232,3
233,7
234,5
235,6
236,6
237,3
238,4
239,6
240,11
241,4
242,6
243,10
244,11
245,7
246,23
247,17
248,10
249,24
250,29
251,35
252,74
253,28
254,26
255,32
256,24
257,68
258,110
259,248
260,92
261,74
262,83
263,217
264,230
265,215
266,251
267,184
268,172
269,239
270,296
271,391
272,679
273,954
274,1500
275,2089
276,4444
277,15762
278,2788
279,1050
280,644
281,315
282,168
283,97
284,46
285,47
286,26
287,22
288,20
289,13
290,6
291,11
292,5
293,7
294,5
295,3
296,3
297,5
298,3
299,8
300,8
301,2
302,4
303,9
304,15
305,9
306,5
307,8
308,9
309,12
310,13
311,16
312,29
313,43
314,32
315,28
316,43
317,75
318,32
319,19
320,16
321,12
322,16
323,17
324,24
325,18
326,26
327,44
328,38
329,71
330,94
331,145
332,207
333,273
334,419
335,587
336,992
337,1650
338,483
339,223
340,120
341,61
342,45
343,19
344,19
345,7
346,13
347,7
348,5
349,1
350,4
351,2
352,2
353,4
354,4
355,2
356,4
357,6
358,3
359,3
360,4
361,3
362,9
363,6
364,6
365,5
366,4
367,3
368,5
369,6
370,6
371,12
372,18
373,27
374,8
375,12
376,12
377,17
378,9
379,4
380,3
381,4
382,1
383,5
384,8
385,4
386,1
387,3
388,5
389,4
390,4
391,5
392,3
393,1
394,3
395,1
396,4
397,6
398,1
399,3
400,2
401,1
403,1
404,6
