GC_content,occurence
25.58,1.0
29.67,1.0
30.54,1.0
30.84,1.0
30.87,1.0
32.37,1.0
33.06,1.0
33.09,1.0
33.3,2.0
33.42,1.0
33.68,1.0
33.7,1.0
33.76,1.0
33.92,1.0
34.11,2.0
34.12,1.0
34.13,3.0
34.22,1.0
34.28,2.0
34.32,1.0
34.34,1.0
34.37,1.0
34.39,1.0
34.95,1.0
34.98,1.0
35.0,1.0
35.31,1.0
35.62,1.0
35.69,1.0
35.78,1.0
35.82,1.0
35.87,1.0
35.88,1.0
36.02,1.0
36.04,1.0
36.32,1.0
36.36,1.0
36.5,1.0
36.57,1.0
36.66,1.0
36.83,1.0
36.88,1.0
36.91,1.0
37.01,1.0
37.03,1.0
37.11,1.0
37.15,1.0
37.2,1.0
37.36,1.0
37.81,1.0
37.99,1.0
38.23,1.0
38.36,1.0
38.41,1.0
38.63,1.0
38.7,1.0
38.85,1.0
38.93,1.0
39.04,1.0
39.1,1.0
39.15,1.0
39.37,1.0
39.69,1.0
39.73,1.0
39.89,1.0
40.25,1.0
40.69,1.0
40.82,1.0
40.83,1.0
40.87,1.0
40.92,1.0
41.02,1.0
41.32,1.0
41.34,1.0
41.56,1.0
41.62,1.0
41.76,1.0
41.98,1.0
42.03,1.0
42.27,1.0
42.42,1.0
42.45,1.0
42.57,1.0
42.7,1.0
42.73,1.0
42.87,1.0
42.88,1.0
43.04,1.0
43.08,1.0
43.11,1.0
43.2,1.0
43.42,1.0
43.46,1.0
43.9,1.0
43.99,1.0
44.23,1.0
44.25,2.0
44.29,1.0
44.3,1.0
44.44,1.0
44.67,1.0
44.71,1.0
44.75,2.0
44.8,1.0
44.83,1.0
44.89,1.0
44.9,1.0
44.95,1.0
44.96,1.0
45.02,1.0
45.1,1.0
45.13,1.0
45.22,1.0
45.35,1.0
45.39,1.0
45.45,1.0
45.6,1.0
45.65,1.0
45.66,2.0
45.72,1.0
45.73,1.0
46.0,1.0
46.02,1.0
46.05,2.0
46.08,1.0
46.14,1.0
46.18,1.0
46.27,1.0
46.31,1.0
46.39,1.0
46.51,1.0
46.55,1.0
46.65,1.0
46.67,1.0
46.68,1.0
46.79,1.0
46.84,1.0
46.86,1.0
46.9,1.0
46.93,1.0
46.94,1.0
47.09,1.0
47.1,1.0
47.15,1.0
47.2,1.0
47.28,1.0
47.38,1.0
47.41,1.0
47.45,1.0
47.46,1.0
47.52,1.0
47.54,1.0
47.58,1.0
47.59,1.0
47.67,1.0
47.69,1.0
47.97,1.0
47.99,1.0
48.14,1.0
48.34,1.0
48.36,1.0
48.39,1.0
48.46,1.0
48.57,1.0
48.58,1.0
48.6,1.0
48.9,1.0
48.95,2.0
49.01,1.0
49.09,1.0
49.25,2.0
49.37,1.0
49.46,2.0
49.51,1.0
49.55,2.0
49.67,1.0
49.73,1.0
49.78,1.0
49.8,1.0
49.91,1.0
50.0,2.0
50.14,1.0
50.22,1.0
50.52,1.0
50.66,1.0
50.67,1.0
50.7,1.0
50.71,1.0
50.8,1.0
50.81,1.0
50.93,1.0
50.96,1.0
50.98,1.0
51.14,1.0
51.5,1.0
51.73,1.0
51.74,1.0
51.76,1.0
51.79,1.0
51.86,1.0
51.91,1.0
52.1,1.0
52.3,1.0
52.36,1.0
52.5,1.0
52.66,1.0
52.85,1.0
53.07,1.0
53.35,1.0
53.68,1.0
54.21,1.0
55.01,1.0
55.51,1.0
55.99,1.0
56.01,1.0
56.34,1.0
56.56,1.0
56.8,1.0
56.87,1.0
56.89,1.0
58.64,1.0
59.95,1.0
61.45,1.0

