seq_score,mapped,occurence
42.69,0.0,1.0
44.68,0.0,1.0
44.75,0.0,1.0
45.25,0.0,1.0
45.29,1.0,1.0
45.57,0.0,1.0
45.61,0.0,1.0
45.78,0.0,1.0
45.84,0.0,1.0
45.84,1.0,1.0
46.02,1.0,1.0
46.12,0.0,1.0
46.14,0.0,1.0
46.4,1.0,1.0
46.43,1.0,1.0
46.47,0.0,1.0
46.5,1.0,1.0
46.51,1.0,1.0
46.57,0.0,1.0
46.62,0.0,1.0
46.64,0.0,1.0
46.67,1.0,1.0
46.68,0.0,1.0
46.76,0.0,1.0
46.77,0.0,1.0
46.77,1.0,1.0
46.82,1.0,1.0
46.85,1.0,1.0
46.88,0.0,1.0
46.91,0.0,1.0
46.91,1.0,2.0
46.93,0.0,1.0
46.99,1.0,1.0
47.0,0.0,1.0
47.03,1.0,1.0
47.12,0.0,1.0
47.12,1.0,1.0
47.13,1.0,1.0
47.14,0.0,2.0
47.17,1.0,1.0
47.18,1.0,1.0
47.23,0.0,1.0
47.23,1.0,1.0
47.31,1.0,1.0
47.38,1.0,1.0
47.39,1.0,1.0
47.41,1.0,1.0
47.42,0.0,2.0
47.47,1.0,1.0
47.51,1.0,1.0
47.53,0.0,1.0
47.55,1.0,1.0
47.6,1.0,2.0
47.65,0.0,1.0
47.68,0.0,1.0
47.68,1.0,1.0
47.7,1.0,1.0
47.71,0.0,1.0
47.72,1.0,1.0
47.74,0.0,1.0
47.75,0.0,1.0
47.76,0.0,1.0
47.76,1.0,2.0
47.79,1.0,2.0
47.8,0.0,1.0
47.83,0.0,1.0
47.85,0.0,1.0
47.91,0.0,1.0
47.92,1.0,1.0
47.96,1.0,1.0
47.97,1.0,1.0
47.99,0.0,1.0
48.06,1.0,1.0
48.09,1.0,1.0
48.12,1.0,1.0
48.14,0.0,1.0
48.17,0.0,2.0
48.18,0.0,1.0
48.19,0.0,1.0
48.2,1.0,1.0
48.22,0.0,1.0
48.27,0.0,1.0
48.34,0.0,2.0
48.34,1.0,1.0
48.36,0.0,1.0
48.37,1.0,1.0
48.38,1.0,1.0
48.39,1.0,1.0
48.43,1.0,2.0
48.45,0.0,1.0
48.46,1.0,1.0
48.47,0.0,1.0
48.48,0.0,1.0
48.5,1.0,2.0
48.51,0.0,1.0
48.52,0.0,1.0
48.53,0.0,1.0
48.54,1.0,1.0
48.56,1.0,1.0
48.6,0.0,1.0
48.62,0.0,2.0
48.63,1.0,1.0
