read_length,occurence
150,3
151,1
152,1
154,1
156,1
157,1
159,1
161,1
165,1
166,1
167,1
168,1
175,2
179,1
183,1
185,1
194,1
196,1
198,2
202,1
205,1
211,1
214,3
215,2
219,1
224,2
226,1
227,1
228,1
229,2
231,1
234,1
236,1
237,1
238,1
244,1
246,1
258,2
266,1
268,2
269,1
271,2
272,1
273,1
278,1
282,2
294,2
298,1
305,1
306,1
309,1
314,1
318,1
322,1
324,1
333,1
335,1
341,1
343,1
355,1
364,1
369,1
370,1
371,1
372,1
373,1
374,1
383,1
384,1
386,2
392,1
393,1
395,2
402,1
403,3
411,1
414,1
423,1
427,1
429,1
430,2
435,1
436,1
438,1
447,1
453,1
454,1
463,1
470,1
478,1
479,1
488,1
492,1
515,1
523,1
538,1
539,1
543,1
547,1
553,1
554,1
555,1
569,1
579,1
581,1
582,1
586,1
608,1
625,1
628,1
657,1
660,1
663,1
676,1
678,1
680,1
714,1
729,1
737,1
743,1
749,1
753,1
754,2
757,1
760,1
784,1
804,1
808,1
812,1
813,1
817,2
828,1
832,1
847,1
856,1
867,1
870,1
880,1
889,1
891,1
895,1
908,2
911,1
917,2
919,3
923,1
941,1
944,1
954,1
958,1
963,1
975,2
979,1
986,1
997,1
1003,1
1016,1
1018,3
1020,1
1022,1
1028,1
1031,1
1034,1
1039,1
1042,2
1044,1
1048,1
1060,1
1062,2
1065,1
1072,1
1075,1
1077,1
1078,1
1079,1
1108,1
1112,1
1116,1
1118,1
1120,1
1123,1
1129,1
1130,1
1134,1
1138,1
1139,1
1144,1
1150,2
1152,2
1155,1
1156,1
1169,1
1179,2
1180,2
1181,1
1187,1
1188,1
1190,1
1195,1
1198,2
1199,2

