read_length,mapped,occurence
52,1,1
110,1,1
142,1,1
143,1,1
150,0,133
151,0,155
152,0,144
152,1,2
153,0,161
154,0,181
155,0,171
156,0,190
157,0,201
158,0,253
159,0,193
159,1,1
160,0,202
160,1,2
161,0,182
161,1,2
162,0,189
163,0,205
163,1,1
164,0,173
164,1,1
165,0,169
166,0,181
166,1,1
167,0,176
168,0,225
168,1,1
169,0,214
170,0,300
170,1,1
171,0,399
172,0,420
173,0,358
174,0,274
175,0,150
175,1,1
176,0,130
177,0,92
177,1,1
178,0,67
179,0,70
180,0,70
181,0,64
182,0,71
182,1,2
183,0,92
184,0,105
185,0,105
185,1,1
186,0,105
186,1,1
187,0,121
188,0,129
189,0,125
190,0,128
191,0,157
192,0,155
193,0,151
194,0,144
194,1,1
195,0,127
196,0,133
196,1,1
197,0,144
198,0,134
199,0,116
199,1,1
200,0,114
200,1,5
201,0,114
201,1,1
202,0,106
202,1,8
203,0,168
203,1,14
204,0,187
204,1,5
205,0,233
205,1,1
206,0,219
207,0,217
207,1,3
208,0,181
209,0,131
209,1,1
210,0,78
211,0,78
211,1,1
212,0,54
213,0,49
213,1,1
214,0,57
215,0,46
215,1,1
216,0,47
216,1,2
217,0,59
218,0,64
219,0,73
220,0,70
221,0,84
222,0,94
223,0,70
224,0,97
224,1,1
225,0,101
226,0,88
227,0,99
227,1,1
228,0,99
228,1,2
229,0,94
229,1,2
230,0,91
230,1,2
231,0,75
231,1,1
232,0,88
233,0,91
233,1,2
234,0,66
234,1,1
235,0,66
236,0,75
237,0,86
237,1,1
238,0,100
239,0,117
239,1,2
240,0,124
240,1,2
241,0,122
242,0,115
242,1,1
243,0,94
243,1,5
244,0,72
244,1,1
245,0,48
245,1,1
246,0,39
247,0,38
247,1,1
248,0,28
248,1,1
249,0,29
249,1,2
250,0,28
251,0,31
252,0,44
252,1,3
253,0,47
254,0,57
254,1,2
255,0,52
255,1,1
256,0,38
257,0,48
257,1,2
258,0,52
258,1,1
259,0,43
259,1,1
260,0,55
260,1,1
261,0,70
261,1,2
262,0,54
263,0,51
263,1,4
264,0,44
264,1,1
265,0,46
265,1,2
266,0,46
267,0,51
267,1,1
268,0,40
268,1,3
269,0,49
270,0,50
271,0,61
271,1,3
272,0,55
273,0,75
274,0,69
275,0,78
275,1,1
276,0,71
276,1,1
277,0,58
277,1,1
278,0,58
278,1,1
279,0,29
279,1,1
280,0,23
281,0,22
281,1,1
282,0,19
283,0,29
284,0,27
285,0,20
285,1,1
286,0,28
287,0,25
288,0,33
288,1,2
289,0,34
290,0,36
290,1,1
291,0,27
291,1,2
292,0,34
293,0,31
293,1,1
294,0,40
294,1,2
295,0,31
296,0,36
297,0,38
298,0,35
298,1,2
299,0,34
299,1,1
300,0,34
301,0,43
302,0,26
303,0,29
304,0,32
305,0,28
305,1,1
306,0,33
306,1,1
307,0,26
307,1,2
308,0,37
308,1,1
309,0,35
309,1,1
310,0,42
310,1,2
311,0,33
311,1,2
312,0,41
312,1,1
313,0,19
313,1,2
314,0,18
314,1,3
315,0,21
315,1,6
316,0,18
316,1,4
317,0,18
317,1,14
318,0,14
318,1,11
319,0,23
319,1,2
320,0,14
321,0,15
321,1,1
322,0,18
322,1,1
323,0,21
324,0,22
324,1,1
325,0,18
326,0,18
327,0,19
328,0,19
329,0,21
330,0,27
331,0,19
331,1,2
332,0,25
332,1,1
333,0,21
334,0,23
334,1,1
335,0,16
335,1,1
336,0,21
337,0,21
338,0,12
339,0,22
340,0,23
341,0,18
342,0,21
343,0,23
343,1,1
344,0,19
345,0,24
346,0,18
346,1,1
347,0,21
348,0,18
349,0,5
349,1,1
350,0,5
350,1,1
351,0,12
351,1,1
352,0,5
353,0,15
353,1,1
354,0,10
354,1,1
355,0,9
355,1,1
356,0,8
357,0,10
357,1,2
358,0,12
358,1,1
359,0,19
360,0,15
361,0,11
361,1,1
362,0,12
363,0,16
364,0,16
365,0,14
366,0,7
367,0,15
