read_length,mapped,occurence
48,1,1
86,1,1
87,1,1
88,1,2
92,1,2
94,1,1
108,1,2
110,1,1
113,1,2
117,1,2
138,1,1
150,0,15
151,0,24
151,1,1
152,0,17
152,1,2
153,0,23
153,1,2
154,0,23
154,1,1
155,0,24
155,1,2
156,0,19
156,1,10
157,0,10
157,1,2
158,0,20
158,1,3
159,0,19
159,1,1
160,0,21
161,0,25
161,1,2
162,0,12
163,0,14
163,1,2
164,0,14
164,1,2
165,0,5
165,1,2
166,0,18
166,1,1
167,0,12
167,1,1
168,0,15
168,1,1
169,0,16
169,1,2
170,0,12
170,1,5
171,0,16
171,1,1
172,0,11
173,0,13
174,0,19
174,1,4
175,0,15
175,1,2
176,0,17
176,1,2
177,0,15
177,1,3
178,0,12
178,1,6
179,0,19
179,1,1
180,0,16
180,1,6
181,0,13
181,1,4
182,0,16
182,1,1
183,0,6
183,1,4
184,0,10
184,1,5
185,0,16
185,1,8
186,0,9
186,1,5
187,0,11
187,1,1
188,0,11
188,1,3
189,0,7
189,1,2
190,0,18
190,1,2
191,0,15
191,1,4
192,0,9
192,1,3
193,0,10
193,1,2
194,0,8
194,1,2
195,0,14
195,1,4
196,0,18
196,1,1
197,0,16
197,1,2
198,0,25
198,1,1
199,0,10
199,1,2
200,0,12
200,1,2
201,0,6
201,1,1
202,0,10
202,1,3
203,0,6
203,1,2
204,0,20
204,1,3
205,0,21
205,1,8
206,0,10
206,1,7
207,0,6
207,1,1
208,0,11
208,1,2
209,0,14
209,1,3
210,0,8
210,1,4
211,0,16
211,1,1
212,0,10
212,1,4
213,0,8
213,1,5
214,0,9
214,1,3
215,0,11
215,1,2
216,0,7
216,1,2
217,0,10
217,1,3
218,0,6
218,1,5
219,0,11
219,1,3
220,0,11
220,1,5
221,0,12
221,1,12
222,0,6
222,1,8
223,0,8
223,1,5
224,0,8
224,1,4
225,0,8
225,1,5
226,0,8
226,1,15
227,0,17
227,1,8
228,0,5
228,1,5
229,0,10
229,1,15
230,0,8
230,1,7
231,0,12
231,1,13
232,0,17
232,1,20
233,0,7
233,1,47
234,0,8
234,1,27
235,0,9
235,1,36
236,0,9
236,1,90
237,0,6
237,1,22
238,0,8
238,1,15
239,0,11
239,1,4
240,0,14
240,1,5
241,0,8
241,1,5
242,0,6
242,1,6
243,0,5
243,1,8
244,0,9
244,1,1
245,0,6
245,1,5
246,0,5
246,1,4
247,0,7
248,0,4
248,1,6
249,0,8
249,1,1
250,0,9
250,1,3
251,0,8
251,1,3
252,0,8
252,1,1
253,0,6
253,1,7
254,0,5
254,1,8
255,0,1
255,1,6
256,0,5
256,1,16
257,0,5
257,1,13
258,0,9
258,1,3
259,0,9
259,1,9
260,0,6
260,1,12
261,0,12
261,1,9
262,0,9
262,1,6
263,0,8
263,1,18
264,0,5
264,1,15
265,0,3
265,1,6
266,0,10
266,1,9
267,0,5
267,1,12
268,0,3
268,1,6
269,0,11
269,1,6
270,0,13
270,1,3
271,0,4
271,1,7
272,0,10
272,1,7
273,0,6
273,1,13
274,0,6
274,1,26
275,0,6
275,1,21
276,0,14
276,1,28
277,0,3
277,1,77
278,0,10
278,1,10
279,0,8
279,1,12
280,0,7
280,1,12
281,0,5
281,1,5
282,0,7
282,1,2
283,0,3
283,1,4
284,0,5
284,1,8
285,0,4
285,1,2
286,0,5
286,1,4
287,0,7
287,1,7
288,0,7
288,1,7
289,0,3
289,1,6
290,0,6
290,1,7
291,0,2
291,1,5
292,0,4
292,1,4
293,0,5
293,1,3
294,0,3
294,1,2
295,0,5
296,0,6
296,1,3
297,0,5
298,0,3
299,0,2
299,1,2
300,0,5
300,1,3
301,0,3
301,1,8
302,0,7
302,1,3
303,0,9
303,1,1
304,0,6
304,1,2
305,0,11
305,1,3
306,0,6
306,1,3
307,0,2
307,1,3
308,0,6
308,1,2
309,0,3
309,1,3
310,0,3
310,1,3
311,0,3
311,1,2
312,0,7
312,1,5
313,0,3
313,1,4
314,0,7
314,1,3
315,0,7
315,1,5
316,0,2
316,1,5
317,0,5
317,1,5
318,0,6
318,1,16
319,0,4
319,1,3
320,0,6
320,1,4
321,0,5
321,1,2
322,0,3
322,1,2
323,0,6
323,1,5
324,0,6
324,1,3
325,0,3
325,1,3
326,0,2
326,1,2
327,0,7
327,1,4
328,0,1
328,1,3
329,0,2
329,1,1
330,0,7
330,1,2
331,0,12
331,1,3
332,0,3
332,1,3
333,0,9
334,0,4
334,1,3
335,0,1
335,1,2
336,0,4
336,1,1
337,0,4
338,0,5
338,1,1
339,0,3
339,1,4
340,0,5
340,1,3
341,0,1
341,1,3
342,0,3
343,0,5
344,1,3
345,0,5
345,1,1
346,0,2
346,1,1
347,0,2
347,1,1
348,0,1
348,1,4
349,0,4
349,1,4
350,0,6
350,1,1
351,0,2
351,1,3
352,0,6
352,1,2
353,0,6
353,1,3
354,0,6
354,1,1
355,0,1
355,1,2
356,0,3
356,1,2
357,0,6
357,1,3
358,0,1
358,1,1
359,0,4
359,1,2
360,0,4
360,1,4
361,0,6
361,1,1
362,0,3
362,1,2
363,0,4
363,1,3
364,0,4
365,0,1
365,1,1
366,0,1
366,1,2
367,0,5
368,0,7
368,1,1
369,0,4
370,0,5
370,1,2
371,0,3
371,1,3
372,0,4
372,1,1
373,0,7
373,1,1
374,0,4
374,1,2
375,0,5
375,1,2
376,0,5
376,1,2
377,0,6
378,0,2
379,0,4
379,1,2
380,0,2
380,1,4
381,0,3
381,1,3
382,0,1
382,1,2
383,0,3
383,1,3
384,0,2
384,1,1
385,0,10
385,1,3
386,0,1
386,1,2
387,0,3
387,1,1
388,0,2
388,1,1
389,1,2
390,0,3
391,0,3
392,0,2
392,1,5
393,0,3
393,1,2
394,0,3
394,1,2
395,0,3
396,0,3
396,1,1
397,0,9
397,1,1
398,0,4
399,0,5
400,0,5
400,1,1
401,0,4
401,1,2
402,0,5
402,1,3
403,0,5
404,0,2
404,1,1
405,0,6
405,1,1
406,0,2
407,0,3
407,1,1
408,0,7
408,1,1
409,0,1
410,0,4
410,1,2
411,0,5
411,1,3
412,0,5
412,1,1
413,0,2
413,1,1
414,0,2
414,1,2
415,0,2
415,1,2
416,0,3
416,1,2
417,0,2
418,0,4
418,1,2
419,0,3
419,1,2
420,0,3
420,1,2
