read_length,occurence
150,7
151,8
152,13
153,9
154,28
155,11
156,4
157,16
158,7
159,9
160,9
161,15
162,29
163,17
164,12
165,8
166,10
167,9
168,8
169,12
170,14
171,17
172,12
173,11
174,13
175,10
176,11
177,11
178,16
179,23
180,13
181,19
182,9
183,9
184,22
185,8
186,8
187,19
188,16
189,4
190,9
191,9
192,11
193,7
194,13
195,23
196,9
197,15
198,22
199,18
200,26
201,25
202,42
203,200
204,35
205,28
206,18
207,16
208,10
209,8
210,6
211,12
212,12
213,14
214,14
215,11
216,18
217,25
218,30
219,45
220,31
221,70
222,148
223,42
224,30
225,30
226,16
227,17
228,13
229,9
230,15
231,23
232,20
233,20
234,23
235,33
236,50
237,56
238,93
239,126
240,245
241,96
242,49
243,40
244,27
245,43
246,51
247,90
248,73
249,78
250,207
251,76
252,52
253,25
254,45
255,37
256,81
257,99
258,288
259,170
260,285
261,613
262,150
263,60
264,47
265,40
266,63
267,89
268,51
269,63
270,143
271,39
272,27
273,8
274,16
275,15
276,15
277,10
278,17
279,17
280,10
281,7
282,11
283,9
284,14
285,17
286,10
287,7
288,9
289,13
290,14
291,17
292,16
293,16
294,16
295,14
296,12
297,14
298,19
299,9
300,10
301,19
302,50
303,21
304,19
305,24
306,23
307,13
308,7
309,11
310,18
311,20
312,10
313,8
314,26
315,17
316,7
317,11
318,15
319,11
320,13
321,17
322,14
323,15
324,22
325,14
326,18
327,8
328,18
329,5
330,10
331,6
332,8
333,7
334,10
335,14
336,14
337,6
338,12
339,11
340,13
341,10
342,9
343,8
344,10
345,4
346,8
347,8
348,5
349,12
350,4
351,17
352,12
353,8
354,16
355,7
356,11
357,7
358,7
359,13
360,12
361,12
362,4
363,6
364,16
365,10
366,13
367,9
368,15
369,17
370,12
371,20
372,14
373,22
374,32
375,33
376,40
377,79
378,123
379,67
380,54
381,58
382,101
383,64
384,22
385,17
386,19
387,8
388,19
389,24
390,18
391,15
392,25
393,29
394,43
395,47
396,53
397,90
398,148
399,73
400,62
401,63
402,118
403,89
404,68
405,42
406,32
407,29
408,28
409,19
410,14
411,14
412,9
413,20
