GC_content,occurence
16.34,1.0
32.87,1.0
32.97,1.0
33.28,2.0
33.49,1.0
34.12,2.0
34.97,3.0
35.05,1.0
35.52,2.0
36.17,1.0
36.25,1.0
36.32,2.0
36.65,1.0
36.67,2.0
36.93,1.0
37.29,1.0
37.61,1.0
37.8,1.0
38.04,1.0
38.1,1.0
38.19,1.0
38.22,1.0
38.43,1.0
38.46,1.0
38.83,1.0
39.07,1.0
39.09,1.0
39.27,1.0
39.55,1.0
39.71,2.0
39.74,1.0
40.12,1.0
40.18,1.0
40.22,1.0
40.28,1.0
40.32,1.0
40.41,1.0
40.57,2.0
40.62,1.0
40.65,1.0
40.9,1.0
40.92,1.0
40.99,1.0
41.12,1.0
41.15,1.0
41.28,1.0
41.31,2.0
41.36,1.0
41.45,1.0
41.46,1.0
41.48,1.0
41.57,1.0
41.62,3.0
41.72,3.0
41.77,1.0
41.85,1.0
41.86,1.0
41.88,1.0
41.89,1.0
41.92,1.0
41.93,1.0
41.94,1.0
41.95,4.0
42.0,1.0
42.04,1.0
42.09,1.0
42.11,2.0
42.16,1.0
42.21,3.0
42.26,1.0
42.28,2.0
42.29,1.0
42.32,1.0
42.33,6.0
42.35,1.0
42.37,2.0
42.38,1.0
42.4,1.0
42.41,1.0
42.42,1.0
42.46,1.0
42.47,1.0
42.5,1.0
42.53,3.0
42.57,1.0
42.61,1.0
42.64,1.0
42.65,1.0
42.67,3.0
42.69,2.0
42.76,1.0
42.79,1.0
42.86,5.0
42.87,1.0
42.89,1.0
42.92,2.0
42.94,4.0
42.95,3.0
42.98,1.0
42.99,1.0
43.0,1.0
43.01,4.0
43.02,1.0
43.03,2.0
43.06,2.0
43.09,1.0
43.1,2.0
43.11,1.0
43.13,1.0
43.14,5.0
43.15,2.0
43.16,2.0
43.17,1.0
43.19,1.0
43.2,1.0
43.21,2.0
43.22,2.0
43.23,5.0
43.27,1.0
43.28,2.0
43.29,3.0
43.31,3.0
43.32,1.0
43.33,5.0
43.34,1.0
43.35,2.0
43.36,1.0
43.37,3.0
43.38,1.0
43.39,1.0
43.4,1.0
43.41,2.0
43.42,6.0
43.43,2.0
43.44,2.0
43.45,1.0
43.46,1.0
43.47,2.0
43.48,2.0
43.49,2.0
43.5,3.0
43.51,4.0
43.52,4.0
43.53,9.0
43.54,2.0
43.55,1.0
43.56,2.0
43.57,2.0
43.59,3.0
43.6,4.0
43.61,1.0
43.64,4.0
43.65,6.0
43.66,1.0
43.67,3.0
43.68,6.0
43.69,6.0
43.7,3.0
43.71,4.0
43.72,4.0
43.73,3.0
43.74,5.0
43.75,5.0
43.76,6.0
43.77,7.0
43.78,2.0
43.79,10.0
43.8,4.0
43.81,8.0
43.82,7.0
43.83,3.0
43.84,7.0
43.85,6.0
43.86,10.0
43.87,9.0
43.88,9.0
43.89,9.0
43.9,4.0
43.91,7.0
43.92,7.0
43.93,10.0
43.94,7.0
43.95,5.0
43.96,9.0
43.97,7.0
43.98,3.0
43.99,5.0
44.0,6.0
44.01,5.0
44.02,11.0
44.03,10.0
44.04,12.0
44.05,10.0
44.06,10.0
44.07,8.0
44.08,13.0
44.09,11.0
44.1,7.0
44.11,4.0
44.12,14.0
44.13,13.0
44.14,6.0
44.15,13.0
44.16,22.0
44.17,8.0
44.18,7.0
44.19,18.0
44.2,12.0
44.21,6.0
44.22,15.0
44.23,9.0
44.24,15.0
44.25,11.0
44.26,13.0
44.27,6.0
44.28,13.0
44.29,8.0
44.3,15.0
44.31,15.0
44.32,10.0
44.33,17.0
44.34,5.0
44.35,35.0
44.36,13.0
44.37,13.0
44.38,16.0
44.39,9.0
44.4,21.0
44.41,29.0
44.42,13.0
44.43,11.0
44.44,39.0
44.45,2.0
44.46,29.0
44.47,16.0
44.48,13.0
44.49,12.0
44.5,17.0
44.51,13.0
44.52,18.0
44.53,12.0
44.54,8.0
44.55,12.0
44.56,18.0
44.57,15.0
44.58,8.0
44.59,7.0
44.6,7.0
44.61,12.0
44.62,11.0
44.63,9.0
44.64,13.0
44.65,8.0
44.66,11.0
44.67,16.0
44.68,10.0
44.69,14.0
44.7,9.0
44.71,3.0
44.72,5.0
44.73,4.0
44.74,12.0
44.75,9.0
44.76,6.0
44.77,12.0
44.78,4.0
44.79,10.0
44.8,5.0
44.81,12.0
44.82,6.0
44.83,11.0
44.84,5.0
44.85,6.0
44.86,8.0
44.87,13.0
44.88,9.0
44.89,2.0
44.9,8.0
44.91,2.0
44.92,4.0
44.93,7.0
44.94,5.0
44.95,4.0
44.96,8.0
44.97,6.0
44.98,3.0
44.99,2.0
45.0,19.0
45.01,3.0
45.02,4.0
45.03,4.0
45.04,4.0
45.05,12.0
45.06,4.0
45.07,4.0
45.08,4.0
45.09,9.0
45.1,26.0
45.11,13.0
45.12,10.0
45.13,10.0
45.14,2.0
45.15,7.0
45.16,7.0
45.17,6.0
45.18,6.0
45.19,3.0
45.2,4.0
45.21,5.0
45.22,8.0
45.23,3.0
45.24,3.0
45.25,13.0
45.26,7.0
45.27,2.0
45.28,2.0
45.29,8.0
45.3,4.0
45.31,5.0
45.32,4.0
45.33,2.0
45.34,6.0
45.35,3.0
45.36,9.0
45.37,5.0
45.38,4.0
45.39,9.0
45.4,4.0
45.41,8.0
45.42,7.0
45.43,1.0
45.44,2.0
45.45,17.0
45.47,1.0
45.48,6.0
45.49,7.0
45.5,7.0
45.51,11.0
45.52,7.0
45.53,2.0
45.54,4.0
45.55,5.0
45.56,10.0
45.57,7.0
45.58,2.0
45.59,4.0
45.6,10.0
45.61,11.0
45.62,14.0
45.63,2.0
45.64,5.0
45.65,28.0
45.66,3.0
45.67,4.0
45.68,8.0
45.69,10.0
45.7,11.0
45.71,11.0
45.72,4.0
45.73,8.0
45.74,6.0
45.75,10.0
45.76,7.0
45.77,4.0
45.78,6.0
45.79,9.0
45.8,5.0
45.81,13.0
45.82,5.0
45.83,10.0
45.84,3.0
45.85,11.0
45.86,4.0
45.87,12.0
45.88,18.0
45.89,10.0
45.9,21.0
45.91,11.0
45.92,5.0
45.93,12.0
45.94,8.0
45.95,13.0
45.96,9.0
45.97,5.0
45.98,8.0
45.99,14.0
46.0,13.0
46.01,9.0
46.02,6.0
46.03,13.0
46.04,14.0
46.05,12.0
46.06,5.0
46.07,10.0
46.08,8.0
46.09,17.0
46.1,7.0
46.11,19.0
46.12,5.0
46.13,9.0
46.14,3.0
46.15,34.0
46.17,3.0
46.18,10.0
46.19,12.0
46.2,67.0
46.21,14.0
46.22,10.0
46.23,12.0
46.24,37.0
46.25,19.0
46.26,16.0
46.27,9.0
46.28,20.0
46.29,14.0
46.3,12.0
46.31,10.0
46.32,13.0
46.33,10.0
46.34,22.0
46.35,13.0
46.36,13.0
46.37,11.0
46.38,17.0
46.39,11.0
46.4,25.0
46.41,34.0
46.42,15.0
46.43,39.0
46.44,14.0
46.45,28.0
46.46,11.0
46.47,22.0
46.48,14.0
46.49,19.0
46.5,26.0
46.51,8.0
46.52,12.0
46.53,23.0
46.54,7.0
46.55,29.0
46.56,15.0
46.57,24.0
46.58,19.0
46.59,121.0
46.6,10.0
46.61,21.0
46.62,24.0
46.63,13.0
46.64,30.0
46.65,15.0
46.67,48.0
46.68,4.0
46.69,34.0
46.7,17.0
46.71,14.0
46.72,39.0
46.73,22.0
46.74,24.0
46.75,23.0
46.76,39.0
46.77,31.0
46.78,10.0
46.79,29.0
46.8,10.0
46.81,33.0
46.82,8.0
46.83,12.0
46.84,26.0
46.85,23.0
46.86,28.0
46.87,3.0
46.88,18.0
46.89,50.0
46.9,16.0
46.91,104.0
46.92,9.0
46.93,30.0
46.94,22.0
46.95,116.0
46.96,19.0
46.97,12.0
46.98,34.0
46.99,27.0
47.0,32.0
47.01,18.0
47.02,24.0
47.03,31.0
47.04,19.0
47.05,2.0
47.06,74.0
47.07,7.0
47.08,40.0
47.09,26.0
47.1,18.0
47.11,57.0
47.12,47.0
47.13,61.0
47.14,35.0
47.15,37.0
47.16,23.0
47.17,14.0
47.18,37.0
47.19,17.0
47.2,25.0
47.21,24.0
47.22,24.0
47.23,29.0
47.24,15.0
47.25,26.0
47.26,23.0
47.27,48.0
47.28,39.0
47.29,39.0
47.3,56.0
47.31,53.0
47.32,17.0
47.33,268.0
47.34,13.0
47.35,79.0
47.36,5.0
47.37,37.0
47.38,15.0
47.39,27.0
47.4,19.0
47.41,28.0
47.42,16.0
47.43,19.0
47.44,22.0
47.45,26.0
47.46,115.0
47.47,19.0
47.48,37.0
47.49,21.0
47.5,47.0
47.51,13.0
47.52,115.0
47.53,31.0
47.54,106.0
47.55,42.0
47.56,26.0
47.57,23.0
47.58,21.0
47.59,41.0
47.6,24.0
47.61,9.0
47.62,41.0
47.63,22.0
47.64,33.0
47.65,86.0
47.66,57.0
47.67,29.0
47.68,29.0
47.69,33.0
47.7,72.0
47.71,19.0
47.72,65.0
47.73,28.0
47.74,65.0
47.75,16.0
47.76,32.0
47.77,29.0
47.78,27.0
47.79,15.0
47.8,28.0
47.81,22.0
47.82,5.0
47.83,43.0
47.84,33.0
47.85,20.0
47.86,36.0
47.87,19.0
47.88,165.0
47.89,75.0
47.9,47.0
47.91,25.0
47.92,45.0
47.93,69.0
47.94,17.0
47.95,45.0
47.96,21.0
47.97,18.0
47.98,16.0
47.99,12.0
48.0,21.0
48.01,30.0
48.02,14.0
48.03,20.0
48.04,19.0
48.05,26.0
48.06,30.0
48.07,58.0
48.08,59.0
48.09,66.0
48.1,32.0
48.11,46.0
48.12,41.0
48.13,47.0
48.14,10.0
48.15,39.0
48.16,22.0
48.17,9.0
48.18,18.0
48.19,19.0
48.2,21.0
48.21,26.0
48.22,15.0
48.23,9.0
48.24,22.0
48.25,13.0
48.26,23.0
48.27,6.0
48.28,33.0
48.29,46.0
48.3,21.0
48.31,39.0
48.32,13.0
48.33,34.0
48.34,16.0
48.35,34.0
48.36,31.0
48.37,28.0
48.38,18.0
48.39,33.0
48.4,18.0
48.41,26.0
48.42,21.0
48.43,33.0
48.44,17.0
48.45,12.0
48.46,37.0
48.47,17.0
48.48,22.0
48.49,9.0
48.5,83.0
48.51,34.0
48.52,25.0
48.53,16.0
48.54,51.0
48.55,34.0
48.56,26.0
48.57,27.0
48.58,30.0
48.59,10.0
48.6,24.0
48.61,11.0
48.62,20.0
48.63,19.0
48.64,11.0
48.65,97.0
48.66,17.0
48.67,16.0
48.68,19.0
48.69,21.0
48.7,21.0
48.71,41.0
48.72,17.0
48.73,18.0
48.74,20.0
48.75,30.0
48.76,22.0
48.77,23.0
48.78,29.0
48.79,15.0
48.8,19.0
48.81,18.0
48.82,23.0
48.83,29.0
48.84,23.0
48.85,16.0
48.86,12.0
48.87,11.0
48.88,20.0
48.89,17.0
48.9,15.0
48.91,26.0
48.92,28.0
48.93,25.0
48.94,28.0
48.95,39.0
48.96,25.0
48.97,21.0
48.98,14.0
48.99,17.0
49.0,19.0
49.01,27.0
49.02,21.0
49.03,9.0
49.04,13.0
49.05,7.0
49.06,27.0
49.07,11.0
49.08,9.0
49.09,14.0
49.1,15.0
49.11,19.0
49.12,14.0
49.13,22.0
49.14,24.0
49.15,22.0
49.16,32.0
49.17,22.0
49.18,21.0
49.19,22.0
49.2,22.0
49.21,20.0
49.22,15.0
49.23,16.0
49.24,13.0
49.25,24.0
49.26,22.0
49.27,9.0
49.28,16.0
49.29,15.0
49.3,13.0
49.31,17.0
49.32,11.0
49.33,24.0
49.34,26.0
49.35,19.0
49.36,15.0
49.37,24.0
49.38,20.0
49.39,15.0
49.4,15.0
49.41,11.0
49.42,17.0
49.43,17.0
49.44,23.0
49.45,7.0
49.46,21.0
49.47,14.0
49.48,15.0
49.49,11.0
49.5,13.0
49.51,11.0
49.52,18.0
49.53,17.0
49.54,23.0
49.55,10.0
49.56,10.0
49.57,23.0
49.58,23.0
49.59,9.0
49.6,11.0
49.61,8.0
49.62,9.0
49.63,5.0
49.64,13.0
49.65,6.0
49.66,10.0
49.67,20.0
49.68,6.0
49.69,12.0
49.7,14.0
49.71,13.0
49.72,36.0
49.73,14.0
49.74,14.0
49.75,10.0
49.76,16.0
49.77,5.0
49.78,8.0
49.79,17.0
49.8,3.0
49.81,5.0
49.82,10.0
49.83,25.0
49.84,12.0
49.85,27.0
49.86,22.0
49.87,14.0
49.88,15.0
49.89,6.0
49.9,7.0
49.91,6.0
49.92,2.0
49.93,1.0
49.94,7.0
49.95,3.0
50.0,168.0
50.05,3.0
50.06,6.0
50.08,4.0
50.09,5.0
50.1,2.0
50.11,5.0
50.12,8.0
50.13,9.0
50.14,25.0
50.15,36.0
50.16,11.0
50.17,36.0
50.18,6.0
50.19,4.0
50.2,5.0
50.21,6.0
50.22,6.0
50.23,2.0
50.24,7.0
50.25,2.0
50.26,9.0
50.27,4.0
50.28,10.0
50.29,7.0
50.3,20.0
50.31,12.0
50.32,8.0
50.33,45.0
50.34,10.0
50.35,1.0
50.36,8.0
50.37,3.0
50.38,2.0
50.39,3.0
50.4,3.0
50.41,7.0
50.42,12.0
50.43,4.0
50.44,4.0
50.45,7.0
50.46,26.0
50.47,6.0
50.48,4.0
50.49,17.0
50.5,27.0
50.51,5.0
50.52,7.0
50.53,3.0
50.54,7.0
50.55,7.0
50.56,9.0
50.57,2.0
50.58,3.0
50.59,3.0
50.6,12.0
50.61,13.0
50.62,3.0
50.63,3.0
50.64,6.0
50.65,7.0
50.66,32.0
50.67,14.0
50.68,3.0
50.69,1.0
50.7,4.0
50.71,4.0
50.72,7.0
50.73,1.0
50.74,3.0
50.75,1.0
50.76,9.0
50.77,3.0
50.78,1.0
50.79,3.0
50.8,1.0
50.81,21.0
50.82,4.0
50.83,13.0
50.84,7.0
50.85,1.0
50.86,2.0
50.87,1.0
50.88,1.0
50.89,2.0
50.9,4.0
50.91,5.0
50.92,2.0
50.93,4.0
50.94,2.0
50.95,3.0
50.96,6.0
50.97,11.0
50.98,2.0
50.99,5.0
51.0,5.0
51.01,3.0
51.02,1.0
51.03,2.0
51.04,4.0
51.05,2.0
51.07,1.0
51.08,3.0
51.09,2.0
51.1,4.0
51.11,1.0
51.12,1.0
51.13,3.0
51.14,2.0
51.15,2.0
51.16,3.0
51.17,1.0
51.18,4.0
51.19,2.0
51.21,1.0
51.22,4.0
51.23,3.0
51.24,1.0
51.25,2.0
51.26,2.0
51.27,1.0
51.28,2.0
51.29,3.0
51.3,4.0
51.31,1.0
51.32,4.0
51.33,3.0
51.34,5.0
51.35,1.0
51.37,1.0
51.39,2.0
51.4,1.0
51.42,1.0
51.44,1.0
51.45,3.0
51.47,2.0
51.48,3.0
51.49,1.0
51.5,3.0
51.51,3.0
51.52,4.0
51.54,3.0
51.55,1.0
51.56,1.0
51.59,1.0
51.6,3.0
51.61,2.0
51.63,1.0
51.66,2.0
51.67,1.0
51.68,1.0
51.69,2.0
51.7,4.0
51.72,3.0
51.74,2.0
51.75,1.0
51.77,2.0
51.79,1.0
51.8,1.0
51.82,2.0
51.83,1.0
51.86,1.0
51.87,1.0
51.88,2.0
51.9,1.0
51.91,1.0
51.92,2.0
51.95,3.0
51.96,1.0
51.97,1.0
51.98,1.0
51.99,2.0
52.0,2.0
52.03,1.0
52.05,3.0
52.06,1.0
52.09,4.0
52.12,1.0
52.13,4.0
52.15,3.0
52.16,2.0
52.17,1.0
52.19,1.0
52.21,1.0
52.22,1.0
52.23,3.0
52.24,1.0
52.25,2.0
52.26,2.0
52.27,2.0
52.29,1.0
52.3,1.0
52.31,1.0
52.32,2.0
52.33,1.0
52.34,1.0
52.35,4.0
52.36,1.0
52.37,2.0
52.38,2.0
52.39,2.0
52.4,1.0
52.41,2.0
52.43,1.0
52.45,1.0
52.46,2.0
52.47,1.0
52.49,1.0
52.5,1.0
52.51,2.0
52.52,2.0
52.53,3.0
52.57,1.0
52.59,1.0
52.6,1.0
52.61,2.0
52.62,1.0
52.65,2.0
52.66,2.0
52.67,3.0
52.68,1.0
52.69,2.0
52.7,1.0
52.71,1.0
52.72,2.0
52.73,1.0
52.75,3.0
52.76,3.0
52.78,1.0
52.79,1.0
52.8,3.0
52.81,1.0
52.82,1.0
52.83,3.0
52.84,1.0
52.85,3.0
52.86,1.0
52.87,3.0
52.88,2.0
52.89,2.0
52.9,3.0
52.91,1.0
52.92,3.0
52.93,1.0
52.94,3.0
52.95,1.0
52.96,2.0
52.97,3.0
52.98,1.0
53.04,3.0
53.05,2.0
53.09,1.0
53.11,1.0
53.12,3.0
53.14,1.0
53.15,2.0
53.17,3.0
53.21,2.0
53.22,1.0
53.23,3.0
53.24,2.0
53.25,1.0
53.26,3.0
53.27,5.0
53.28,3.0
53.29,1.0
53.3,2.0
53.31,2.0
53.32,3.0
53.33,1.0
53.34,1.0
53.36,3.0
53.37,1.0
53.38,1.0
53.39,3.0
53.4,1.0
53.42,1.0
53.43,2.0
53.44,1.0
53.45,2.0
53.47,2.0
53.48,3.0
53.51,1.0
53.52,1.0
53.54,2.0
53.55,1.0
53.56,1.0
53.57,1.0
53.58,2.0
53.59,2.0
53.6,2.0
53.61,3.0
53.62,2.0
53.63,1.0
53.64,1.0
53.65,1.0
53.67,3.0
53.69,2.0
53.7,1.0
53.71,1.0
53.73,1.0
53.76,1.0
53.77,1.0
53.79,1.0
53.8,2.0
53.81,3.0
53.82,1.0
53.83,1.0
53.86,1.0
53.87,1.0
53.88,2.0
53.89,1.0
53.91,2.0
53.92,4.0
53.93,1.0
53.96,1.0
54.01,1.0
54.02,2.0
54.03,1.0
54.04,1.0
54.05,4.0
54.06,1.0
54.07,1.0
54.09,2.0
54.1,2.0
54.13,1.0
54.14,1.0
54.18,2.0
54.2,1.0
54.22,1.0
54.24,2.0
54.25,1.0
54.26,1.0
54.29,2.0
54.3,2.0
54.31,1.0
54.33,1.0
54.34,1.0
54.35,3.0
54.36,1.0
54.41,2.0
54.46,1.0
54.51,1.0
54.56,1.0
54.57,2.0
54.58,1.0
54.59,1.0
54.62,1.0
54.73,1.0
54.74,1.0
54.75,1.0
54.83,3.0
54.86,1.0
54.87,1.0
54.9,1.0
54.95,1.0
54.97,2.0
55.06,1.0
55.1,1.0
55.17,2.0
55.19,1.0
55.2,1.0
55.25,1.0
55.27,2.0
55.28,2.0
55.3,1.0
55.35,2.0
55.47,1.0
55.49,1.0
55.5,1.0
55.8,1.0
55.81,1.0
55.92,1.0
56.14,1.0
56.21,1.0
56.35,1.0
56.4,1.0
56.52,1.0
56.58,2.0
56.67,2.0
56.79,1.0
56.8,1.0
56.81,1.0
57.01,1.0
57.04,1.0
57.07,1.0
57.08,1.0
57.14,1.0
57.18,1.0
57.32,1.0
57.41,1.0
57.92,1.0
57.97,1.0
58.1,1.0
58.11,1.0
58.93,1.0
59.19,1.0
59.42,1.0
59.67,1.0
