seq_score,mapped,occurence
46.05,1.0,1.0
46.1,0.0,1.0
47.02,1.0,1.0
47.39,0.0,1.0
47.67,1.0,1.0
47.72,1.0,1.0
48.0,1.0,1.0
48.01,1.0,1.0
48.06,1.0,1.0
48.08,0.0,1.0
48.15,1.0,1.0
48.22,1.0,1.0
48.49,1.0,1.0
48.69,1.0,1.0
48.71,1.0,1.0
48.72,0.0,1.0
48.77,0.0,1.0
49.22,0.0,1.0
49.31,1.0,1.0
49.42,0.0,1.0
49.45,0.0,1.0
49.61,0.0,1.0
49.69,1.0,1.0
49.7,1.0,1.0
49.82,0.0,1.0
49.84,0.0,1.0
49.91,1.0,1.0
49.97,0.0,1.0
50.2,0.0,1.0
50.32,0.0,1.0
50.46,0.0,1.0
50.48,0.0,1.0
50.62,0.0,1.0
50.66,1.0,1.0
50.73,1.0,1.0
50.78,1.0,1.0
50.8,0.0,1.0
50.84,0.0,1.0
50.89,1.0,1.0
51.03,1.0,1.0
51.18,0.0,1.0
51.19,0.0,1.0
51.27,1.0,1.0
51.46,0.0,1.0
51.46,1.0,1.0
51.47,0.0,1.0
51.48,1.0,1.0
51.54,0.0,1.0
51.6,0.0,1.0
51.62,0.0,1.0
51.65,1.0,1.0
51.74,0.0,1.0
51.74,1.0,1.0
51.83,1.0,1.0
51.94,1.0,1.0
51.99,0.0,1.0
52.02,1.0,1.0
52.05,1.0,1.0
52.12,0.0,1.0
52.13,0.0,1.0
52.15,1.0,1.0
52.17,1.0,1.0
52.45,0.0,1.0
52.61,1.0,1.0
52.78,1.0,1.0
52.79,0.0,1.0
52.8,0.0,1.0
52.85,1.0,1.0
52.89,0.0,1.0
53.0,0.0,1.0
53.08,0.0,1.0
53.11,0.0,1.0
53.12,1.0,1.0
53.17,0.0,1.0
53.26,1.0,1.0
53.42,0.0,1.0
53.45,0.0,1.0
53.5,1.0,1.0
53.55,0.0,1.0
53.7,1.0,2.0
53.75,1.0,1.0
53.76,1.0,1.0
53.81,0.0,1.0
53.85,1.0,1.0
53.99,0.0,1.0
54.08,0.0,1.0
54.1,0.0,1.0
54.16,1.0,1.0
54.17,0.0,1.0
54.19,1.0,1.0
54.22,1.0,1.0
54.3,1.0,1.0
54.41,1.0,1.0
54.42,1.0,1.0
54.49,1.0,1.0
54.5,0.0,1.0
54.54,0.0,1.0
54.55,0.0,1.0
54.59,1.0,1.0
54.62,1.0,1.0
54.71,0.0,1.0
54.74,0.0,1.0
54.74,1.0,1.0
54.83,0.0,1.0
54.84,1.0,1.0
54.87,0.0,1.0
54.91,1.0,2.0
54.92,0.0,1.0
54.93,1.0,1.0
54.96,0.0,3.0
55.06,1.0,1.0
55.08,0.0,1.0
55.09,1.0,1.0
55.1,1.0,1.0
55.11,0.0,1.0
55.21,0.0,1.0
55.21,1.0,1.0
55.26,1.0,1.0
55.28,0.0,1.0
55.29,1.0,1.0
55.32,0.0,1.0
55.4,1.0,1.0
55.46,0.0,1.0
55.51,0.0,1.0
55.52,1.0,1.0
55.54,0.0,1.0
55.55,1.0,1.0
55.56,1.0,1.0
55.57,1.0,1.0
55.62,1.0,1.0
55.73,0.0,1.0
55.81,1.0,1.0
