GC_content,mapped,occurence
37.33,0.0,1.0
37.8,0.0,1.0
38.06,0.0,1.0
38.87,0.0,1.0
39.53,0.0,1.0
39.58,0.0,1.0
41.09,0.0,1.0
41.93,0.0,1.0
42.08,0.0,1.0
42.12,0.0,1.0
42.24,0.0,1.0
42.34,0.0,1.0
42.58,0.0,1.0
42.67,0.0,1.0
42.79,0.0,1.0
45.01,0.0,1.0
45.25,0.0,1.0
45.63,0.0,1.0
45.74,0.0,1.0
45.92,0.0,1.0
46.27,0.0,1.0
46.47,0.0,1.0
47.58,0.0,1.0
47.73,0.0,1.0
47.77,0.0,1.0
48.4,1.0,1.0
48.41,0.0,1.0
48.41,1.0,1.0
49.03,0.0,1.0
49.12,1.0,1.0
49.55,0.0,1.0
49.61,0.0,1.0
50.0,0.0,1.0
50.31,0.0,1.0
50.44,1.0,1.0
50.54,0.0,1.0
50.57,0.0,1.0
50.75,1.0,1.0
51.01,1.0,1.0
51.24,0.0,1.0
51.37,0.0,1.0
51.39,0.0,1.0
51.53,0.0,1.0
51.72,0.0,1.0
51.9,0.0,1.0
52.08,0.0,1.0
52.19,0.0,1.0
52.53,0.0,1.0
52.94,0.0,1.0
54.03,1.0,1.0
55.89,1.0,1.0
59.9,0.0,1.0

