seq_score,occurence
36.15,1.0
36.66,1.0
37.26,1.0
40.26,1.0
40.45,1.0
40.62,1.0
41.2,1.0
41.51,1.0
42.0,1.0
42.37,1.0
42.82,1.0
43.72,1.0
44.12,1.0
44.19,1.0
44.38,1.0
44.57,1.0
44.87,1.0
44.9,1.0
45.23,1.0
45.35,1.0
45.37,1.0
45.48,1.0
45.61,1.0
45.71,1.0
45.8,1.0
45.85,1.0
46.12,1.0
46.15,1.0
46.3,1.0
46.38,1.0
46.77,1.0
46.84,1.0
46.87,1.0
46.96,1.0
46.97,1.0
47.0,1.0
47.14,1.0
47.15,2.0
47.19,2.0
47.21,1.0
47.27,1.0
47.3,1.0
47.34,1.0
47.41,1.0
47.44,1.0
47.55,1.0
47.6,1.0
47.64,1.0
47.67,1.0
47.68,3.0
47.7,1.0
47.76,1.0
47.77,1.0
47.78,1.0
47.81,2.0
47.83,1.0
47.85,1.0
47.89,1.0
47.94,1.0
48.02,1.0
48.07,1.0
48.1,1.0
48.13,1.0
48.21,3.0
48.26,1.0
48.28,1.0
48.29,2.0
48.35,1.0
48.38,1.0
48.39,2.0
48.4,2.0
48.41,1.0
48.43,1.0
48.44,1.0
48.46,1.0
48.47,2.0
48.5,2.0
48.53,2.0
48.55,1.0
48.56,3.0
48.58,1.0
48.59,1.0
48.61,2.0
48.62,1.0
48.63,1.0
48.64,1.0
48.65,1.0
48.66,2.0
48.68,2.0
48.71,1.0
48.73,1.0
48.76,2.0
48.77,1.0
48.79,1.0
48.83,1.0
48.84,1.0
48.92,2.0
48.94,2.0
48.97,2.0
48.98,1.0
48.99,1.0
49.06,1.0
49.07,2.0
49.09,2.0
49.11,1.0
49.12,1.0
49.13,1.0
49.14,2.0
49.2,2.0
49.22,1.0
49.26,1.0
49.27,2.0
49.31,2.0
49.33,2.0
49.4,2.0
49.41,3.0
49.43,2.0
49.44,2.0
49.47,2.0
49.49,1.0
49.5,2.0
49.51,1.0
49.54,2.0
49.55,1.0
49.58,2.0
49.6,1.0
49.63,3.0
49.64,1.0
49.65,2.0
49.67,2.0
49.68,2.0
49.69,2.0
49.7,1.0
49.71,1.0
49.72,1.0
49.73,1.0
49.74,1.0
49.76,1.0
49.79,2.0
49.8,2.0
49.81,2.0
49.82,1.0
49.83,1.0
49.84,2.0
49.85,1.0
49.87,3.0
49.88,1.0
49.89,1.0
49.92,1.0
49.94,1.0
49.95,1.0
49.96,2.0
49.97,1.0
49.99,2.0
50.0,1.0
50.02,1.0
50.04,1.0
50.06,2.0
50.08,1.0
50.14,1.0
50.15,1.0
50.16,1.0
50.2,2.0
50.22,2.0
50.24,1.0
50.25,2.0
50.26,1.0
50.27,1.0
50.28,1.0
50.3,2.0
50.33,2.0
50.36,2.0
50.37,3.0
50.39,3.0
50.4,2.0
50.41,1.0
50.43,2.0
50.44,1.0
50.47,1.0
50.48,2.0
50.5,2.0
50.52,1.0
50.53,2.0
50.54,1.0
50.56,1.0
50.59,1.0
50.6,1.0
50.61,2.0
50.62,1.0
50.63,1.0
50.64,1.0
50.65,1.0
50.66,2.0
50.67,1.0
50.68,1.0
50.69,1.0
50.7,1.0
50.71,2.0
50.74,1.0
50.75,1.0
50.76,1.0
50.77,2.0
50.78,1.0
50.79,2.0
50.81,1.0
50.82,3.0
50.83,3.0
50.86,3.0
50.87,2.0
50.88,4.0
50.89,3.0
50.91,2.0
50.93,1.0
50.94,2.0
50.97,2.0
51.0,1.0
51.01,1.0
51.02,1.0
51.03,3.0
51.04,1.0
51.05,1.0
51.06,1.0
51.07,1.0
51.08,2.0
51.09,1.0
51.1,1.0
51.11,1.0
51.13,2.0
51.15,1.0
51.16,2.0
51.17,1.0
51.18,2.0
51.2,1.0
51.22,3.0
51.23,3.0
51.24,1.0
