GC_content,occurence
29.67,1.0
35.01,1.0
36.45,1.0
36.86,1.0
38.72,1.0
38.82,1.0
39.32,1.0
40.46,1.0
40.82,1.0
41.05,1.0
41.14,1.0
41.23,1.0
41.33,1.0
41.45,2.0
41.48,1.0
41.52,2.0
41.58,2.0
41.65,1.0
41.67,3.0
41.72,1.0
41.79,1.0
41.83,1.0
41.9,3.0
41.94,1.0
42.01,1.0
42.15,1.0
42.21,1.0
42.24,2.0
42.26,1.0
42.29,1.0
42.35,1.0
42.38,1.0
42.41,1.0
42.42,2.0
42.44,1.0
42.45,1.0
42.53,1.0
42.59,1.0
42.6,2.0
42.66,1.0
42.69,1.0
42.72,1.0
42.74,1.0
42.78,2.0
42.86,5.0
42.89,1.0
42.91,1.0
42.94,1.0
42.96,2.0
42.97,2.0
43.04,1.0
43.05,1.0
43.1,2.0
43.12,1.0
43.14,1.0
43.17,2.0
43.19,1.0
43.2,1.0
43.21,1.0
43.3,1.0
43.32,2.0
43.33,3.0
43.35,1.0
43.37,2.0
43.39,2.0
43.4,1.0
43.41,2.0
43.49,2.0
43.5,2.0
43.51,1.0
43.52,3.0
43.53,1.0
43.54,1.0
43.55,1.0
43.56,2.0
43.57,2.0
43.58,1.0
43.6,1.0
43.61,1.0
43.62,1.0
43.63,1.0
43.67,1.0
43.69,2.0
43.7,1.0
43.71,1.0
43.72,1.0
43.75,1.0
43.78,1.0
43.79,1.0
43.8,1.0
43.81,1.0
43.82,3.0
43.83,2.0
43.84,2.0
43.86,2.0
43.87,1.0
43.91,1.0
43.93,1.0
43.94,2.0
43.95,2.0
43.96,1.0
43.97,1.0
43.98,1.0
44.0,1.0
44.02,1.0
44.03,3.0
44.04,2.0
44.06,2.0
44.07,1.0
44.08,2.0
44.09,1.0
44.1,1.0
44.11,2.0
44.13,3.0
44.15,3.0
44.16,1.0
44.18,2.0
44.19,4.0
44.2,1.0
44.22,1.0
44.24,4.0
44.25,2.0
44.26,1.0
44.27,2.0
44.28,1.0
44.29,1.0
44.34,2.0
44.35,2.0
44.36,1.0
44.38,2.0
44.41,3.0
44.42,1.0
44.43,1.0
44.44,4.0
44.47,2.0
44.48,1.0
44.49,1.0
44.5,3.0
44.51,3.0
44.52,1.0
44.53,2.0
44.54,3.0
44.55,2.0
44.56,1.0
44.57,2.0
44.58,2.0
44.6,1.0
44.61,1.0
44.62,1.0
44.63,2.0
44.65,4.0
44.66,5.0
44.67,3.0
44.68,1.0
44.7,4.0
44.71,4.0
44.72,4.0
44.73,2.0
44.75,5.0
44.77,1.0
44.78,5.0
44.79,5.0
44.8,3.0
44.81,2.0
44.82,1.0
44.83,3.0
44.84,2.0
44.85,2.0
44.86,4.0
44.87,4.0
44.88,1.0
44.89,2.0
44.9,1.0
44.91,3.0
44.92,2.0
44.93,1.0
44.95,1.0
44.96,1.0
44.97,1.0
44.98,5.0
44.99,3.0
45.01,2.0
45.03,3.0
45.05,2.0
45.06,1.0
45.07,4.0
45.08,3.0
45.09,2.0
45.11,6.0
45.12,3.0
45.13,2.0
45.14,3.0
45.15,3.0
45.16,2.0
45.17,3.0
45.18,4.0
45.19,4.0
45.2,2.0
45.21,3.0
45.22,1.0
45.23,2.0
45.24,2.0
45.25,2.0
45.26,6.0
45.27,1.0
45.28,4.0
45.29,3.0
45.31,4.0
45.32,3.0
45.33,4.0
45.34,2.0
45.35,3.0
45.36,2.0
45.37,2.0
45.38,3.0
45.39,5.0
45.4,2.0
45.41,5.0
45.42,3.0
45.43,1.0
45.44,3.0
45.45,9.0
45.48,1.0
45.49,5.0
45.5,3.0
45.51,6.0
45.52,6.0
45.53,5.0
45.54,5.0
45.55,1.0
45.56,4.0
45.57,4.0
45.58,3.0
45.59,6.0
45.6,4.0
45.61,2.0
45.62,6.0
45.63,3.0
45.64,5.0
45.65,1.0
45.66,4.0
45.67,1.0
45.68,1.0
45.69,3.0
45.7,3.0
45.71,4.0
45.72,5.0
45.73,6.0
45.74,4.0
