read_length,occurence
150,133
151,155
152,146
153,161
154,181
155,171
156,190
157,201
158,253
159,194
160,204
161,184
162,189
163,206
164,174
165,169
166,182
167,176
168,226
169,214
170,301
171,399
172,420
173,358
174,274
175,151
176,130
177,93
178,67
179,70
180,70
181,64
182,73
183,92
184,105
185,106
186,106
187,121
188,129
189,125
190,128
191,157
192,155
193,151
194,145
195,127
196,134
197,144
198,134
199,117
200,119
201,115
202,114
203,182
204,192
205,234
206,219
207,220
208,181
209,132
210,78
211,79
212,54
213,50
214,57
215,47
216,49
217,59
218,64
219,73
220,70
221,84
222,94
223,70
224,98
225,101
226,88
227,100
228,99
229,96
230,93
231,76
232,88
233,93
234,67
235,66
236,75
237,87
238,100
239,119
240,126
241,122
242,116
243,99
244,73
245,49
246,39
247,39
248,29
249,31
250,28
251,31
252,47
253,47
254,59
255,53
256,38
257,50
258,53
259,44
260,56
261,72
262,54
263,55
264,45
265,47
266,46
267,52
268,43
269,49
270,50
271,64
272,55
273,75
274,69
275,79
276,72
277,59
278,59
279,30
280,23
281,23
282,19
283,29
284,27
285,21
286,28
287,25
288,35
289,34
290,37
291,29
292,34
293,32
294,42
295,31
296,36
297,38
298,37
299,35
300,34
301,43
302,26
303,29
304,32
305,29
306,34
307,28
308,38
309,36
310,44
311,35
312,42
313,21
314,21
315,27
316,22
317,32
318,25
319,25
320,14
321,16
322,19
323,21
324,23
325,18
326,18
327,19
328,19
329,21
330,27
331,21
332,26
333,21
334,24
335,17
336,21
337,21
338,12
339,22
340,23
341,18
342,21
343,24
344,19
345,24
346,19
347,21
348,18
349,6
350,6
351,13
352,5
353,16
354,11
355,10
356,8
357,12
358,13
359,19
360,15
361,12
362,12
363,16
364,16
365,14
366,7
367,15
368,11
369,14
370,15
371,11
372,9
373,13
374,9
375,18
376,6
377,13
378,15
379,4
380,14
381,10
382,8
383,9
384,8
385,11
386,12
387,10
388,8
389,9
390,6
391,9
392,6
393,7
394,5
395,4
396,7
397,3
398,15
399,6
400,8
401,14
402,3
403,5
404,5
405,10
406,8
407,5
408,11
409,9
410,9
411,6
412,7
413,7
414,4
415,6
416,4
417,6
418,7
419,6
420,5
421,5
422,10
423,4
424,8
425,7
426,6
427,4
428,11
429,8
430,1
431,7
432,8
433,11
434,4
435,8
436,4
437,11
438,6
439,4
440,4
441,4
442,5
443,6
444,7
445,5
446,3
447,5
448,4
449,5
450,10
451,3
452,5
453,1
454,4
455,1
456,5
457,3
458,4
459,3
460,2
461,3
462,2
463,4
464,4
465,5
466,1
467,5
468,3
469,4
470,6
471,3
472,4
473,2
474,5
475,3
476,1
478,4
479,6
480,4
481,1
482,1
483,2
484,3
486,2
487,6
488,3
489,1
490,1
492,2
493,3
494,3
495,4
496,3
497,2
498,3
499,3
500,4
501,1
503,4
504,2
505,6
507,2
508,3
509,3
510,2
511,3
512,4
513,2
514,1
515,4
516,1
520,1
521,1
522,1
523,1
524,1
526,3
527,2
528,1
529,3
530,2
533,2
534,4
535,2
536,1
537,1
538,4
539,1
540,2
541,3
542,3
543,3
544,2
545,1
549,1
551,1
552,1
553,1
554,1
555,3
556,4
557,1
558,1
559,1
560,2
561,1
562,1
567,3
569,2
570,2
571,1
572,3
574,1
576,1
577,2
578,2
579,1
580,1
582,3
587,2
589,2
592,1
593,1
594,3
596,1
597,1
600,1
601,1
603,1
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,1
614,1
616,1
617,1
619,1
620,1
621,1
622,1
623,1
634,1
637,1
640,1
641,1
647,2
648,2
651,2
653,1
655,2
659,2
663,2
664,1
666,2
671,1
674,1
675,1
676,1
678,1
684,1
686,1
689,1
690,1
692,1
695,1
697,2
703,2
705,1
707,1
716,1
719,1
727,1
734,1
741,1
745,1
773,1
779,1
783,1
808,1
820,1
836,1
843,1
851,1
863,1
864,1
868,1
873,1
890,1
900,1
916,1
917,1
921,1
966,1
984,1
988,1
1002,1
1031,1
1046,1
1095,1
1113,1
1142,1
1197,1

