seq_score,occurence
39.51,1.0
44.97,1.0
45.48,1.0
45.5,1.0
45.73,1.0
45.78,1.0
46.32,1.0
46.57,1.0
47.31,1.0
47.51,1.0
47.52,1.0
47.77,1.0
47.88,1.0
47.9,1.0
48.23,1.0
48.29,1.0
48.56,1.0
48.57,1.0
48.66,1.0
48.81,1.0
48.91,2.0
49.0,1.0
49.04,1.0
49.07,1.0
49.08,1.0
49.15,2.0
49.25,1.0
49.27,1.0
49.29,1.0
49.33,1.0
49.34,1.0
49.35,1.0
49.48,1.0
49.58,1.0
49.68,1.0
49.7,2.0
49.77,1.0
49.78,1.0
49.8,1.0
49.81,1.0
49.86,1.0
49.87,1.0
49.88,2.0
49.9,2.0
49.94,1.0
49.96,1.0
49.97,2.0
50.03,1.0
50.08,1.0
50.11,1.0
50.16,1.0
50.17,1.0
50.24,1.0
50.3,1.0
50.31,1.0
50.32,1.0
50.35,3.0
50.37,1.0
50.42,1.0
50.43,1.0
50.46,1.0
50.47,1.0
50.49,1.0
50.5,1.0
50.52,1.0
50.54,1.0
50.57,1.0
50.6,1.0
50.66,1.0
50.72,1.0
50.73,1.0
50.77,1.0
50.8,1.0
50.82,1.0
50.83,2.0
50.84,1.0
50.92,1.0
50.96,1.0
50.98,1.0
51.02,1.0
51.03,1.0
51.04,1.0
51.06,1.0
51.11,2.0
51.13,1.0
51.19,1.0
51.21,1.0
51.23,2.0
51.25,1.0
51.32,1.0
51.36,1.0
51.37,1.0
51.45,1.0
51.47,2.0
51.52,2.0
51.54,2.0
51.55,1.0
51.57,1.0
51.58,1.0
51.59,1.0
51.69,2.0
51.71,1.0
51.72,1.0
51.79,1.0
51.8,1.0
51.81,1.0
51.82,1.0
51.84,1.0
51.89,1.0
51.9,1.0
51.93,1.0
51.96,1.0
51.98,1.0
52.0,1.0
52.01,2.0
52.02,1.0
52.04,1.0
52.05,1.0
52.06,2.0
52.07,1.0
52.08,2.0
52.09,1.0
52.15,1.0
52.16,1.0
52.22,2.0
52.24,4.0
52.28,1.0
52.29,2.0
52.31,1.0
52.32,1.0
52.33,1.0
52.35,1.0
52.36,1.0
52.39,1.0
52.42,1.0
52.44,1.0
52.46,1.0
52.47,1.0
52.48,1.0
52.49,1.0
52.5,1.0
52.53,2.0
52.55,1.0
52.56,1.0
52.58,1.0
52.59,1.0
52.6,1.0
52.63,1.0
52.65,1.0
52.67,2.0
52.68,1.0
52.72,1.0
52.74,1.0
52.75,2.0
52.76,1.0
52.79,2.0
52.8,1.0
52.81,2.0
52.82,1.0
52.83,4.0
52.89,3.0
52.92,1.0
52.93,1.0
52.95,2.0
52.97,2.0
52.98,1.0
52.99,1.0
53.0,2.0
53.01,1.0
53.02,2.0
53.04,1.0
53.05,1.0
53.07,1.0
53.08,1.0
53.1,1.0
53.11,1.0
53.12,1.0
53.14,2.0
53.15,2.0
53.18,1.0
53.2,2.0
53.21,1.0
53.24,2.0
53.25,1.0
53.26,1.0
53.27,2.0
53.28,1.0
53.29,3.0
53.3,1.0
53.34,3.0
53.38,1.0
53.39,2.0
53.4,1.0
53.41,1.0
53.43,3.0
53.45,1.0
53.47,1.0
53.49,2.0
53.5,2.0
53.53,1.0
53.55,2.0
53.58,1.0
53.59,1.0
53.6,5.0
53.61,2.0
53.64,1.0
53.65,2.0
53.66,3.0
53.68,3.0
53.69,3.0
53.7,1.0
53.72,2.0
53.74,1.0
53.75,1.0
53.76,2.0
53.77,2.0
53.81,2.0
53.82,2.0
53.83,1.0
53.84,1.0
53.88,1.0
53.92,1.0
53.93,1.0
53.94,1.0
53.95,1.0
53.97,1.0
54.01,1.0
54.02,1.0
54.03,1.0
54.05,1.0
54.07,1.0
54.08,1.0
54.11,1.0
54.12,3.0
54.14,1.0
54.15,1.0
54.16,4.0
54.17,1.0
54.2,1.0
54.22,1.0
54.23,1.0
54.25,1.0
54.26,1.0
54.27,1.0
54.28,2.0
54.29,2.0
54.3,1.0
54.31,1.0
54.32,2.0
54.34,1.0
54.35,2.0
54.36,3.0
54.37,1.0
54.39,1.0
54.4,1.0
54.41,2.0
54.42,1.0
54.43,2.0
54.44,3.0
54.45,1.0
54.46,4.0
54.47,2.0
54.48,1.0
54.49,3.0
54.5,1.0
54.51,1.0
54.52,2.0
54.53,2.0
54.55,1.0
