map_score,mapped,occurence
0,0,8082
1,1,8
10,1,12
11,1,11
12,1,28
13,1,21
14,1,11
15,1,20
16,1,26
17,1,12
18,1,9
19,1,11
2,1,60
20,1,8
21,1,17
22,1,23
23,1,32
24,1,46
25,1,90
26,1,87
27,1,1158
28,1,48
29,1,11
3,1,278
30,1,9
31,1,12
32,1,16
33,1,16
34,1,17
35,1,18
36,1,16
37,1,18
38,1,19
39,1,39
4,1,16
40,1,6
41,1,25
42,1,20
43,1,20
44,1,26
45,1,26
46,1,40
47,1,48
48,1,40
49,1,27
5,1,15
50,1,38
51,1,36
52,1,38
53,1,32
54,1,18
55,1,22
56,1,20
57,1,36
58,1,30
59,1,47
6,1,3
60,1,33093
7,1,2
8,1,2
9,1,4

