GC_content,occurence
13.73,1.0
16.47,1.0
18.26,1.0
18.91,1.0
23.38,1.0
36.11,1.0
36.12,1.0
36.78,1.0
38.1,1.0
38.78,1.0
38.79,1.0
39.62,2.0
40.32,1.0
40.52,1.0
40.88,1.0
41.1,1.0
41.45,1.0
41.47,1.0
41.7,1.0
41.72,1.0
41.83,3.0
41.88,1.0
41.94,1.0
41.98,1.0
42.11,1.0
42.38,3.0
42.41,1.0
42.45,1.0
42.48,8.0
42.69,1.0
42.76,2.0
42.81,1.0
42.95,1.0
43.05,2.0
43.11,1.0
43.14,9.0
43.2,1.0
43.33,3.0
43.42,2.0
43.56,1.0
43.71,1.0
43.75,1.0
43.77,1.0
43.79,2.0
43.86,2.0
43.87,1.0
43.91,1.0
43.96,1.0
44.0,1.0
44.08,1.0
44.1,1.0
44.11,1.0
44.15,1.0
44.16,1.0
44.26,1.0
44.31,1.0
44.35,1.0
44.37,1.0
44.39,1.0
44.44,1.0
44.49,1.0
44.5,1.0
44.51,1.0
44.54,1.0
44.57,1.0
44.59,1.0
44.67,2.0
44.68,1.0
44.69,1.0
44.72,1.0
44.73,1.0
44.74,1.0
44.78,1.0
44.81,2.0
44.91,1.0
44.92,1.0
44.93,1.0
44.95,1.0
44.96,2.0
44.98,1.0
45.03,2.0
45.19,1.0
45.22,1.0
45.25,1.0
45.28,2.0
45.29,1.0
45.37,2.0
45.38,1.0
45.39,1.0
45.4,1.0
45.41,3.0
45.44,1.0
45.45,3.0
45.51,2.0
45.52,1.0
45.69,3.0
45.74,1.0
45.76,2.0
45.78,1.0
45.79,1.0
45.8,1.0
45.81,1.0
45.83,1.0
45.84,1.0
45.89,1.0
45.91,1.0
45.92,1.0
45.93,1.0
45.94,1.0
45.96,4.0
45.99,2.0
46.0,2.0
46.03,2.0
46.04,1.0
46.05,1.0
46.06,1.0
46.1,2.0
46.12,1.0
46.13,2.0
46.19,3.0
46.21,1.0
46.22,3.0
46.23,1.0
46.26,3.0
46.28,1.0
46.31,1.0
46.34,2.0
46.35,3.0
46.38,1.0
46.41,2.0
46.42,1.0
46.44,1.0
46.47,1.0
46.49,2.0
46.5,4.0
46.53,2.0
46.55,1.0
