Read_ID	Length	GC_content	Avg_Quality	Mapping_Quality
1db0c311-8a38-47ff-a586-904b1498d0dd	152	48.03	12.97	41
728122b9-d59f-4358-9c24-5a11e9182f67	190	46.84	11.25	60
02685233-a03c-4bb9-ba61-60a2bfb762cb	113	49.56	15.23	18
db573925-9e31-475d-a0b3-0cf9bb9eb840	440	46.36	13.61	60
3f2cd75b-f07a-43bb-b489-15b232e1a535	153	50.98	15.63	22
7a7ff9fa-2f34-4d79-91b1-671ff7313798	902	47.01	12.54	60
6994a4c8-f3bc-497b-afc3-b939085f0351	335	49.85	17.56	17
8b880b96-4538-4b8f-9d7b-c90b998f98b1	407	49.14	14.15	60
02685233-a03c-4bb9-ba61-60a2bfb762cb	652	47.24	12.19	60
1733b1db-effc-4575-b66f-84dde3fc9ec4	281	48.04	4.95	60
66f7edcd-6d17-43fd-b801-bbf0a41b00c9	898	44.77	14.70	60
4fa747e8-c853-4fc7-a6e4-9e138c963426	320	46.25	11.39	60
be388449-2ed2-4d1e-a28c-dc13fa9461b2	198	48.99	4.73	8
96673181-40a3-42dc-a914-ce7bb5d349b8	541	45.66	12.58	60
26251f3e-98d5-4dd2-b35a-381ce2bd7bf5	328	48.17	10.35	60
94a6a6f7-f45b-4c57-8c70-f16e04c33ad9	908	43.94	11.16	60
72e6ca2b-b2e8-4986-8840-6119502945d8	535	45.42	11.78	60
5a1d0c0d-490b-4b7d-8e92-b3554addb417	705	46.24	9.57	60
eac868a5-606e-428e-85fb-f07382a4f327	217	49.31	12.28	34
2df01303-1eed-4f5f-b793-5094e1cf4538	152	50.00	9.79	33
ecbac1ad-a4e4-4bc4-93d3-dc0aa3a8c531	324	47.53	11.72	45
6994a4c8-f3bc-497b-afc3-b939085f0351	70	50.00	20.74	7
e081a454-84b7-4d06-bda5-c2fec97bbf66	249	50.60	6.12	60
817f7135-7238-45f6-8975-9dfc4d917a5b	224	45.98	3.22	60
30fc5fa2-c8c0-43ce-82c9-5013f6e8e5a6	248	49.60	8.53	8
5cc1f788-d506-4dc1-9d79-8fe370b47718	590	49.49	13.04	60
97fb6f75-2f75-443a-af31-8303916938df	110	50.00	12.75	60
e08dd169-d558-43c2-9187-5e351ffa2f16	936	46.26	11.50	60
861eaa30-3c30-4e29-b35c-b631736544f7	306	48.37	12.30	60
7f271e05-8550-4025-b4eb-6a5c4088462d	632	45.41	20.83	60
7a180364-9c16-4765-a59b-49e03ddb18c2	273	48.35	12.77	60
4ddbddc5-b851-400f-afff-f6551283e45d	174	48.85	14.16	60
1e31f9fa-3f3d-48da-9beb-9ef64f9b4805	634	44.64	13.40	60
fd609b4d-4a77-4ef1-af1f-6d4b6b6fd519	664	44.58	15.66	59
90f5e02d-0e77-4c17-babb-ccd534cceaad	246	50.00	8.67	8
9416ed4e-b5e2-4cee-a77c-8894b0b3455e	223	45.29	10.70	60
03700878-9c7f-4b80-81a0-2e8df09fb17b	256	49.22	12.38	27
f563d77e-ca85-4f44-8a58-cce932f7e413	202	46.04	8.35	40
dc5dd70e-0dd4-4d4f-8f13-4450645dbf87	208	46.63	11.95	40
b8dbc329-66f3-44e8-bd70-6667debf08e1	59	50.85	2.80	3
6477b479-2dee-41cd-aa56-5cc7b5ce3f2f	245	46.94	7.07	60
3c7cac39-ec6c-493b-b0f7-a9eb964f85d9	246	46.34	11.15	60
2558c8df-a9c4-4635-aac8-f7f6f88da6ce	243	45.68	11.27	60
8e2de79e-b83c-4870-9649-1371363ceef2	321	49.22	5.06	60
67fce754-0c35-4029-ace1-37dc3e022d7c	690	48.84	15.92	60
20dcf034-ad70-4dce-863c-52b6a7d0c426	350	49.14	14.13	60
67fce754-0c35-4029-ace1-37dc3e022d7c	188	49.47	21.73	26
bea2010c-39d7-4d3f-9cd0-7982f22cf04e	240	40.83	13.52	60
97fb6f75-2f75-443a-af31-8303916938df	1145	51.18	11.81	60
b1470641-9715-4d7a-9547-a1baa154f5a9	1034	51.74	18.87	60
b8dbc329-66f3-44e8-bd70-6667debf08e1	516	45.93	8.84	60
27eb727f-11cb-4c49-af4b-72059ac3da53	317	51.10	12.61	60
8dea59da-f162-47f7-ae98-ca689c555f3c	391	49.62	14.21	60
3aae7ff6-a104-4d2f-9d65-841c32d720f1	317	52.68	13.52	60
2bf00a65-d7f1-4948-918a-3a522cf66934	242	50.41	9.36	60
0e595ba1-aedb-4305-838a-c34395a9f9da	390	47.69	19.86	60
dca87a02-d7d4-451c-847e-b1ad2a0a5028	318	45.28	12.55	60
076ad946-cb88-4af0-8f44-de9a08529faa	276	51.45	11.35	60
231f51ac-f17a-4942-896b-c66aa0b2f8fb	243	51.03	4.88	60
6f692729-59ff-4a3c-b120-0db4a73a91ab	318	50.63	4.57	60
890e0412-8135-4040-a30d-ef11915d9c86	275	50.91	5.74	60
d1a63ebf-0a0b-49f3-a84c-1197760c88e6	244	50.41	7.75	60
f5f445fd-a561-43ef-8f3b-068725569c7d	317	51.10	9.97	60
3c6e848f-36a0-45ff-b13a-41f742536824	390	50.77	8.86	27
