read_length,mapped,occurence
150,0,11
151,0,6
152,0,1
153,0,2
154,0,3
155,0,4
156,0,10
157,0,6
158,0,8
159,0,20
160,0,10
161,0,8
162,0,7
163,0,4
164,0,6
165,0,4
166,0,4
167,0,6
168,0,4
169,0,6
170,0,3
171,0,3
172,0,2
173,0,4
174,0,7
175,0,10
176,0,2
177,0,5
178,0,8
179,0,2
180,0,4
180,1,2
181,0,3
182,0,5
183,0,4
184,0,1
184,1,1
185,0,7
185,1,6
186,0,1
187,0,2
187,1,1
188,0,5
188,1,1
189,0,7
190,0,4
191,0,5
192,0,5
193,0,4
194,0,3
195,0,6
196,0,4
197,0,2
198,0,4
199,0,11
200,0,8
201,0,12
202,0,10
203,0,29
204,0,5
205,0,3
206,0,6
207,0,5
208,0,5
209,0,4
210,0,3
210,1,1
211,1,1
212,0,3
213,0,2
214,0,1
215,0,1
216,0,3
216,1,1
217,0,2
218,0,4
219,0,5
220,0,5
221,0,2
221,1,1
222,0,1
222,1,3
223,0,1
223,1,1
224,0,6
225,0,4
225,1,1
226,0,3
226,1,2
227,0,3
227,1,4
228,0,2
228,1,7
229,0,3
229,1,2
230,0,4
230,1,1
231,0,1
231,1,2
232,0,8
232,1,4
233,1,5
234,0,2
234,1,16
235,0,2
235,1,25
236,0,3
236,1,94
237,0,1
237,1,15
238,0,3
238,1,10
239,0,3
239,1,9
240,0,2
240,1,3
241,0,3
241,1,3
242,0,6
242,1,2
243,0,3
243,1,3
244,0,2
244,1,1
245,0,2
245,1,2
246,0,3
247,0,5
247,1,1
248,0,5
248,1,1
249,0,6
250,0,3
250,1,1
251,0,4
251,1,1
252,0,6
252,1,3
253,0,2
253,1,3
254,0,3
255,0,5
256,0,3
256,1,3
257,0,5
258,1,2
259,0,3
259,1,1
260,0,7
260,1,2
261,0,5
262,0,4
262,1,3
263,0,10
264,0,4
264,1,2
265,0,1
265,1,1
266,0,1
266,1,3
267,0,3
268,1,1
269,0,2
269,1,5
270,0,2
270,1,2
271,0,1
271,1,3
272,0,1
272,1,5
273,0,3
273,1,6
274,1,2
275,0,2
275,1,2
276,0,2
276,1,9
277,0,2
277,1,29
278,0,2
278,1,5
279,0,2
279,1,3
280,0,4
280,1,1
281,0,3
281,1,4
282,0,1
283,0,5
284,0,7
284,1,1
285,0,4
285,1,1
286,0,1
287,0,1
287,1,2
288,0,4
288,1,2
289,0,1
289,1,1
290,0,2
290,1,2
291,0,3
291,1,1
292,0,3
292,1,2
293,0,4
293,1,4
295,0,4
296,0,3
296,1,3
297,1,1
298,0,1
298,1,2
299,0,3
300,0,4
300,1,2
301,0,10
301,1,2
302,0,10
303,0,16
303,1,1
304,0,23
304,1,2
305,0,53
305,1,2
306,0,8
306,1,1
307,0,7
308,0,6
309,0,2
309,1,2
310,0,2
310,1,1
311,0,1
311,1,3
312,0,4
312,1,3
313,0,2
314,0,1
314,1,1
315,0,2
315,1,4
316,0,3
316,1,1
317,0,4
317,1,3
318,1,3
319,0,7
319,1,9
320,0,3
320,1,2
321,0,5
321,1,2
322,0,1
322,1,2
323,0,4
323,1,2
324,0,2
325,0,1
325,1,2
326,0,2
326,1,1
327,0,1
328,0,1
328,1,1
329,0,2
330,0,2
331,0,2
331,1,1
332,0,7
332,1,2
333,0,2
333,1,2
334,0,4
335,0,3
335,1,2
336,0,3
337,0,2
338,0,1
338,1,2
339,0,1
339,1,4
340,0,2
340,1,1
341,0,1
341,1,1
342,0,2
343,0,1
343,1,2
344,0,3
344,1,1
345,0,5
345,1,3
346,0,7
346,1,2
347,0,1
347,1,4
348,0,1
348,1,1
349,0,1
