read_length,mapped,occurence
110,1,1
116,1,1
150,0,7
151,0,22
151,1,1
152,0,9
153,0,3
154,0,7
155,0,4
156,0,4
156,1,1
157,0,8
157,1,1
158,0,8
159,0,14
159,1,2
160,0,27
161,0,47
162,0,69
162,1,1
163,0,18
164,0,3
165,0,9
165,1,1
166,0,6
167,0,3
167,1,1
168,0,3
168,1,1
169,0,12
169,1,3
170,0,7
171,0,6
172,0,3
172,1,3
173,0,8
173,1,3
174,0,5
174,1,1
175,0,8
175,1,7
176,0,8
176,1,16
177,0,33
177,1,69
178,0,8
178,1,7
179,0,8
179,1,4
180,0,4
181,0,7
181,1,5
182,0,5
182,1,9
183,0,3
183,1,5
184,0,4
184,1,8
185,0,1
185,1,15
186,0,5
186,1,69
187,0,5
187,1,9
188,0,7
188,1,1
189,0,2
190,0,4
190,1,6
191,0,1
191,1,3
192,0,2
192,1,2
193,0,2
193,1,2
194,0,1
195,0,3
195,1,3
196,0,3
197,0,2
198,0,3
198,1,1
199,0,4
199,1,1
200,0,1
200,1,1
201,1,4
202,0,4
202,1,4
203,0,2
203,1,2
204,0,4
204,1,7
205,0,3
205,1,1
206,0,4
206,1,6
207,0,2
207,1,2
208,0,6
209,0,7
209,1,2
210,0,5
210,1,2
211,0,2
211,1,1
212,0,4
212,1,5
213,0,7
213,1,5
214,0,15
214,1,9
215,0,3
215,1,3
216,0,5
216,1,12
217,0,7
217,1,23
218,0,5
218,1,49
219,0,7
219,1,351
220,0,3
220,1,51
221,0,6
221,1,27
222,0,6
222,1,29
223,0,6
223,1,24
224,0,4
224,1,55
225,0,12
225,1,108
226,0,15
226,1,590
227,0,7
227,1,91
228,0,10
228,1,34
229,0,5
229,1,25
230,0,3
230,1,14
231,0,3
231,1,10
232,1,3
233,0,1
233,1,6
234,0,1
234,1,4
235,0,1
235,1,5
236,0,2
236,1,6
237,1,4
238,0,1
238,1,3
239,0,3
239,1,3
240,0,1
240,1,10
241,1,4
242,1,6
243,0,2
243,1,8
244,0,5
244,1,6
245,1,7
246,0,2
246,1,22
247,0,3
247,1,15
248,0,4
248,1,6
249,0,1
249,1,23
250,0,7
250,1,22
251,0,7
251,1,31
252,0,7
252,1,68
253,0,9
253,1,20
254,0,12
254,1,16
255,0,19
255,1,14
256,0,10
256,1,15
257,0,49
257,1,20
258,0,89
258,1,23
259,0,208
259,1,42
260,0,43
260,1,50
261,0,12
261,1,64
262,0,13
262,1,72
263,0,6
263,1,215
264,0,3
264,1,236
265,0,5
265,1,233
266,0,2
266,1,256
267,0,4
267,1,182
268,0,1
268,1,173
269,1,239
270,0,4
270,1,292
271,0,5
271,1,386
272,0,5
272,1,674
273,0,6
273,1,948
274,0,5
274,1,1495
275,0,8
275,1,2081
276,0,2
276,1,4442
277,0,6
277,1,15756
278,0,5
278,1,2783
279,0,2
279,1,1048
280,0,3
280,1,641
281,0,4
281,1,311
282,0,1
282,1,167
283,0,4
283,1,93
284,0,4
284,1,42
285,0,4
285,1,43
286,0,4
286,1,22
287,0,10
287,1,12
288,0,6
288,1,14
289,0,4
289,1,9
290,0,3
290,1,3
291,0,4
291,1,7
292,1,5
293,0,4
293,1,3
294,0,2
294,1,3
295,0,1
295,1,3
296,0,2
296,1,1
297,0,1
297,1,4
298,0,1
298,1,2
299,0,5
299,1,3
300,0,1
300,1,7
301,1,2
302,0,1
302,1,3
303,0,3
303,1,6
304,0,6
304,1,9
305,0,1
305,1,8
306,1,5
307,0,3
307,1,5
308,0,2
308,1,7
309,0,5
309,1,7
310,0,3
310,1,10
311,0,1
311,1,15
312,0,4
312,1,25
313,0,2
313,1,41
314,0,3
314,1,29
315,0,6
315,1,22
316,0,4
316,1,39
317,0,6
317,1,69
318,0,6
318,1,26
319,0,4
319,1,15
320,0,8
320,1,8
321,0,10
321,1,2
322,0,12
322,1,4
323,0,15
323,1,2
324,0,21
324,1,3
325,0,17
325,1,1
326,0,24
326,1,2
327,0,40
327,1,4
328,0,38
329,0,70
329,1,1
330,0,93
330,1,1
331,0,145
332,0,206
332,1,1
333,0,272
333,1,1
334,0,419
335,0,587
336,0,991
336,1,1
337,0,1650
338,0,481
