GC_content,occurence
13.54,1.0
15.77,1.0
18.99,1.0
19.07,1.0
20.64,1.0
20.99,1.0
24.1,1.0
27.06,1.0
27.08,1.0
27.71,1.0
27.9,1.0
28.34,1.0
28.6,1.0
28.81,1.0
28.88,1.0
29.08,1.0
29.75,1.0
29.88,1.0
29.95,1.0
29.99,1.0
30.12,1.0
30.13,1.0
30.21,1.0
30.49,1.0
30.59,2.0
30.73,1.0
30.75,1.0
30.77,2.0
31.08,1.0
31.1,1.0
31.16,1.0
31.28,1.0
31.58,1.0
31.64,2.0
31.69,1.0
31.71,1.0
31.76,1.0
31.8,1.0
31.82,1.0
31.84,1.0
31.85,1.0
31.86,1.0
31.87,1.0
31.98,1.0
32.0,1.0
32.09,1.0
32.14,1.0
32.19,1.0
32.2,4.0
32.21,1.0
32.22,2.0
32.3,1.0
32.48,1.0
32.49,1.0
32.52,1.0
32.53,1.0
32.56,1.0
32.58,1.0
32.62,1.0
32.72,1.0
32.77,1.0
32.79,1.0
32.8,1.0
32.84,1.0
32.95,1.0
32.98,2.0
33.02,1.0
33.05,1.0
33.06,1.0
33.07,1.0
33.08,1.0
33.15,1.0
33.16,1.0
33.19,1.0
33.26,1.0
33.3,1.0
33.33,2.0
33.38,1.0
33.44,1.0
33.46,1.0
33.5,1.0
33.51,1.0
33.58,3.0
33.65,1.0
33.66,1.0
33.69,1.0
33.71,1.0
33.82,2.0
33.85,1.0
33.86,1.0
33.93,1.0
33.94,1.0
33.97,1.0
33.99,2.0
34.0,1.0
34.01,1.0
34.05,1.0
34.06,1.0
34.07,1.0
34.09,1.0
34.12,3.0
34.13,1.0
34.14,1.0
34.15,1.0
34.16,1.0
34.17,1.0
34.2,1.0
34.21,2.0
34.22,2.0
34.23,1.0
34.26,1.0
34.28,1.0
34.32,1.0
34.34,3.0
34.35,1.0
34.38,1.0
34.39,2.0
34.42,1.0
34.44,1.0
34.45,1.0
34.46,4.0
34.48,1.0
34.5,1.0
34.52,2.0
34.53,2.0
34.54,1.0
34.56,1.0
34.57,1.0
34.58,1.0
34.59,2.0
34.6,1.0
34.61,1.0
34.62,1.0
34.64,2.0
34.66,1.0
34.67,1.0
34.68,1.0
34.69,2.0
34.71,2.0
34.72,3.0
34.73,2.0
34.75,2.0
34.77,1.0
34.83,1.0
34.84,1.0
34.85,1.0
34.87,2.0
34.9,1.0
34.91,2.0
34.96,2.0
34.97,1.0
34.98,1.0
34.99,1.0
35.0,1.0
35.02,1.0
35.03,2.0
35.07,2.0
35.08,3.0
35.09,1.0
35.13,1.0
35.14,1.0
35.19,3.0
35.21,2.0
35.23,2.0
35.24,2.0
35.29,2.0
35.3,1.0
35.33,2.0
35.35,1.0
35.36,1.0
35.41,1.0
35.42,1.0
35.43,3.0
35.45,3.0
35.47,1.0
35.49,1.0
35.5,1.0
35.54,3.0
35.55,1.0
35.57,1.0
35.58,1.0
35.62,1.0
35.63,1.0
35.65,2.0
35.67,1.0
35.69,1.0
35.71,2.0
35.72,1.0
35.74,1.0
35.75,1.0
35.76,1.0
35.78,3.0
35.79,2.0
35.82,2.0
35.84,3.0
35.85,3.0
35.86,1.0
35.88,3.0
35.91,2.0
35.93,1.0
35.94,1.0
35.97,1.0
35.98,1.0
36.0,1.0
36.01,1.0
36.02,2.0
36.03,1.0
36.04,2.0
36.05,1.0
36.09,1.0
36.17,1.0
36.2,1.0
36.21,1.0
36.23,1.0
36.24,1.0
36.26,1.0
36.27,2.0
36.3,2.0
36.32,1.0
36.33,1.0
36.36,1.0
36.4,1.0
36.41,2.0
36.43,1.0
36.44,1.0
36.45,1.0
36.47,1.0
36.51,7.0
36.53,1.0
36.56,2.0
36.57,1.0
36.59,1.0
36.6,2.0
36.61,2.0
36.62,1.0
36.63,4.0
36.64,1.0
36.65,8.0
36.66,1.0
36.67,1.0
36.69,1.0
36.7,2.0
36.72,3.0
36.73,1.0
36.74,1.0
36.76,3.0
36.77,1.0
36.79,2.0
36.82,1.0
36.84,5.0
36.86,3.0
36.87,1.0
36.9,8.0
36.92,3.0
36.93,1.0
36.95,1.0
36.96,1.0
36.98,2.0
36.99,3.0
37.02,1.0
37.04,6.0
37.05,1.0
37.06,4.0
37.09,1.0
37.1,2.0
37.11,1.0
37.14,2.0
37.16,1.0
37.17,10.0
37.19,2.0
37.2,3.0
37.21,1.0
37.22,1.0
37.23,29.0
37.24,1.0
37.26,1.0
37.27,2.0
37.28,1.0
37.29,2.0
37.3,4.0
37.31,1.0
37.33,1.0
37.34,2.0
37.35,3.0
37.37,3.0
37.39,1.0
37.42,1.0
37.43,9.0
37.44,3.0
37.45,3.0
37.47,1.0
37.5,15.0
37.51,1.0
37.52,3.0
37.55,2.0
37.56,3.0
37.57,6.0
37.58,4.0
37.59,1.0
37.62,2.0
37.63,4.0
37.65,6.0
37.67,2.0
37.68,1.0
37.69,1.0
37.7,1.0
37.71,1.0
37.72,3.0
37.73,1.0
37.77,50.0
37.79,1.0
37.8,8.0
37.81,2.0
37.83,2.0
37.85,2.0
37.86,2.0
37.87,6.0
37.89,3.0
37.9,5.0
37.92,4.0
37.93,3.0
37.94,3.0
37.95,5.0
37.96,7.0
37.97,5.0
37.98,1.0
37.99,2.0
38.0,1.0
38.01,3.0
38.02,2.0
38.04,2.0
38.06,6.0
38.07,1.0
