GC_content,occurence
28.42,1.0
28.55,1.0
28.62,1.0
28.96,1.0
29.08,1.0
29.14,1.0
29.16,1.0
29.21,1.0
29.32,1.0
29.45,1.0
29.55,1.0
29.67,1.0
29.68,1.0
29.81,1.0
29.88,1.0
30.15,1.0
30.16,1.0
30.34,1.0
30.48,1.0
30.54,1.0
30.77,1.0
30.95,1.0
31.18,1.0
31.3,2.0
31.34,1.0
31.42,1.0
31.46,1.0
31.49,2.0
31.5,1.0
31.52,1.0
31.72,1.0
31.95,1.0
32.13,2.0
32.4,1.0
32.83,1.0
32.98,1.0
33.03,1.0
33.19,1.0
33.22,1.0
33.5,1.0
33.66,1.0
33.76,1.0
33.85,1.0
33.9,1.0
33.94,1.0
34.08,1.0
34.12,1.0
34.15,2.0
34.19,1.0
34.2,2.0
34.31,1.0
34.38,1.0
34.42,1.0
34.46,1.0
34.58,1.0
34.63,1.0
34.67,1.0
34.85,1.0
34.95,1.0
34.97,1.0
34.98,1.0
35.11,1.0
35.17,1.0
35.18,1.0
35.35,1.0
35.38,2.0
35.4,1.0
35.53,1.0
35.54,1.0
35.58,1.0
35.67,1.0
35.7,1.0
35.87,1.0
35.92,1.0
35.94,1.0
35.97,2.0
36.12,2.0
36.2,2.0
36.36,4.0
36.39,1.0
36.4,2.0
36.42,1.0
36.5,1.0
36.51,1.0
36.59,1.0
36.68,1.0
36.71,1.0
36.72,1.0
36.73,2.0
36.79,1.0
36.84,1.0
37.01,1.0
37.05,1.0
37.06,1.0
37.11,1.0
37.13,1.0
37.14,1.0
37.22,1.0
37.24,1.0
37.26,1.0
37.29,2.0
37.31,1.0
37.37,2.0
37.38,1.0
37.4,1.0
37.41,2.0
37.42,1.0
37.44,1.0
37.46,1.0
37.48,1.0
37.5,1.0
37.54,2.0
37.58,1.0
37.64,1.0
37.66,1.0
37.68,1.0
37.78,2.0
37.79,1.0
37.8,1.0
37.88,1.0
37.94,1.0
37.98,1.0
37.99,1.0
38.0,1.0
38.01,1.0
38.03,2.0
38.07,2.0
38.14,3.0
38.2,1.0
38.21,1.0
38.24,1.0
38.28,1.0
38.29,1.0
38.3,2.0
