read_length,occurence
150,37
151,23
152,35
153,57
154,20
155,15
156,17
157,13
158,9
159,6
160,20
161,16
162,18
163,26
164,17
165,14
166,5
167,13
168,11
169,19
170,22
171,8
172,17
173,4
174,12
175,10
176,14
177,16
178,24
179,29
180,49
181,35
182,46
183,67
184,131
185,139
186,35
187,21
188,10
189,24
190,18
191,15
192,12
193,14
194,9
195,21
196,25
197,17
198,20
199,8
200,15
201,17
202,33
203,23
204,18
205,34
206,16
207,18
208,12
209,7
210,10
211,15
212,36
213,6
214,12
215,5
216,17
217,13
218,11
219,13
220,7
221,18
222,26
223,22
224,28
225,27
226,23
227,23
228,17
229,26
230,42
231,50
232,95
233,151
234,79
235,137
236,304
237,105
238,124
239,165
240,138
241,192
242,255
243,417
244,145
245,93
246,49
247,27
248,22
249,18
250,14
251,16
252,23
253,21
254,16
255,28
256,49
257,23
258,23
259,26
260,52
261,18
262,23
263,50
264,26
265,21
266,15
267,35
268,26
269,22
270,27
271,19
272,22
273,34
274,34
275,52
276,65
277,167
278,137
279,327
280,116
281,84
282,79
283,130
284,168
285,85
286,73
287,92
288,37
289,26
290,58
291,17
292,16
293,19
294,15
295,18
296,13
297,27
298,34
299,31
300,36
301,67
302,97
303,54
304,62
305,59
306,80
307,50
308,45
309,60
310,37
311,28
312,24
313,38
314,26
315,14
316,15
317,26
318,17
319,16
320,15
321,17
322,14
323,21
324,22
325,25
326,29
327,38
328,46
329,65
330,35
331,61
332,34
333,56
334,36
335,27
336,37
337,30
338,28
339,29
340,29
341,33
342,27
343,20
344,27
345,28
346,32
347,25
348,22
349,18
350,14
351,21
352,16
353,16
354,16
355,25
356,45
357,35
358,40
359,27
360,48
361,17
362,24
363,28
364,19
365,20
366,18
367,16
368,19
369,17
370,22
371,19
372,18
373,19
374,20
375,18
376,20
377,34
378,14
379,18
380,13
381,12
382,20
383,26
384,28
385,19
386,20
387,17
388,11
389,15
390,13
391,8
392,13
393,9
394,14
395,18
396,9
397,13
398,13
399,21
400,20
401,11
402,12
403,7
404,14
405,9
406,13
407,6
408,7
409,5
410,12
411,14
412,9
413,8
414,17
415,8
416,12
417,7
418,8
419,13
420,8
421,7
422,10
423,8
424,9
425,11
426,13
427,10
428,16
429,9
430,13
431,8
432,4
433,10
434,7
435,10
436,6
437,9
438,8
439,15
440,12
441,5
442,8
443,5
444,4
445,3
446,4
447,4
448,5
449,7
450,4
451,7
452,10
453,8
454,9
455,9
456,3
457,6
458,7
459,8
460,1
461,5
462,5
463,9
464,10
465,8
466,11
467,7
468,2
469,10
470,9
471,5
472,6
473,3
474,5
475,8
476,5
477,5
478,5
479,8
480,6
481,6
482,6
483,5
484,6
485,4
486,4
487,7
488,6
489,3
490,5
491,3
492,2
493,6
494,4
495,4
496,9
497,3
498,4
499,2
500,4
501,4
502,3
503,9
504,4
505,4
506,3
507,7
508,7
509,9
510,10
511,10
512,22
513,8
514,9
515,8
516,5
517,6
518,13
519,6
520,6
521,8
522,11
523,6
524,7
525,9
526,6
527,8
528,15
529,7
530,8
531,6
532,4
533,6
534,4
535,12
536,6
537,10
538,7
539,7
540,7
541,11
542,3
543,7
544,10
545,2
546,5
547,6
548,5
549,3
550,4
551,4
552,3
553,7
554,5
555,8
556,1
557,8
558,6
559,2
560,8
561,3
562,7
563,10
564,6
565,9
566,11
567,8
568,10
569,6
570,6
571,6
572,2
573,5
574,4
575,4
576,5
577,7
578,7
579,3
580,12
581,11
582,11
583,6
584,6
585,13
586,4
587,5
588,9
589,7
590,5
591,6
592,2
593,5
594,5
595,5
596,3
597,5
598,4
599,5
600,4
601,5
602,4
603,7
604,2
605,4
606,4
607,7
608,7
609,7
610,6
611,2
612,2
613,7
614,6
615,5
616,6
617,5
618,5
619,6
620,8
621,8
622,5
623,2
624,5
625,2
626,7
627,4
628,3
629,4
630,9
631,5
632,6
633,4
634,5
635,3
636,5
637,3
638,2
639,5
640,4
641,2
642,4
643,2
644,3
645,8
647,5
648,5
649,4
650,5
651,3
652,2
653,6
654,1
655,4
656,3
657,3
658,2
659,7
660,2
661,4
662,5
663,3
664,8
665,3
666,5
667,3
668,4
669,4
670,2
671,3
672,4
673,6
674,2
675,1
676,6
677,2
679,3
680,5
681,1
682,3
683,1
684,2
685,2
686,3
687,5
688,3
689,5
690,3
691,2
692,3
693,4
694,1
695,2
696,3
697,3
698,2
699,2
700,5
701,2
702,3
703,2
704,2
705,2
706,2
707,4
708,3
709,3
710,3
711,4
712,2
713,1
714,1
715,8
716,2
717,1
718,6
719,6
720,3
721,2
722,4
723,6
724,2
725,4
726,3
727,3
728,1
729,3
730,2
731,2
733,1
734,2
735,1
736,4
737,3
738,3
740,5
742,2
743,2
744,3
745,4
746,4
747,2
748,1
749,2
750,1
751,2
752,2
753,1
754,2
755,2
756,1
757,2
758,1
759,4
760,2
761,3
762,4
763,1
765,2
766,3
768,4
770,4
771,3
772,3
773,5
774,3
775,1
776,2
777,3
778,4
779,9
780,2
781,2
782,3
783,1
784,3
785,1
786,6
787,5
788,3
789,1
790,2
791,2
792,1
793,4
794,1
795,5
797,3
798,1
799,2
800,3
802,3
803,7
804,2
805,4
806,1
807,2
808,1
810,3
811,4
812,3
813,5
814,8
815,3
816,1
817,2
818,2
819,3
820,6
821,5
822,8
823,4
824,6
825,3
826,10
827,4
828,9
829,7
830,5
831,5
832,6
833,6
834,9
835,8
836,5
837,6
838,8
839,10
840,15
841,9
842,10
843,9
844,8
845,4
846,1
847,5
848,1
849,4
851,4
852,3
853,1
854,1
855,2
856,9
857,3
858,3
859,1
860,3
861,5
862,5
863,3
864,1
865,5
866,2
867,4
868,9
869,7
870,8
871,7
872,6
873,2
874,2
875,3
876,4
877,4
878,6
879,3
880,7
881,4
884,6
885,3
886,5
887,5
888,7
889,6
890,12
891,9
892,11
893,4
894,11
895,14
896,12
897,19
898,13
899,14
900,22
901,17
902,36
903,22
904,11
905,5
906,4
907,2
908,6
909,2
910,3
911,4
912,4
913,2
914,4
915,7
916,8
917,6
918,5
919,6
920,7
921,13
922,7
923,13
924,5
925,13
926,9
927,8
928,8
929,18
930,12
931,9
932,9
933,7
934,6
935,6
936,8
937,6
938,14
939,11
940,8
941,9
942,6
943,7
944,6
945,6
946,13
947,9
948,9
949,10
950,7
951,12
952,7
953,10
954,7
955,14
956,17
957,5
958,9
959,5
960,6
961,7
962,3
963,5
964,1
965,3
966,2
967,8
968,7
969,8
970,7
971,7
972,7
973,7
974,11
975,7
976,9
