GC_content,occurence
29.85,1.0
34.14,1.0
34.76,1.0
35.25,1.0
35.87,1.0
35.89,1.0
35.91,1.0
35.98,1.0
36.05,1.0
36.08,1.0
36.09,1.0
36.26,1.0
36.32,1.0
36.36,2.0
36.43,1.0
36.48,1.0
36.5,1.0
36.52,1.0
36.53,1.0
36.55,2.0
36.59,2.0
36.6,3.0
36.65,3.0
36.67,1.0
36.8,2.0
36.87,3.0
36.88,1.0
36.93,1.0
36.96,1.0
36.98,1.0
37.02,1.0
37.04,1.0
37.07,8.0
37.13,1.0
37.17,1.0
37.23,1.0
37.24,2.0
37.27,2.0
37.32,1.0
37.37,2.0
37.38,1.0
37.39,2.0
37.41,1.0
37.43,1.0
37.5,3.0
37.55,2.0
37.58,1.0
37.61,1.0
37.65,1.0
37.66,3.0
37.67,1.0
37.68,5.0
37.73,1.0
37.74,1.0
37.75,2.0
37.76,1.0
37.78,1.0
37.85,1.0
37.88,2.0
37.89,2.0
37.91,1.0
37.92,1.0
37.95,1.0
37.99,1.0
38.0,2.0
38.01,1.0
38.04,2.0
38.05,3.0
38.07,1.0
38.12,2.0
38.14,1.0
38.15,1.0
38.16,1.0
38.18,1.0
38.19,1.0
38.22,2.0
38.24,2.0
38.28,1.0
38.3,1.0
38.31,2.0
38.32,1.0
38.35,2.0
38.36,1.0
38.39,1.0
38.4,2.0
38.46,1.0
38.5,1.0
38.51,1.0
38.54,5.0
38.56,1.0
38.6,1.0
38.61,1.0
38.66,1.0
38.7,2.0
38.71,1.0
38.79,1.0
38.82,1.0
38.83,1.0
38.84,1.0
38.89,2.0
38.92,2.0
38.93,2.0
38.94,1.0
38.96,2.0
38.97,1.0
39.0,1.0
39.02,3.0
39.03,1.0
39.07,2.0
39.09,2.0
39.1,1.0
39.11,2.0
39.18,1.0
39.2,1.0
39.23,1.0
39.25,1.0
39.34,2.0
39.37,1.0
39.45,1.0
39.46,1.0
39.48,1.0
39.5,1.0
39.55,1.0
39.6,1.0
39.61,2.0
39.66,1.0
39.69,1.0
39.72,1.0
39.75,1.0
39.76,1.0
39.77,1.0
39.83,1.0
39.92,2.0
39.93,1.0
40.0,3.0
40.07,2.0
40.08,1.0
40.1,1.0
40.13,1.0
40.15,2.0
40.16,1.0
40.18,1.0
40.2,1.0
40.21,3.0
40.22,1.0
40.27,1.0
40.28,1.0
40.32,1.0
40.34,1.0
40.37,1.0
40.38,2.0
40.4,1.0
40.42,1.0
40.44,1.0
40.49,1.0
40.52,2.0
40.53,2.0
40.56,1.0
40.57,1.0
40.58,1.0
40.59,1.0
40.6,1.0
