GC_content,mapped,occurence
31.82,0.0,1.0
33.18,0.0,1.0
33.2,0.0,1.0
35.28,0.0,1.0
36.73,0.0,1.0
36.74,0.0,1.0
38.34,1.0,1.0
38.44,0.0,1.0
38.91,0.0,2.0
39.17,0.0,1.0
39.35,0.0,1.0
39.49,0.0,2.0
39.74,0.0,1.0
39.84,0.0,1.0
40.32,0.0,1.0
40.4,0.0,1.0
40.45,0.0,1.0
40.53,0.0,1.0
40.64,0.0,1.0
40.83,0.0,1.0
40.91,0.0,1.0
41.02,0.0,1.0
41.09,0.0,1.0
41.1,0.0,1.0
41.23,0.0,1.0
41.4,0.0,1.0
41.5,0.0,1.0
41.67,0.0,1.0
41.74,0.0,1.0
41.9,1.0,1.0
42.16,0.0,1.0
42.16,1.0,1.0
42.35,0.0,1.0
42.42,0.0,1.0
42.5,0.0,1.0
42.52,0.0,1.0
42.53,0.0,2.0
42.8,0.0,1.0
42.86,0.0,1.0
42.87,1.0,1.0
42.9,1.0,1.0
42.91,0.0,1.0
42.92,0.0,2.0
42.94,0.0,1.0
42.97,0.0,1.0
43.07,0.0,1.0
43.08,0.0,1.0
43.1,1.0,1.0
43.13,0.0,1.0
43.21,0.0,1.0
43.24,0.0,1.0
43.3,0.0,1.0
43.32,0.0,1.0
43.37,0.0,1.0
43.43,0.0,1.0
43.45,0.0,1.0
43.54,1.0,1.0
43.59,0.0,4.0
43.62,0.0,2.0
43.64,1.0,1.0
43.7,1.0,1.0
43.77,0.0,1.0
43.78,0.0,1.0
43.79,0.0,1.0
43.84,0.0,1.0
43.87,1.0,1.0
43.93,0.0,1.0
43.95,0.0,1.0
43.97,0.0,2.0
43.98,0.0,1.0
44.0,0.0,1.0
44.09,0.0,1.0
44.13,0.0,1.0
44.16,0.0,1.0
44.17,1.0,1.0
44.23,0.0,2.0
44.24,0.0,1.0
44.25,0.0,1.0
44.26,0.0,1.0
44.27,0.0,1.0
44.37,0.0,2.0
44.39,0.0,1.0
44.42,1.0,1.0
44.49,1.0,1.0
44.5,0.0,1.0
44.55,0.0,2.0
44.57,0.0,1.0
44.59,0.0,1.0
44.6,0.0,1.0
44.63,0.0,1.0
44.67,0.0,1.0
44.68,0.0,1.0
44.74,0.0,1.0
44.75,0.0,1.0
44.77,0.0,1.0
44.78,0.0,1.0
44.8,1.0,1.0
44.82,0.0,1.0
44.91,0.0,1.0
44.93,0.0,1.0
44.93,1.0,1.0
44.99,1.0,1.0
45.02,0.0,1.0
45.05,0.0,1.0
45.08,0.0,2.0
45.09,0.0,1.0
45.12,0.0,1.0
45.13,0.0,2.0
45.14,0.0,1.0
45.16,0.0,1.0
45.19,0.0,1.0
45.21,0.0,1.0
45.29,0.0,2.0
45.32,0.0,1.0
45.35,0.0,1.0
45.36,0.0,2.0
45.4,0.0,1.0
45.4,1.0,1.0
45.43,1.0,1.0
45.45,0.0,1.0
45.45,1.0,1.0
45.51,0.0,1.0
45.56,1.0,1.0
45.58,1.0,1.0
45.59,1.0,1.0
45.61,0.0,2.0
45.63,0.0,1.0
45.74,0.0,1.0
45.76,1.0,1.0
45.8,1.0,1.0
45.82,1.0,1.0
45.83,0.0,1.0
45.85,0.0,1.0
45.86,1.0,1.0
45.87,0.0,1.0
45.9,0.0,1.0
45.91,0.0,1.0
45.92,0.0,1.0
45.93,0.0,1.0
45.93,1.0,1.0
45.95,1.0,1.0
45.96,0.0,1.0
45.97,0.0,1.0
45.97,1.0,1.0
46.07,0.0,1.0
46.08,0.0,1.0
46.13,1.0,1.0
46.17,0.0,1.0
46.18,0.0,1.0
46.19,1.0,1.0
46.22,0.0,1.0
46.22,1.0,2.0
46.3,0.0,2.0
46.34,0.0,1.0
46.34,1.0,1.0
46.35,0.0,1.0
46.37,0.0,1.0
46.38,1.0,1.0
46.42,1.0,1.0
46.44,0.0,1.0
46.44,1.0,1.0
46.46,0.0,2.0
46.47,1.0,1.0
46.49,0.0,1.0
46.53,0.0,1.0
46.54,1.0,1.0
46.55,0.0,1.0
46.56,0.0,1.0
46.57,1.0,1.0
46.59,0.0,1.0
46.61,0.0,1.0
46.64,0.0,1.0
46.65,0.0,1.0
46.69,0.0,3.0
46.7,0.0,2.0
46.74,0.0,1.0
46.76,0.0,1.0
46.78,0.0,1.0
46.8,0.0,1.0
46.82,0.0,1.0
46.84,0.0,1.0
46.86,0.0,1.0
46.86,1.0,1.0
46.87,0.0,1.0
46.89,1.0,1.0
46.9,0.0,1.0
46.91,0.0,1.0
46.91,1.0,1.0
46.92,0.0,1.0
46.93,0.0,1.0
46.94,0.0,1.0
46.95,0.0,1.0
46.97,0.0,1.0
47.04,0.0,1.0
47.04,1.0,1.0
47.06,0.0,1.0
47.07,1.0,1.0
47.08,0.0,1.0
47.09,0.0,1.0
47.09,1.0,1.0
47.1,1.0,1.0
47.11,0.0,1.0
47.12,0.0,1.0
47.18,0.0,1.0
47.2,0.0,1.0
47.22,0.0,1.0
