GC_content,occurence
31.72,1.0
33.62,1.0
38.83,1.0
39.64,1.0
39.72,1.0
39.81,1.0
40.62,1.0
40.74,1.0
40.83,1.0
40.91,2.0
41.25,2.0
41.33,1.0
41.34,1.0
41.42,1.0
41.52,1.0
41.56,1.0
41.57,1.0
41.61,1.0
41.7,1.0
41.93,1.0
42.2,1.0
42.38,2.0
42.48,1.0
42.68,1.0
42.76,3.0
42.77,1.0
42.95,1.0
43.03,1.0
43.24,1.0
43.25,1.0
43.27,1.0
43.38,1.0
43.4,1.0
43.42,1.0
43.48,1.0
43.5,2.0
43.59,1.0
43.6,3.0
43.64,1.0
43.71,1.0
43.72,1.0
43.79,1.0
43.82,3.0
43.88,1.0
43.94,1.0
43.98,3.0
44.08,1.0
44.12,2.0
44.16,1.0
44.18,1.0
44.23,1.0
44.27,1.0
44.28,1.0
44.31,1.0
44.32,1.0
44.38,2.0
44.39,1.0
44.44,2.0
44.5,2.0
44.51,1.0
44.52,1.0
44.55,2.0
44.57,1.0
44.58,1.0
44.61,2.0
44.63,1.0
44.64,2.0
44.68,1.0
44.71,1.0
44.72,1.0
44.74,2.0
44.75,2.0
44.77,1.0
44.78,1.0
44.81,1.0
44.82,1.0
44.83,2.0
44.84,1.0
44.87,1.0
44.88,1.0
44.89,1.0
45.0,1.0
45.03,2.0
45.06,1.0
45.13,1.0
45.14,3.0
45.15,1.0
45.16,1.0
45.18,3.0
45.21,1.0
45.22,1.0
45.28,2.0
45.29,5.0
45.32,1.0
45.34,1.0
45.35,3.0
45.38,1.0
45.39,1.0
45.4,5.0
45.41,2.0
45.42,2.0
45.45,9.0
45.51,1.0
45.54,1.0
45.56,3.0
45.57,3.0
45.59,1.0
45.6,1.0
45.61,3.0
45.62,1.0
45.63,1.0
45.66,3.0
45.68,1.0
45.7,2.0
45.71,2.0
45.74,1.0
45.75,3.0
45.76,1.0
45.78,1.0
45.81,2.0
45.83,2.0
45.84,1.0
45.86,1.0
45.88,5.0
45.89,1.0
45.93,2.0
45.95,2.0
45.96,5.0
45.98,3.0
46.0,1.0
46.01,1.0
46.02,1.0
46.04,1.0
46.05,2.0
46.06,1.0
46.07,1.0
46.08,1.0
46.09,1.0
46.1,4.0
46.11,12.0
46.15,9.0
46.17,1.0
46.18,1.0
46.19,3.0
46.2,5.0
46.24,8.0
46.25,3.0
46.26,1.0
46.28,2.0
46.29,2.0
46.3,1.0
46.31,3.0
46.32,2.0
46.33,1.0
46.34,4.0
46.35,1.0
46.36,7.0
46.37,1.0
46.39,2.0
46.41,6.0
46.43,2.0
46.45,5.0
46.46,1.0
46.47,2.0
46.5,3.0
46.51,2.0
46.52,2.0
46.53,2.0
46.54,5.0
46.55,2.0
46.56,1.0
46.57,1.0
46.58,4.0
46.59,1.0
46.6,3.0
46.61,1.0
46.62,1.0
46.63,9.0
46.64,1.0
46.67,8.0
46.68,1.0
46.7,3.0
46.71,6.0
46.74,1.0
46.75,7.0
46.77,1.0
46.78,5.0
46.79,4.0
46.8,1.0
46.81,1.0
46.82,7.0
46.84,7.0
46.86,4.0
46.88,7.0
46.89,5.0
46.9,1.0
46.91,5.0
46.92,1.0
46.93,1.0
46.94,1.0
46.95,2.0
46.96,1.0
46.98,5.0
46.99,1.0
47.0,2.0
47.01,3.0
47.02,3.0
47.06,15.0
47.08,3.0
47.09,18.0
47.1,4.0
47.11,1.0
47.13,13.0
47.14,2.0
47.15,1.0
47.16,2.0
47.17,2.0
47.19,4.0
47.2,4.0
47.21,3.0
47.22,1.0
47.24,5.0
47.25,1.0
47.26,7.0
47.27,6.0
47.28,3.0
47.29,3.0
47.3,1.0
47.31,6.0
47.32,5.0
47.33,3.0
47.34,9.0
47.37,17.0
47.38,1.0
47.39,1.0
47.4,27.0
47.41,1.0
47.42,2.0
47.43,7.0
47.44,3.0
47.45,2.0
47.46,6.0
47.47,10.0
47.49,1.0
47.5,5.0
47.51,2.0
47.52,6.0
47.53,5.0
47.55,2.0
47.56,9.0
47.57,3.0
47.58,4.0
47.59,9.0
47.6,5.0
47.62,10.0
47.64,5.0
47.65,12.0
47.67,11.0
47.68,3.0
47.69,4.0
47.7,3.0
47.71,6.0
47.72,2.0
47.73,3.0
47.74,12.0
47.75,1.0
47.76,4.0
47.77,6.0
47.78,7.0
47.79,1.0
47.8,13.0
47.81,2.0
47.83,15.0
47.84,2.0
47.85,7.0
47.86,1.0
47.87,4.0
47.88,4.0
47.9,13.0
47.91,1.0
47.92,1.0
47.93,8.0
47.94,5.0
47.95,9.0
47.96,3.0
47.97,1.0
47.98,12.0
47.99,1.0
48.0,9.0
48.02,9.0
48.03,8.0
48.04,9.0
48.05,8.0
48.06,8.0
48.07,3.0
48.08,9.0
48.09,3.0
48.1,6.0
48.11,2.0
48.12,7.0
48.13,4.0
48.15,13.0
48.17,9.0
48.18,3.0
48.19,11.0
48.2,2.0
48.21,9.0
48.22,1.0
48.23,3.0
48.24,16.0
48.25,2.0
48.26,16.0
48.28,13.0
48.29,10.0
48.3,4.0
48.31,7.0
48.32,2.0
48.33,7.0
48.34,2.0
48.35,4.0
48.36,4.0
48.37,11.0
48.38,2.0
48.39,14.0
48.4,4.0
48.41,8.0
48.42,5.0
48.43,6.0
48.44,5.0
48.45,11.0
48.46,1.0
48.47,12.0
48.48,9.0
48.49,1.0
48.5,15.0
48.51,12.0
48.52,9.0
48.53,7.0
48.54,26.0
48.55,13.0
48.56,6.0
48.57,10.0
48.58,3.0
48.59,3.0
48.6,7.0
48.61,2.0
48.62,7.0
48.63,5.0
48.65,7.0
48.66,6.0
48.67,5.0
48.68,15.0
48.69,4.0
48.7,13.0
48.71,4.0
48.72,11.0
48.73,12.0
48.74,5.0
48.75,14.0
48.76,4.0
48.77,17.0
48.78,16.0
48.79,1.0
48.8,15.0
48.81,12.0
48.82,19.0
48.83,1.0
48.84,27.0
48.85,12.0
48.86,4.0
48.87,1.0
48.88,6.0
48.89,1.0
48.9,10.0
48.91,7.0
48.92,5.0
48.93,2.0
48.94,3.0
48.95,8.0
48.96,10.0
48.97,2.0
48.98,4.0
48.99,7.0
49.0,9.0
49.01,15.0
49.02,21.0
49.03,18.0
49.04,13.0
49.05,1.0
49.06,11.0
49.07,13.0
49.08,8.0
49.09,15.0
49.1,15.0
49.11,19.0
49.12,19.0
49.13,12.0
49.14,10.0
49.15,7.0
49.16,3.0
49.17,6.0
49.18,5.0
49.19,7.0
49.2,7.0
49.21,11.0
49.22,7.0
49.23,6.0
49.24,5.0
49.25,17.0
49.26,11.0
49.27,8.0
49.28,8.0
49.29,2.0
49.31,4.0
49.32,2.0
49.33,6.0
49.34,12.0
49.35,14.0
49.36,10.0
49.37,13.0
49.38,18.0
49.39,5.0
49.4,24.0
49.41,35.0
49.42,22.0
49.43,20.0
49.44,6.0
49.45,9.0
49.46,9.0
49.47,12.0
49.48,10.0
49.49,9.0
49.5,21.0
49.51,16.0
49.52,9.0
49.53,1.0
49.54,2.0
49.55,1.0
49.56,6.0
49.57,4.0
49.58,11.0
49.59,7.0
49.6,4.0
49.61,3.0
49.62,5.0
49.63,3.0
49.64,7.0
49.65,1.0
49.66,1.0
49.67,14.0
49.68,21.0
49.69,22.0
49.7,49.0
49.71,38.0
49.72,5.0
49.73,16.0
49.74,18.0
49.75,31.0
49.76,24.0
49.77,5.0
49.78,8.0
49.79,19.0
49.8,2.0
49.81,2.0
49.82,3.0
49.83,6.0
49.84,7.0
49.85,5.0
49.86,3.0
49.87,2.0
49.88,2.0
49.89,1.0
49.9,2.0
50.0,316.0
50.09,1.0
50.11,1.0
50.13,7.0
50.14,2.0
50.15,1.0
50.16,10.0
50.17,6.0
50.18,6.0
50.19,7.0
50.2,8.0
50.21,20.0
50.22,6.0
50.23,9.0
50.24,11.0
50.25,25.0
50.26,18.0
50.27,8.0
50.28,7.0
50.29,43.0
50.3,52.0
50.31,35.0
50.32,21.0
50.33,15.0
50.34,1.0
50.35,2.0
