seq_score,occurence
46.98,1.0
47.8,1.0
49.08,1.0
49.36,1.0
49.67,1.0
50.15,1.0
50.32,1.0
50.87,1.0
51.58,1.0
51.77,1.0
52.0,1.0
52.09,1.0
52.1,1.0
52.52,1.0
52.8,1.0
52.83,1.0
52.96,1.0
53.47,1.0
53.66,1.0
54.69,1.0
54.72,1.0
54.74,1.0
54.94,1.0
55.06,1.0
55.3,1.0
56.02,1.0
56.32,1.0
56.44,1.0
56.63,1.0
56.71,1.0
56.74,1.0
57.07,1.0
57.23,1.0
57.5,1.0
57.8,1.0
57.82,1.0
57.96,1.0
58.14,1.0
58.2,1.0
58.25,1.0
58.36,1.0
58.47,1.0
58.49,1.0
58.64,1.0
58.74,1.0
58.78,1.0
59.19,1.0
59.4,1.0
59.41,1.0
59.72,1.0
59.86,1.0
59.91,1.0
59.92,1.0
60.04,1.0
60.21,1.0
60.26,1.0
60.45,1.0
60.47,1.0
60.71,1.0
61.43,1.0
61.49,1.0
61.53,1.0
61.61,1.0
61.69,1.0
61.73,1.0
61.76,1.0
61.79,1.0
61.9,1.0
61.95,1.0
61.98,1.0
62.07,1.0
62.22,1.0
62.28,1.0
62.36,1.0
62.37,1.0
62.38,1.0
62.39,1.0
62.46,1.0
62.49,1.0
62.76,1.0
62.94,1.0
63.01,1.0
63.02,1.0
63.09,1.0
63.11,1.0
63.65,1.0
63.94,1.0
63.97,1.0
64.12,1.0
64.19,1.0
64.26,1.0
64.36,1.0
64.4,1.0
64.42,1.0
64.44,1.0
64.51,1.0
64.53,1.0
64.61,1.0
64.68,1.0
64.79,1.0
64.87,1.0
65.23,1.0
65.4,1.0
65.54,1.0
65.59,1.0
65.68,1.0
65.69,2.0
65.73,1.0
65.79,1.0
65.81,1.0
65.99,1.0
66.03,1.0
66.14,1.0
66.29,2.0
66.3,1.0
66.37,1.0
66.41,1.0
66.5,1.0
66.63,1.0
66.68,1.0
66.91,1.0
66.95,1.0
66.98,1.0
66.99,1.0
67.15,1.0
67.21,1.0
67.27,1.0
67.51,1.0
67.56,1.0
67.6,1.0
67.62,1.0
67.63,1.0
67.64,1.0
67.67,1.0
67.68,1.0
67.82,1.0
67.86,1.0
67.89,1.0
67.95,1.0
68.16,1.0
68.18,1.0
68.23,1.0
68.35,1.0
68.41,1.0
68.52,1.0
68.55,1.0
68.57,1.0
68.61,1.0
68.62,1.0
68.64,1.0
68.69,1.0
68.71,1.0
68.78,1.0
68.95,1.0
69.05,1.0
69.19,1.0
69.22,1.0
69.23,1.0
69.35,1.0
69.48,1.0
69.64,1.0
69.66,1.0
69.7,1.0
69.85,1.0
69.9,1.0
69.92,1.0
69.97,1.0
70.01,1.0
70.04,1.0
70.18,1.0
70.2,1.0
70.22,2.0
70.3,1.0
70.31,1.0
70.44,1.0
70.46,1.0
70.55,1.0
70.66,1.0
70.78,1.0
70.86,1.0
70.87,1.0
71.1,1.0
71.28,1.0
71.32,1.0
71.37,1.0
71.38,1.0
71.44,1.0
71.45,1.0
71.5,1.0
71.62,2.0
71.65,1.0
71.76,1.0
71.83,1.0
71.89,1.0
71.92,2.0
72.0,1.0
72.03,1.0
72.04,1.0
72.1,1.0
72.21,1.0
72.23,1.0
72.33,2.0
72.36,1.0
72.44,1.0
72.55,1.0
72.58,1.0
72.6,1.0
72.63,1.0
72.64,1.0
72.67,1.0
72.68,1.0
72.71,1.0
72.93,1.0
72.99,1.0
73.01,1.0
73.03,1.0
73.18,1.0
73.38,1.0
73.44,1.0
73.51,1.0
74.07,1.0
74.14,1.0
74.15,1.0
74.21,1.0
74.71,1.0
74.72,1.0
75.0,1.0
75.04,1.0
75.66,1.0
76.35,1.0
78.95,1.0

