read_length,occurence
150,5
151,1
152,3
153,1
154,1
156,2
157,1
159,1
160,1
162,1
163,2
164,1
165,1
166,1
167,2
168,2
169,1
170,2
171,1
172,2
173,2
174,3
175,1
176,1
177,1
178,2
179,1
180,3
181,1
182,1
183,2
184,1
185,4
186,3
188,2
189,1
190,1
191,2
192,1
193,1
194,7
195,4
196,1
197,1
198,2
199,2
200,1
201,1
202,1
203,3
204,3
205,1
206,1
207,3
208,1
209,2
210,1
211,3
212,1
213,1
214,2
215,1
216,2
217,3
218,2
219,1
220,2
221,2
222,1
223,1
224,3
225,2
226,1
227,1
228,2
230,3
231,2
234,1
235,1
236,2
237,2
238,3
239,2
240,2
241,1
243,1
244,3
245,2
246,2
247,1
248,2
250,2
251,3
252,1
254,2
255,2
256,2
257,3
258,3
259,1
260,1
261,3
262,3
263,1
264,4
265,1
266,2
267,1
268,2
270,2
271,1
272,1
273,2
274,2
275,3
276,2
277,11
279,1
281,1
283,1
287,2
288,1
290,4
291,1
292,3
293,4
294,3
295,3
296,1
297,1
298,1
299,2
300,1
301,1
302,3
305,1
306,1
309,4
312,3
313,2
314,1
315,2
316,2
317,1
318,3
319,3
321,1
323,1
324,3
325,1
328,1
329,4
330,1
331,1
332,1
335,1
337,1
339,2
340,1
343,1
344,2
345,1
346,2
347,2
348,1
349,1
351,2
352,2
353,1
355,1
358,1
359,1
360,2
361,2
362,3
363,2
364,2
365,1
366,1
368,4
370,1
371,1
373,1
375,2
376,1
378,1
379,3
381,2
382,1
383,2
384,2
385,2
386,3
387,1
389,1
390,1
392,2
394,3
395,1
396,1
397,1
398,2
401,1
402,4
403,1
405,1
406,1
407,1
408,1
409,1
412,2
417,2
422,1
423,1
425,3
426,3
427,1
428,1
429,1
430,2
431,1
434,1
436,1
437,2
439,2
440,3
441,2
444,2
446,2
449,1
451,4
452,1
453,2
454,1
457,1
459,1
463,1
464,3
465,1
467,1
468,1
470,1
473,1
474,2
476,1
479,1
480,1
484,3
486,3
487,1
488,1
489,1
491,1
493,1
494,3
497,2
501,2
503,1
506,2
507,3
508,1
509,1
511,1
513,1
514,3
515,2
517,1
518,2
520,1
523,2
524,1
526,1
527,1
530,2
537,1
540,1
542,1
543,1
544,1
545,1
546,3
547,1
549,1
552,1
555,2
556,1
557,1
560,3
561,2
564,1
565,3
566,1
567,2
568,2
569,1
576,1
577,2
579,1
582,1
583,1
584,3
585,2
586,1
590,3
592,1
595,2
596,1
597,3
599,1
602,1
604,1
605,1
607,1
608,1
609,2
616,1
623,2
624,2
625,2
626,1
628,1
629,1
630,1
631,1
634,1
635,1
638,1
642,1
643,1
647,1
648,1
652,2
654,1
658,1
659,2
660,1
661,1
664,1
665,3
668,2
669,2
670,1
671,1
673,1
675,2
677,1
678,2
681,1
684,1
685,1
687,1
689,1
690,2
691,1
693,1
696,1
706,2
707,1
712,1
715,1
716,1
720,1
721,3
723,1
724,3
726,1
727,1
730,1
731,1
732,3
733,1
735,1
737,1
739,2
747,1
757,1
763,1
766,2
768,2
771,1
773,2
775,2
776,1
778,1
779,1
780,1
783,1
789,1
791,1
792,1
793,1
795,2
799,2
800,1
815,1
816,1
819,2
822,2
827,1
828,1
831,1
836,1
837,1
840,1
847,1
856,1
857,1
859,1
865,1
866,1
876,1
880,1
881,1
883,1
886,1
888,1
891,1
892,1
893,1
896,1
897,1
903,1
906,1
910,1
913,1
916,1
921,2
923,1
924,1
925,1
929,1
930,2
934,2
935,1
936,1
937,2
938,2
939,2
940,2
941,1
942,3
943,2
944,1
946,1
947,1
952,1
953,1
960,1
967,1
968,1
969,1
973,1
976,2
978,1
979,1
981,1
982,1
990,1
994,1
995,1
1003,1
1007,1
1013,1
1016,1
1019,2
1027,1
1030,1
1032,1
1045,1
1048,1
1061,1
1064,1
1066,1
1069,1
1071,1
1073,1
1076,1
1077,1
1085,1
1088,1
1099,1
1101,1
1104,1
1105,1
1109,1
1119,1
1120,1
1123,1
1126,2
1127,1
1130,1
1136,1
1137,1
1138,1
1152,1
1165,1
1173,1
1177,1
1186,1
1200,1

