GC_content,occurence
35.58,1.0
37.71,1.0
37.8,1.0
38.32,1.0
39.43,1.0
39.77,1.0
40.66,1.0
40.77,1.0
40.83,1.0
40.88,1.0
41.06,1.0
41.22,1.0
41.25,1.0
41.38,1.0
41.41,1.0
41.48,1.0
41.82,1.0
41.87,1.0
41.92,1.0
42.0,1.0
42.01,1.0
42.26,1.0
42.41,2.0
42.42,1.0
42.45,1.0
42.86,2.0
42.94,1.0
43.07,1.0
43.12,1.0
43.14,1.0
43.26,1.0
43.34,1.0
43.42,1.0
43.43,1.0
43.48,1.0
43.58,1.0
43.64,1.0
43.71,1.0
43.73,1.0
43.75,1.0
43.78,1.0
43.87,1.0
43.89,1.0
43.93,1.0
43.95,2.0
43.97,1.0
44.0,1.0
44.03,1.0
44.08,3.0
44.11,1.0
44.12,3.0
44.13,1.0
44.16,1.0
44.19,1.0
44.2,1.0
44.25,1.0
44.27,1.0
44.3,1.0
44.32,1.0
44.37,1.0
44.38,1.0
44.42,1.0
44.44,1.0
44.5,2.0
44.53,1.0
44.59,3.0
44.62,1.0
44.65,3.0
44.67,3.0
44.68,2.0
44.7,1.0
44.71,1.0
44.74,1.0
44.77,2.0
44.81,2.0
44.83,3.0
44.85,1.0
44.9,1.0
44.94,3.0
44.97,1.0
44.98,1.0
45.0,1.0
45.02,1.0
45.03,2.0
45.06,1.0
45.08,1.0
45.1,2.0
45.13,2.0
45.14,3.0
45.16,2.0
45.18,1.0
45.2,2.0
45.22,1.0
45.24,3.0
45.25,1.0
45.26,1.0
45.28,1.0
45.29,1.0
45.3,1.0
45.33,2.0
45.34,2.0
45.35,1.0
45.36,2.0
45.39,3.0
45.4,2.0
45.41,1.0
45.45,4.0
45.49,1.0
45.51,1.0
45.54,3.0
45.56,4.0
45.61,2.0
45.62,1.0
45.63,1.0
45.66,1.0
45.67,1.0
45.7,1.0
45.71,2.0
45.73,1.0
45.74,1.0
45.76,1.0
45.78,1.0
45.81,4.0
45.83,3.0
45.85,1.0
45.86,1.0
45.87,1.0
45.88,2.0
45.9,1.0
45.91,1.0
45.92,1.0
45.93,2.0
45.95,1.0
45.96,3.0
45.97,1.0
45.98,1.0
46.0,2.0
46.02,3.0
46.03,3.0
46.05,1.0
46.06,2.0
46.07,2.0
46.1,1.0
46.11,2.0
46.12,1.0
46.14,1.0
46.15,2.0
46.2,5.0
46.22,1.0
46.23,1.0
46.24,4.0
46.25,2.0
46.26,1.0
46.27,2.0
46.29,4.0
46.31,3.0
46.32,2.0
