seq_score,occurence
41.15,1.0
42.81,1.0
43.21,1.0
43.8,1.0
44.12,1.0
44.98,1.0
46.15,1.0
46.66,1.0
47.39,1.0
47.62,1.0
47.65,1.0
47.75,1.0
47.98,1.0
48.2,1.0
48.46,1.0
48.5,1.0
48.69,1.0
48.9,1.0
48.93,1.0
49.09,1.0
49.23,1.0
49.27,1.0
49.5,1.0
49.52,1.0
49.71,1.0
50.02,1.0
50.09,1.0
50.26,1.0
50.28,1.0
50.31,1.0
50.32,1.0
50.38,1.0
50.42,1.0
50.48,1.0
50.52,2.0
50.7,1.0
50.87,1.0
51.17,2.0
51.23,1.0
51.27,1.0
51.37,1.0
51.97,1.0
52.04,1.0
52.06,2.0
52.28,1.0
52.35,2.0
52.42,2.0
52.48,1.0
52.53,1.0
52.56,2.0
52.7,1.0
52.73,1.0
52.94,1.0
53.01,1.0
53.13,1.0
53.34,1.0
53.43,1.0
53.54,1.0
53.68,1.0
53.69,1.0
53.74,1.0
53.83,1.0
53.87,1.0
53.98,1.0
54.04,1.0
54.13,1.0
54.18,1.0
54.46,1.0
54.49,2.0
54.63,1.0
54.69,1.0
54.72,1.0
54.83,1.0
55.03,1.0
55.04,1.0
55.07,1.0
55.12,1.0
55.18,1.0
55.31,1.0
55.4,1.0
55.48,1.0
55.5,2.0
55.66,2.0
55.67,1.0
55.68,1.0
55.69,1.0
55.7,1.0
55.82,1.0
55.83,1.0
55.99,1.0
56.31,1.0
56.36,1.0
56.4,1.0
56.43,1.0
56.44,1.0
56.47,1.0
56.55,1.0
56.56,1.0
56.74,1.0
56.77,1.0
56.83,1.0
56.84,1.0
56.9,1.0
56.99,1.0
57.05,1.0
57.11,1.0
57.22,1.0
57.23,1.0
57.27,1.0
57.29,1.0
57.33,1.0
57.37,1.0
57.38,2.0
57.4,1.0
57.41,1.0
57.43,1.0
57.48,1.0
57.49,1.0
57.53,1.0
57.55,1.0
57.58,1.0
57.62,1.0
57.64,1.0
57.68,1.0
57.7,1.0
57.72,1.0
57.73,2.0
57.79,1.0
57.81,1.0
57.91,1.0
57.96,1.0
58.03,1.0
58.05,1.0
58.08,1.0
58.11,1.0
58.17,1.0
58.19,1.0
58.2,1.0
58.24,1.0
58.25,1.0
58.33,2.0
58.41,1.0
58.46,1.0
58.5,1.0
58.53,1.0
58.55,2.0
58.56,1.0
58.57,1.0
58.59,1.0
58.61,1.0
58.64,1.0
58.71,1.0
58.77,1.0
58.82,1.0
58.83,1.0
58.85,1.0
58.91,2.0
58.94,1.0
59.01,1.0
59.05,1.0
59.06,1.0
59.13,1.0
59.15,1.0
59.19,1.0
59.2,1.0
59.25,2.0
59.27,2.0
59.32,1.0
59.36,1.0
59.38,2.0
59.39,1.0
59.41,1.0
59.44,1.0
59.55,2.0
59.6,1.0
59.61,1.0
59.63,1.0
59.65,1.0
59.69,1.0
59.72,1.0
59.76,1.0
59.78,1.0
59.8,1.0
59.83,1.0
59.88,1.0
59.94,2.0
59.95,1.0
59.96,1.0
59.98,1.0
59.99,1.0
60.0,1.0
60.02,1.0
60.05,1.0
60.07,1.0
60.09,1.0
60.1,1.0
60.11,2.0
60.14,2.0
60.18,1.0
60.2,1.0
60.21,1.0
60.26,2.0
60.28,2.0
60.29,2.0
60.32,1.0
60.37,1.0
60.4,1.0
60.41,1.0
60.42,2.0
60.43,1.0
60.44,1.0
60.46,3.0
60.47,3.0
60.49,1.0
60.5,2.0
60.52,2.0
60.57,2.0
60.65,1.0
60.66,1.0
60.67,4.0
60.71,1.0
60.73,2.0
60.74,2.0
60.75,1.0
60.76,1.0
60.77,1.0
60.79,1.0
60.83,2.0
60.84,1.0
60.86,1.0
60.88,1.0
60.89,2.0
60.92,1.0
60.93,2.0
60.94,1.0
60.95,2.0
60.97,2.0
60.98,1.0
61.02,3.0
61.03,1.0
61.04,2.0
61.06,1.0
61.09,2.0
61.12,1.0
61.13,1.0
61.15,3.0
61.16,2.0
61.17,1.0
61.19,1.0
61.22,1.0
61.23,3.0
61.25,1.0
61.26,1.0
61.27,2.0
61.3,2.0
61.31,1.0
61.32,1.0
61.33,1.0
61.36,1.0
61.37,1.0
61.4,1.0
61.46,1.0
61.47,3.0
61.48,1.0
61.49,1.0
61.5,1.0
61.51,1.0
61.53,2.0
61.54,1.0
61.55,1.0
61.56,1.0
61.59,3.0
61.6,1.0
61.61,1.0
61.64,1.0
61.66,1.0
61.68,2.0
61.69,1.0
61.7,1.0
61.71,1.0
61.72,1.0
61.74,1.0
61.76,1.0
61.77,2.0
61.78,1.0
61.79,1.0
61.8,1.0
61.82,1.0
61.85,1.0
61.88,2.0
61.91,2.0
61.93,1.0
61.94,2.0
61.95,1.0
61.97,1.0
61.98,1.0
62.0,2.0
62.02,1.0
62.03,2.0
62.04,1.0
62.05,1.0
62.06,1.0
62.07,1.0
62.08,1.0
62.1,2.0
62.14,1.0
62.15,1.0
62.19,2.0
62.2,2.0
62.22,1.0
62.23,1.0
62.24,1.0
62.25,1.0
62.28,1.0
62.29,1.0
62.3,1.0
62.31,2.0
62.32,2.0
62.34,2.0
62.37,1.0
62.38,2.0
62.4,1.0
62.41,1.0
62.42,1.0
62.43,1.0
62.44,2.0
62.45,3.0
62.46,1.0
62.47,3.0
62.48,1.0
62.5,1.0
62.51,2.0
62.52,1.0
62.54,1.0
62.57,2.0
62.59,1.0
62.6,1.0
62.63,1.0
62.64,3.0
62.65,2.0
62.66,1.0
62.67,2.0
62.7,1.0
62.71,1.0
62.73,2.0
62.77,1.0
62.78,2.0
62.79,1.0
62.8,1.0
62.81,1.0
62.82,1.0
62.83,2.0
62.84,1.0
62.85,2.0
62.86,2.0
62.88,2.0
62.89,3.0
62.93,1.0
62.94,1.0
62.95,1.0
62.96,1.0
62.97,4.0
62.99,1.0
63.03,1.0
63.04,1.0
63.05,2.0
63.06,1.0
63.07,1.0
63.08,1.0
63.09,4.0
63.1,2.0
63.13,3.0
63.15,2.0
63.16,3.0
63.18,1.0
63.19,1.0
63.2,1.0
63.21,4.0
63.22,1.0
63.23,1.0
63.25,4.0
63.29,2.0
63.3,1.0
63.31,3.0
63.32,6.0
63.33,3.0
63.34,1.0
63.35,2.0
63.37,2.0
63.38,5.0
63.39,1.0
63.4,2.0
63.42,3.0
63.43,1.0
63.44,1.0
63.48,1.0
63.49,1.0
63.5,2.0
63.51,1.0
63.54,4.0
63.55,1.0
63.56,2.0
63.57,1.0
63.58,1.0
63.59,3.0
63.61,1.0
63.62,3.0
63.63,1.0
63.64,2.0
63.65,1.0
63.66,3.0
63.67,2.0
63.68,2.0
63.69,2.0
63.7,1.0
63.71,1.0
63.72,2.0
63.73,1.0
63.74,1.0
63.75,1.0
63.76,1.0
63.77,2.0
63.78,1.0
63.79,2.0
63.82,1.0
63.83,1.0
63.86,1.0
63.87,2.0
63.9,2.0
63.91,2.0
63.92,1.0
63.95,1.0
63.96,3.0
63.97,1.0
63.99,1.0
64.0,1.0
64.01,2.0
64.02,2.0
64.04,4.0
64.05,1.0
64.06,3.0
64.07,3.0
64.08,1.0
64.1,1.0
64.11,1.0
64.12,1.0
64.14,3.0
64.15,2.0
64.18,3.0
64.19,1.0
64.21,1.0
64.22,6.0
64.23,1.0
64.24,3.0
64.26,1.0
64.27,4.0
64.28,3.0
64.29,1.0
64.3,1.0
64.32,4.0
64.34,1.0
64.37,1.0
64.38,3.0
64.39,1.0
64.42,2.0
64.43,1.0
64.45,2.0
64.46,4.0
64.47,1.0
64.49,2.0
64.51,2.0
64.52,1.0
64.54,1.0
64.55,1.0
64.56,2.0
64.57,1.0
64.58,5.0
64.59,2.0
64.6,1.0
64.61,2.0
64.62,1.0
64.65,1.0
64.66,1.0
64.67,1.0
64.69,1.0
64.7,2.0
64.71,3.0
64.72,1.0
64.77,1.0
64.78,2.0
64.8,2.0
64.81,2.0
64.82,4.0
64.84,2.0
64.85,3.0
64.88,1.0
64.89,2.0
64.92,1.0
64.93,2.0
64.94,2.0
64.95,4.0
64.97,1.0
64.99,2.0
65.01,1.0
65.03,1.0
65.04,3.0
65.05,1.0
65.06,4.0
65.07,2.0
65.08,2.0
65.09,2.0
65.11,3.0
65.13,1.0
65.14,2.0
65.15,1.0
65.16,3.0
65.17,2.0
65.18,2.0
65.19,3.0
65.2,1.0
65.21,1.0
65.22,2.0
65.23,2.0
65.25,3.0
65.26,2.0
65.27,1.0
65.28,1.0
65.29,2.0
65.3,3.0
65.31,3.0
65.32,3.0
65.33,1.0
65.35,3.0
65.36,1.0
65.37,2.0
65.38,1.0
65.39,1.0
65.4,1.0
65.41,2.0
65.42,3.0
65.43,2.0
65.44,3.0
65.45,1.0
65.46,1.0
65.47,2.0
65.49,1.0
65.51,1.0
65.52,1.0
65.53,2.0
65.54,1.0
65.55,1.0
65.56,1.0
65.57,4.0
65.59,2.0
65.6,1.0
65.63,2.0
65.66,1.0
65.67,2.0
65.68,1.0
65.7,1.0
65.71,1.0
65.72,2.0
65.73,1.0
65.74,2.0
65.75,1.0
65.77,2.0
65.78,2.0
65.79,1.0
65.8,2.0
65.82,2.0
65.83,1.0
65.84,1.0
65.85,1.0
65.87,1.0
65.88,3.0
65.9,2.0
65.91,1.0
65.92,2.0
65.93,2.0
65.94,2.0
65.95,1.0
65.96,5.0
65.97,2.0
65.98,1.0
65.99,3.0
66.0,2.0
66.01,3.0
66.02,2.0
66.03,4.0
66.04,2.0
66.07,3.0
66.08,2.0
66.09,1.0
66.12,2.0
66.14,1.0
66.15,2.0
66.16,6.0
66.17,5.0
66.18,2.0
66.19,1.0
66.2,2.0
66.21,5.0
66.22,2.0
66.23,1.0
66.24,1.0
66.25,3.0
66.26,1.0
66.29,3.0
66.3,3.0
66.31,2.0
66.32,3.0
66.33,1.0
66.35,3.0
66.36,1.0
66.37,3.0
66.38,6.0
66.39,1.0
66.41,2.0
66.44,2.0
66.46,3.0
66.47,2.0
66.48,1.0
66.49,1.0
66.5,3.0
66.51,3.0
66.53,1.0
66.54,3.0
66.55,6.0
66.56,1.0
66.57,1.0
66.6,2.0
66.61,3.0
66.62,2.0
66.63,3.0
66.65,1.0
66.66,2.0
66.67,1.0
66.68,1.0
66.69,2.0
66.7,2.0
66.71,3.0
66.72,1.0
66.73,3.0
66.74,1.0
66.75,4.0
66.76,2.0
66.77,3.0
66.78,2.0
66.8,1.0
66.81,1.0
