GC_content,occurence
14.29,1.0
23.5,1.0
24.5,1.0
24.62,1.0
26.08,1.0
26.19,1.0
26.29,1.0
26.36,1.0
26.65,1.0
27.3,1.0
27.31,1.0
27.6,1.0
27.63,1.0
27.66,1.0
27.67,1.0
27.69,1.0
27.72,1.0
27.73,1.0
27.76,2.0
27.8,1.0
27.81,1.0
27.83,1.0
27.84,1.0
27.85,1.0
27.88,1.0
27.94,1.0
27.96,2.0
28.0,1.0
28.02,2.0
28.09,1.0
28.27,1.0
28.4,1.0
28.64,2.0
28.73,1.0
28.78,1.0
28.81,1.0
28.83,1.0
29.01,1.0
29.13,1.0
29.25,1.0
29.32,1.0
29.34,1.0
29.37,1.0
29.4,1.0
29.43,1.0
29.47,2.0
29.54,1.0
29.61,3.0
29.62,1.0
29.63,2.0
29.68,1.0
29.69,1.0
29.73,1.0
29.77,1.0
29.83,1.0
29.84,1.0
29.96,1.0
30.05,1.0
30.08,1.0
30.1,1.0
30.12,1.0
30.13,1.0
30.16,1.0
30.19,2.0
30.2,2.0
30.21,1.0
30.23,1.0
30.25,2.0
30.26,1.0
30.31,1.0
30.37,1.0
30.42,1.0
30.45,1.0
30.5,1.0
30.51,2.0
30.52,1.0
30.54,1.0
30.63,1.0
30.67,1.0
30.72,1.0
30.85,1.0
30.9,1.0
30.92,1.0
30.94,1.0
30.99,1.0
31.0,1.0
31.07,2.0
31.08,1.0
31.09,1.0
31.21,1.0
31.3,1.0
31.34,1.0
31.35,3.0
31.36,1.0
31.38,2.0
31.39,1.0
31.41,1.0
31.42,1.0
31.45,2.0
31.48,1.0
31.49,2.0
31.5,2.0
31.52,1.0
31.55,1.0
31.56,1.0
31.57,1.0
31.61,2.0
31.62,1.0
31.63,3.0
31.68,1.0
31.69,1.0
31.73,1.0
31.76,1.0
31.83,2.0
31.87,1.0
31.88,1.0
31.93,1.0
31.94,1.0
31.96,1.0
32.01,1.0
32.04,1.0
32.05,1.0
32.06,1.0
32.08,1.0
32.12,1.0
32.14,1.0
32.17,1.0
32.19,1.0
32.27,1.0
32.3,1.0
32.38,1.0
32.39,1.0
32.42,1.0
32.43,2.0
32.49,1.0
32.5,1.0
32.51,1.0
32.54,1.0
32.6,1.0
32.63,1.0
32.64,1.0
32.65,1.0
32.67,1.0
32.72,1.0
32.76,1.0
32.87,1.0
32.9,1.0
32.92,1.0
32.93,1.0
32.95,1.0
33.01,1.0
33.02,1.0
33.03,1.0
33.06,1.0
33.09,4.0
33.1,1.0
33.12,1.0
33.14,1.0
33.15,1.0
33.17,2.0
33.18,1.0
33.2,1.0
33.23,1.0
33.27,1.0
33.29,1.0
33.33,4.0
33.4,1.0
33.41,1.0
33.42,1.0
33.44,1.0
33.46,3.0
33.48,1.0
33.53,3.0
33.54,1.0
33.55,2.0
33.57,1.0
33.58,1.0
33.65,1.0
33.68,1.0
33.72,1.0
33.73,1.0
33.74,1.0
33.79,1.0
33.8,1.0
33.81,1.0
33.82,2.0
33.88,1.0
33.89,1.0
33.95,1.0
33.98,1.0
34.02,1.0
34.03,1.0
34.08,1.0
34.1,1.0
34.12,1.0
34.14,1.0
34.21,2.0
34.26,5.0
34.27,2.0
34.29,1.0
34.31,2.0
34.32,1.0
34.33,2.0
34.35,2.0
34.37,3.0
34.38,1.0
34.39,2.0
34.4,2.0
34.42,2.0
34.43,1.0
34.52,1.0
34.54,2.0
34.55,1.0
34.58,1.0
34.59,1.0
34.6,2.0
34.62,2.0
34.63,1.0
34.66,10.0
34.7,1.0
34.72,1.0
34.75,2.0
34.76,2.0
34.77,2.0
34.78,1.0
34.79,1.0
34.82,1.0
34.84,1.0
34.85,2.0
34.87,4.0
34.9,1.0
34.92,1.0
34.93,1.0
34.94,1.0
34.97,1.0
35.0,6.0
35.02,1.0
35.03,1.0
35.04,1.0
35.06,4.0
35.07,1.0
35.08,1.0
35.09,1.0
35.14,1.0
35.17,1.0
35.18,1.0
35.23,1.0
35.25,2.0
35.27,2.0
35.29,1.0
35.3,1.0
35.31,1.0
35.32,1.0
35.36,1.0
35.38,1.0
35.39,1.0
35.4,2.0
35.45,1.0
35.48,1.0
35.5,1.0
35.51,1.0
35.52,1.0
35.54,1.0
35.55,2.0
35.57,2.0
35.59,2.0
35.62,1.0
35.63,1.0
35.66,2.0
35.67,2.0
35.7,1.0
35.76,1.0
35.77,1.0
35.79,2.0
35.84,1.0
35.85,1.0
35.86,2.0
35.87,3.0
35.91,2.0
35.93,1.0
35.94,1.0
35.98,1.0
35.99,2.0
36.0,1.0
36.02,1.0
36.04,1.0
36.05,2.0
36.07,2.0
36.11,2.0
36.14,1.0
36.16,2.0
36.2,1.0
36.23,2.0
36.25,1.0
36.26,1.0
36.27,1.0
36.29,1.0
36.32,1.0
36.33,1.0
36.36,3.0
36.38,1.0
36.39,2.0
36.4,1.0
36.41,1.0
36.42,4.0
36.45,2.0
36.46,1.0
36.47,2.0
36.48,1.0
36.49,1.0
36.51,1.0
36.53,2.0
36.54,1.0
36.56,1.0
36.59,2.0
36.6,2.0
36.61,2.0
36.63,2.0
36.64,1.0
36.69,1.0
36.7,2.0
36.73,3.0
36.74,1.0
36.76,3.0
36.79,3.0
36.8,2.0
36.82,1.0
36.83,4.0
36.84,2.0
36.85,1.0
36.86,2.0
36.87,2.0
36.9,1.0
36.91,1.0
36.92,1.0
36.93,2.0
36.95,1.0
36.96,1.0
36.97,3.0
36.99,2.0
37.0,1.0
37.01,2.0
