Read_ID	Length	GC_content	Avg_Quality	Mapping_Quality
4d3318dd-328b-4cb0-bec4-40f6667fc4aa	423	47.52	7.12	50
fbb1520c-e695-4548-936b-a711bbc96a31	679	50.52	16.18	23
065241b4-0818-4f8e-aa38-015dd90d7f42	383	49.35	11.20	1
d5bbb11c-da5f-4f84-91e3-0f24c7e99282	846	47.99	12.13	60
caa6b663-c62a-4743-a33a-362366638d78	513	50.10	12.44	4
0f507b51-4cd6-4fe3-8f13-6b516cab63f5	945	48.04	12.39	60
f40018ac-c7b9-4515-b5c2-4a96423a4803	86	50.00	18.33	4
4cd7e7b1-8de8-4988-84e2-3e7fb44b1c5e	87	50.57	8.22	4
c8f63774-7cb9-478a-adc5-abb5a8454eae	108	46.30	2.43	4
673fc1a3-6ba4-42f9-89af-6d9547070fa3	169	49.70	12.49	4
4d3318dd-328b-4cb0-bec4-40f6667fc4aa	138	47.10	7.70	4
705c103f-7d37-4e1a-b1c8-a6b5a3322f5e	264	50.38	5.43	50
219952e4-37c4-4f63-a355-75734476248c	1073	46.69	4.42	60
5ebfba06-6340-414e-96e7-c08138f7d864	465	48.39	11.17	50
b5b5999b-3428-4d26-a63a-0f394ff01983	578	45.85	10.28	60
d2a87641-d38f-41ee-a78c-2546c7ca5279	690	47.54	11.51	60
126cbb91-aaf1-4444-800a-17225b518625	113	46.02	10.53	25
756e57fc-4966-4f02-8efa-b803eda90ec3	323	47.37	11.90	4
0c558a94-f0b6-4be2-9210-27d19e68ddeb	998	48.90	9.82	4
d6427e00-0e67-4270-a4bb-c67376e66fb2	156	45.51	2.59	26
287d7f6c-38fb-4b84-a3be-3627af12431a	191	47.64	14.19	25
494bd10d-da7e-426d-bc63-9a0dab11dc4d	866	49.54	6.70	60
3175bb3e-a40d-4113-9ecf-ad93d9c90c9d	782	55.37	10.71	4
4d4fe99e-9f31-41cc-9f38-b344d79fd56a	464	48.28	3.27	4
6db94726-d5cb-4d84-9d55-73c0267fb188	517	48.74	12.53	50
4b8e2cc9-edbb-49bd-8c03-780f96b9906f	267	48.31	3.67	23
b8a1b18c-2972-4058-b849-0e5f41f2737f	1092	46.34	16.05	60
8b923752-7891-4679-8a1a-b67f8d452178	157	45.22	17.71	13
fef1ac39-0d19-4563-9423-97b004450fc5	248	46.77	12.22	26
e3aa1219-45f9-4951-ade2-7cd992f39488	218	54.13	8.58	4
8864908f-0761-4b84-87fa-b4daf73bd804	435	49.89	10.27	4
21800bd2-f412-4532-a955-6405cf696134	152	48.68	14.08	4
3f7793c3-c7af-4bdc-8868-985425659681	232	46.98	9.78	27
1d86982d-3efc-4033-8bf7-b616ac3c0c10	619	47.17	12.36	4
9dec90df-1679-410f-a5cf-087ba92c387d	156	44.87	12.80	4
2db2a4cf-3681-4947-9453-ec15f0348cd3	748	47.06	5.74	60
8ec47920-c1b9-4f8d-9cef-95e2cf236fb1	592	46.45	12.34	60
7a3b1256-a861-4add-bc33-db9e03815272	108	46.30	8.39	4
93cf01bd-7de2-4c8b-bf5c-f917db024ddf	257	47.47	8.17	50
2ea9c1a5-24f3-452e-9d29-7e7fb4e16207	156	44.23	9.56	4
