Read_ID	Length	GC_content	Avg_Quality	Mapping_Quality
483943a5-db77-414c-a4b1-26c7b51bb57a	917	42.09	12.76	4
0ea3a926-f5ce-47b8-9e9e-60d654f862c6	368	47.01	12.21	60
4d4639be-b28d-4fc8-80ba-573abd1dbe4a	753	48.21	8.87	60
44a62d25-dbcc-4e2c-9c30-769d6bda559b	115	46.96	8.70	60
4ad32b5e-df95-4db8-93b0-a7b285f9b642	115	48.70	12.04	34
0da6f3f7-308b-44b9-9f97-0f61e6ea4560	476	49.58	8.86	60
7b1425c9-5945-4192-ae97-e27b3a8c915b	462	52.38	2.81	44
c1994b95-2d59-4bab-b733-5b727c475481	115	47.83	9.64	60
70a0a214-3ead-4d94-b118-d6f5a04ef3da	287	47.74	11.47	60
1200b3c4-8036-41b9-b6e1-0ffbc182e620	118	47.46	13.21	60
82b9404c-c813-4f88-b105-e3fa28f70136	467	46.68	11.47	60
5afc9a95-feb8-4650-87cb-a7888a29980d	222	55.41	15.24	4
86b74eda-a955-4dbf-ab66-9ced4feb0d54	644	47.36	11.57	60
c10f6d61-dc81-4bc7-af8b-cc6a0d9d6409	118	47.46	11.72	60
545dfb08-28b3-4499-b936-69f0a47e0a1c	279	47.67	12.20	60
ed8dde1b-21be-4954-a601-69f0e0446af6	117	47.01	11.44	60
6cf13e69-cee1-4ea9-929b-7d752e7e985e	410	50.49	11.93	60
b19eb084-bff3-425a-a4da-da7939408ca3	1091	47.57	12.64	60
ef0f47d7-d094-457e-bdb8-e9aaae2f482d	924	50.87	12.27	60
ba2409bb-f324-4c13-9dc7-84c4f73b86c1	495	51.11	14.08	60
551fd76c-f589-4532-ad74-6a102503c04d	563	44.23	9.64	60
8b6d3cb5-e361-42ea-b8e0-b3a25fd9b27f	245	48.98	13.07	60
c739ca9d-387a-4dc6-a3cb-4540a84c24f2	116	46.55	25.37	60
c0514182-9696-4313-ac69-062b86229ce4	115	47.83	6.09	60
9ed7399d-5440-4ead-8863-74ce2308f6ef	118	47.46	9.36	60
d2d4dadb-d360-40d1-b817-99c54dee539c	816	49.63	13.42	60
8daaa824-aa48-4f54-b4ca-815be60ee405	118	47.46	9.03	60
11e93b4e-ee35-4fd1-b980-0a1f0b3e8b47	115	47.83	8.35	60
5a6cb77c-512f-49c3-9f7a-2200168ef692	967	43.54	12.60	60
78b9016b-eadc-42b3-99f2-737435019c55	248	50.40	11.90	60
77aef275-dc08-4c47-a687-ffb057af54c9	600	47.83	11.97	60
af9bb32c-adda-4b5c-854a-17447bba300e	367	47.96	10.21	60
0c9b3688-79b9-4e5a-9cc7-9d34c5437477	250	49.20	8.74	60
1a0efff1-f620-466f-add8-b618fbcaebea	118	47.46	13.67	60
38ca1727-d6f4-4117-adc4-a7e6ea78be79	1149	48.48	12.22	45
780f1244-17de-49a0-aa5a-29608878c97c	279	47.31	11.58	60
10debdd4-79df-46a7-90e4-6f7f18434ad8	118	47.46	11.77	60
6a676c56-1a17-434d-91aa-bfd83d163e28	279	47.67	10.97	60
c0144d15-8241-45f9-b1c9-4453572b1db1	318	47.17	18.20	60
b6ce8938-2e37-4de5-984f-7803ef49bda8	115	47.83	11.73	60
4dc4644c-c9b8-404f-b6c3-f689601b67c6	115	47.83	13.27	60
4d5464d6-77ad-43b4-84fb-62f337df3d4e	742	50.13	11.66	44
ddd8596b-57e6-44e1-802a-03c41053e789	529	49.72	12.25	60
281ec39c-46ae-46f0-986f-d6db61eed813	278	47.48	10.81	60
dab25a0b-568c-42b6-ab79-2aefd29379b2	114	50.00	12.84	60
ec2c2ec2-029d-4556-a8aa-2dfe687cbee4	255	49.80	7.40	60
69f42564-1a95-44f2-bc00-de595678c283	279	47.67	10.59	60
541b6dd3-f3c4-4781-b576-91d09f76f72c	276	46.74	12.59	60
8ba27606-4d24-458e-be0b-9fdc69a0071b	121	47.11	8.72	60
91d5c841-f96f-45e0-a797-26e4784116b7	648	53.24	8.02	60
a7d33fba-97cb-4be6-a588-aab619c437ee	247	48.58	13.24	60
fa4583be-922e-44eb-baa8-bf49f763d1f4	118	47.46	8.72	60
32c3802b-be6b-491f-b8e0-c062de7f3c96	118	47.46	15.36	60
017d5569-b78c-49f9-a40b-81eabb06e187	277	47.65	12.14	60
24fca0bc-1b5e-4477-a67b-84376a9781f2	120	47.50	11.17	60
cc5daa89-35e9-4e2c-9f34-22ba474f542b	118	46.61	10.45	60
ccfda2c5-9f74-4f07-b556-9afbd4edc71d	250	49.20	8.01	60
346f7273-0b5b-45d8-b656-9f2c0dc2f3cf	118	47.46	9.95	60
dbaf4f9c-efb8-4012-951b-f23c61f11c0c	114	47.37	11.69	60
c26950ea-75bd-4445-badd-6cd895cc9fe3	118	47.46	10.71	60
79e27e77-4ad9-4f0f-ada1-59ae2f978f67	182	47.80	6.09	45
f254e4f8-42cf-4fe4-87c6-dd60016d0d51	115	47.83	10.36	60
6968af5f-1032-4031-a381-9e6247c172d9	121	47.11	18.50	60
44b191f6-a8f2-4cba-a6e3-a332a79354ca	281	48.04	13.20	60
f3307de1-3592-440f-b204-09bb2a2f239d	277	47.29	12.71	60
d24c51cf-4aa7-4a0a-9569-f99dd32477cb	118	47.46	11.73	60
8c361e40-cf9b-49b8-baf0-19b1f1c72e21	118	47.46	11.08	60
89720cdb-bc65-4f29-bbfa-0a515410657f	115	48.70	16.12	57
1d0dc5ad-6bae-4953-a578-9f94644788f0	357	47.34	12.57	60
45180b5a-7272-425e-b26b-926a4d40f276	118	47.46	11.43	60
937e5e39-3a8f-4049-bf3f-bb5bb847ae47	277	46.93	11.95	60
4540061b-d3ac-4b31-aeef-8b6bd561f620	418	48.80	11.67	60
21b0950a-034e-47c0-bf70-2529775aa7c0	460	51.30	6.60	44
2ee78c51-fd90-4c14-b0b6-72a72796483f	115	47.83	12.16	60
92d60bd5-b5be-4de2-ac37-ab35525915f9	118	47.46	8.71	60
62a44fc6-2a90-41ab-b0a3-b1a002320483	118	47.46	8.42	60
962b93c7-a310-4aed-b4c0-f5c66577591f	118	47.46	6.86	60
691f3fdf-3d6a-4d1e-93b9-99be9634e80d	118	47.46	8.04	60
f9999c18-87aa-463b-8dfd-c43be78dabbe	829	41.74	12.76	60
e4c70901-81fb-4e34-8b01-f5491adc5d91	279	47.31	12.01	60
ac5d7aa5-d4f5-432c-a5ce-8f7e3341d2fc	236	51.27	14.99	60
6edf0d52-b990-4c5b-b473-b5e11d32547e	247	48.99	10.73	60
7c000065-0c8f-4768-ba26-224afa0b6490	88	50.00	13.84	44
24b7da64-1e70-4db6-9d0f-023430a0de73	117	47.86	7.49	60
2a38232b-cecf-458d-97ef-ba9af9cc7427	414	49.76	13.34	60
e51e24fd-7b10-4a36-8a7d-2a4a515d2714	112	49.11	11.48	60
0c79381a-cd11-4af2-a927-324255651a9b	745	50.20	7.06	60
077db6b3-532d-4755-be53-a7663ccd5503	264	50.00	7.38	60
0814060a-f46b-454d-8a39-37180d55d801	115	48.70	11.50	60
31a9f972-824c-409f-bbe5-2e7dcb2755e5	397	48.11	12.25	60
dcbe9437-0d8f-4a18-9bbb-809b4b09693c	273	47.99	18.48	60
480b4dc4-2dfe-4bd8-8b0d-2e50fb32bdb2	112	48.21	6.16	60
86bf1263-ceb0-478e-8696-ce7c15e17328	123	49.59	12.04	53
bb796424-ca8f-480d-9038-11059af5a763	91	52.75	26.19	38
686e1fa8-919d-4dea-9f4f-41ff593a99f5	116	49.14	15.21	60
1b2480bc-7849-4714-b0fe-ba702032380d	112	48.21	15.62	52
268f35cb-85a4-49bf-97f5-b55e9c748fb7	112	49.11	8.98	60
b6163e66-8648-494b-bf78-adea57a6e839	343	53.94	12.43	46
18dbb4d1-d0f8-49b7-8c81-b52b1a431606	116	49.14	15.82	60
94ad6784-8ba8-4ac9-bf2c-064ae51432d0	291	50.86	17.86	34
f07509c9-125f-47bd-9292-db5e36d5a036	161	49.07	15.30	13
d8a9d66b-3aea-466b-b1e9-23b03468d7fd	1194	52.68	12.47	60
2c359dc9-ee9f-4466-971d-bd6cfbd90ff1	773	53.69	9.36	60
7bf15ef8-5aef-483c-84e8-b09f0a28668f	113	50.44	19.92	21
49c605a3-9121-4f21-bdcc-e39f4aacb66f	157	45.86	14.56	4
c84d736f-d909-4b3f-8b43-080df1946e35	238	50.84	19.74	60
a6a917e4-a019-4eff-a2ba-ee2f0907b6a4	111	50.45	11.25	55
4d4639be-b28d-4fc8-80ba-573abd1dbe4a	231	48.92	13.63	60
ea4033a4-7bdf-4ec6-bd5d-3169b271fc2a	114	49.12	11.16	60
28dfd093-05cc-4b5b-b110-8c84e4006efa	243	48.15	3.22	60
64b65c5f-025f-4fa7-9f74-8d3a24570536	396	49.75	10.72	60
4d40c0f4-927b-4c4d-bb58-6a965b3364d0	239	46.86	17.23	60
94897ebc-50a1-45ea-8d7b-59928dbd6abb	111	49.55	14.60	53
3d1c832b-11dd-4c4e-b07d-c0f47291e120	243	48.15	6.93	60
