Read_ID	Length	GC_content	Avg_Quality	Mapping_Quality
4607f445-89cd-4563-a291-91b22613a9ca	235	49.36	17.41	60
c63a2d41-d304-4415-823e-981b0a0424ce	74	48.65	10.86	43
d55e160b-ff9a-43d8-b104-f8cdfaf50087	229	48.47	8.02	60
61bdef7c-b9ee-41fe-8db8-2b2bf9f85db5	74	48.65	14.78	43
2b3aecca-d683-4f5e-b89f-14bfa283e662	74	48.65	10.65	43
f5c5c29e-a33c-4783-8c14-c90f8d4281dd	833	48.26	11.49	60
af3acd7e-401b-4f12-b09b-6d1e01018923	639	50.08	11.98	60
12e6badf-e7f8-41c9-a1db-77ff6b0140d5	142	46.48	20.43	60
a036986c-26ec-408b-a659-b3db16f0284b	88	50.00	5.77	44
0f1bdcac-4fdb-4431-b82c-45d81d008c86	88	50.00	16.68	44
c4040f9c-e61f-4eec-b75f-5c87e2e38ac3	88	48.86	11.38	43
742f7d5e-f222-45a7-b75a-d30c19ccd607	647	47.91	11.18	60
089d1b9a-ed47-44e6-9082-bf2e89c09ae5	384	47.66	13.56	60
5cc63c94-9891-4f35-8d5b-54b65595ba96	1044	44.16	15.28	60
9285a817-4c56-42f1-8fec-f91992c34e25	507	48.32	10.90	60
c03a83ef-b5fc-4fd3-b866-5fa4c0d8398c	54	44.44	6.57	5
373a86f0-bc4e-4311-af47-e243ba8a35ac	462	47.62	17.49	60
ec2964da-8a27-4a80-9080-f0d0e315ae06	74	50.00	10.82	18
14c9b0c8-b69e-4cdc-8d90-bc387df8626e	88	50.00	12.09	44
d8a92905-3ed4-4a77-ac40-f58a0eaf4eb8	93	50.54	14.41	45
58546ad3-f8b7-4b92-8a1c-dcc756376813	540	47.59	9.79	60
eb3ee2e4-90b5-4239-9f62-5105307aaebc	153	47.06	12.16	60
4deea3d8-bc78-434d-9ce3-5230221f2a74	399	48.62	14.33	60
2a0915cb-4e5e-432d-9b57-a569ee2073f4	515	46.99	6.00	60
d6075d40-d5d1-4063-921e-c3cad661ae23	229	47.60	21.33	60
30ca7009-be16-41f8-9740-7d5f91e1b1ad	93	51.61	10.18	18
e4f6d08d-4208-4511-9744-22d85d4bf85c	902	47.78	13.12	60
ffc3f963-ce66-4d27-a8ce-a5a09d17aad3	237	48.10	4.76	60
5ede0828-0190-417b-8f73-dfdd3cdc408e	1135	49.43	13.59	60
7fe0956b-aade-44ca-9723-b78db198f4f8	744	47.45	12.17	60
d7c55cf8-37bc-43e3-a8ed-2dd8ebf36492	227	47.58	17.65	60
bdc6173f-34d5-4c9b-b693-efae652d1750	56	44.64	5.20	5
b208dbff-e495-4886-803f-29afe2e20279	84	48.81	15.26	19
5a6eee57-3b76-4046-935c-245190373448	479	47.81	13.32	60
ade3f239-1bf9-4b33-8473-86d08c05363f	514	48.83	12.04	60
b929bca1-c4bf-493d-8c79-88819f8579ca	598	47.49	11.71	60
079014b3-ce80-4547-bc16-6de0b6d367dc	152	46.05	10.60	60
4aeb9cd5-bc66-4bd0-837e-be0ff0ff4d52	786	49.62	7.40	60
2f521607-bf78-4dd3-b92b-d3bd4d95750e	784	47.45	18.17	60
d17b9996-e34d-418e-931a-9317ef1500f3	856	48.01	11.74	60
71fe4345-40d3-491e-9784-869a9281c4b9	66	48.48	6.42	5
0ef21bea-fbdc-47ea-9b39-3c5317eca8b7	523	47.23	13.12	60
40ef8b55-e2b7-416d-9eaf-49f607d68472	88	50.00	9.74	44
afd88f94-7502-48a4-ad51-c1ad6668ea15	135	46.67	11.35	60
107c71b8-a295-4088-a365-94926a033804	229	48.91	12.96	60
0db0a838-9a46-40bf-b633-7f5730739a60	67	47.76	12.13	20
a9673a22-293c-4877-b08d-492709c64984	944	44.39	12.32	60
5d853bbc-7a63-483c-b259-5844cd149af1	152	45.39	9.68	60
d8b2f317-6432-49c7-9b60-011fdfbe01ee	107	45.79	6.61	60
a10992eb-d746-4521-a4da-6d668d85c869	88	50.00	12.00	44
2ce37f45-ac97-4bb6-8f02-9d6b77d8ecd4	75	49.33	15.08	20
4f0f208b-773e-46e6-b12c-6047f9819e70	763	47.18	13.17	60
