seq_score,occurence
46.93,1.0
47.73,1.0
48.88,1.0
49.09,1.0
49.17,1.0
49.35,1.0
49.36,1.0
49.45,1.0
49.87,1.0
50.33,1.0
51.17,1.0
51.24,1.0
52.5,1.0
52.53,1.0
53.29,1.0
53.69,1.0
53.7,1.0
54.42,1.0
54.47,1.0
54.6,1.0
54.85,1.0
55.21,1.0
55.36,1.0
55.53,1.0
55.66,1.0
55.78,1.0
55.89,1.0
55.94,1.0
56.21,1.0
56.23,2.0
56.42,1.0
56.48,1.0
57.01,1.0
57.17,1.0
57.42,1.0
57.53,1.0
57.55,1.0
57.69,1.0
57.7,1.0
57.84,2.0
57.9,1.0
57.94,1.0
57.98,1.0
58.12,1.0
58.16,1.0
58.4,1.0
58.42,1.0
58.46,1.0
58.51,1.0
58.52,1.0
58.67,1.0
58.96,1.0
59.1,3.0
59.12,1.0
59.19,1.0
59.22,1.0
59.23,2.0
59.3,1.0
59.34,1.0
59.43,1.0
59.65,1.0
59.74,1.0
59.75,1.0
59.79,1.0
59.82,1.0
59.87,1.0
59.88,1.0
59.9,1.0
59.96,1.0
59.97,1.0
60.01,1.0
60.15,1.0
60.21,1.0
60.35,1.0
60.41,1.0
60.48,1.0
60.49,1.0
60.56,1.0
60.6,1.0
60.62,1.0
60.64,1.0
60.77,1.0
60.78,1.0
60.88,1.0
60.89,1.0
60.92,2.0
60.99,1.0
61.03,1.0
61.1,1.0
61.2,1.0
61.22,1.0
61.23,2.0
61.26,1.0
61.28,1.0
61.3,1.0
61.32,1.0
61.33,2.0
61.35,1.0
61.39,1.0
61.48,1.0
61.52,1.0
61.54,1.0
61.56,1.0
61.57,1.0
61.58,1.0
61.6,1.0
61.72,1.0
61.8,1.0
61.87,1.0
61.89,1.0
61.9,1.0
61.91,1.0
61.93,2.0
61.96,1.0
61.97,1.0
61.99,1.0
62.04,1.0
62.09,1.0
62.15,1.0
62.22,1.0
62.27,1.0
62.28,2.0
62.29,1.0
62.37,2.0
62.42,1.0
62.44,1.0
62.46,1.0
62.49,1.0
62.52,1.0
62.53,1.0
62.57,1.0
62.58,1.0
62.59,1.0
62.6,1.0
62.63,3.0
62.65,1.0
62.7,1.0
62.71,1.0
62.77,2.0
62.78,1.0
62.79,1.0
62.83,2.0
62.84,1.0
62.86,1.0
62.88,1.0
62.9,1.0
62.98,1.0
63.0,2.0
63.03,1.0
63.04,1.0
63.06,1.0
63.07,2.0
63.09,1.0
63.14,1.0
63.2,1.0
63.22,1.0
63.25,1.0
63.31,1.0
63.34,2.0
63.35,1.0
63.36,1.0
63.37,1.0
63.39,1.0
63.43,2.0
63.46,1.0
63.47,1.0
63.48,2.0
63.49,1.0
63.5,1.0
63.53,1.0
63.56,1.0
63.58,2.0
63.59,1.0
63.6,1.0
63.64,2.0
63.72,2.0
63.77,1.0
63.79,1.0
63.8,1.0
63.82,2.0
63.87,2.0
63.88,2.0
63.89,1.0
63.91,1.0
63.92,1.0
63.94,2.0
63.99,1.0
64.03,2.0
64.04,1.0
64.07,2.0
64.08,2.0
64.09,2.0
64.15,1.0
64.16,1.0
64.17,1.0
64.22,2.0
64.23,1.0
64.25,1.0
64.29,1.0
64.33,1.0
64.35,1.0
64.38,3.0
64.39,2.0
64.4,1.0
64.42,1.0
64.44,1.0
64.45,1.0
64.47,1.0
64.48,1.0
64.55,1.0
64.58,3.0
64.59,1.0
64.62,1.0
64.65,2.0
64.67,1.0
64.68,1.0
64.7,1.0
64.73,1.0
64.74,1.0
64.77,1.0
64.8,1.0
64.81,2.0
64.82,1.0
64.84,1.0
64.85,2.0
64.89,1.0
64.9,2.0
64.92,1.0
64.93,2.0
64.94,1.0
64.96,1.0
64.97,1.0
64.99,1.0
65.0,2.0
65.02,1.0
65.07,1.0
65.09,2.0
65.1,2.0
65.11,1.0
65.13,1.0
65.18,1.0
65.21,1.0
65.25,2.0
65.26,1.0
65.3,1.0
65.33,1.0
65.34,1.0
65.35,1.0
65.37,1.0
65.38,1.0
65.4,1.0
65.46,1.0
65.48,1.0
65.5,1.0
65.51,1.0
65.53,1.0
65.54,1.0
65.56,1.0
65.59,1.0
65.62,2.0
65.64,1.0
65.65,1.0
65.68,1.0
65.69,1.0
65.73,1.0
65.77,1.0
65.85,1.0
65.9,1.0
65.92,1.0
65.93,2.0
65.95,1.0
65.98,1.0
66.0,2.0
66.04,1.0
66.05,2.0
66.07,2.0
66.08,1.0
66.1,3.0
66.12,3.0
66.13,1.0
66.16,1.0
66.17,2.0
66.21,1.0
66.22,2.0
66.23,1.0
66.24,2.0
66.25,1.0
66.26,1.0
66.27,2.0
66.28,1.0
66.3,1.0
66.38,1.0
66.4,2.0
66.42,1.0
66.48,1.0
66.49,3.0
66.54,1.0
66.55,1.0
66.61,2.0
66.63,1.0
66.64,1.0
66.72,2.0
66.73,1.0
66.77,2.0
66.86,1.0
66.88,1.0
66.89,1.0
66.91,1.0
66.93,2.0
66.94,1.0
66.98,1.0
67.02,1.0
67.04,1.0
67.07,1.0
67.1,1.0
67.12,2.0
67.13,1.0
67.14,1.0
67.15,1.0
67.17,2.0
67.19,3.0
67.21,1.0
67.22,1.0
67.26,4.0
67.3,1.0
67.32,1.0
67.34,2.0
67.35,1.0
67.4,2.0
67.41,1.0
67.43,1.0
67.44,1.0
67.48,2.0
67.49,1.0
67.51,1.0
67.52,2.0
67.54,1.0
67.59,1.0
67.61,1.0
67.62,1.0
67.63,1.0
67.64,1.0
67.66,1.0
67.7,3.0
67.72,1.0
67.74,1.0
67.75,1.0
67.79,1.0
67.8,1.0
67.81,1.0
67.82,1.0
67.83,1.0
67.86,1.0
67.89,1.0
67.9,2.0
67.91,3.0
67.92,1.0
67.93,1.0
67.95,1.0
67.99,1.0
68.0,1.0
68.02,1.0
68.05,2.0
68.08,1.0
68.1,3.0
68.11,1.0
68.14,1.0
68.17,1.0
68.18,2.0
68.2,1.0
68.21,1.0
68.22,1.0
68.23,2.0
68.29,1.0
68.3,2.0
68.34,1.0
68.36,3.0
68.41,1.0
68.44,2.0
68.46,1.0
68.47,1.0
68.49,2.0
68.51,1.0
68.52,1.0
68.53,1.0
68.54,1.0
68.56,1.0
68.57,1.0
68.58,2.0
68.59,1.0
68.6,1.0
68.62,1.0
68.63,2.0
68.66,3.0
68.67,1.0
68.68,1.0
68.71,1.0
68.72,1.0
68.73,1.0
68.74,1.0
68.75,2.0
68.8,1.0
68.82,1.0
68.85,1.0
68.88,2.0
68.9,1.0
68.93,1.0
68.97,1.0
68.98,1.0
69.02,1.0
69.05,1.0
69.06,1.0
69.09,2.0
69.1,1.0
69.11,1.0
69.14,1.0
69.17,1.0
69.18,1.0
69.19,1.0
69.23,2.0
69.24,1.0
69.32,1.0
69.33,1.0
69.34,1.0
69.38,2.0
69.39,1.0
69.45,1.0
69.46,1.0
69.47,2.0
69.49,2.0
69.52,2.0
69.56,2.0
69.58,1.0
69.6,1.0
69.63,1.0
69.66,1.0
69.71,1.0
69.76,2.0
69.78,1.0
69.8,1.0
69.83,1.0
69.84,1.0
69.86,1.0
69.87,1.0
69.89,1.0
69.9,1.0
69.92,1.0
69.93,2.0
69.95,2.0
69.98,2.0
70.0,1.0
70.03,2.0
