Read_ID	Length	GC_content	Avg_Quality	Mapping_Quality
4054c0ce-b49d-4ddb-81cc-4690128ca4b6	430	46.05	10.93	60
f1b2f302-863c-4fee-910f-a6cd966990e9	115	46.96	10.54	60
77555271-7908-418d-a2c6-999faf70a423	403	48.14	11.08	60
04a0593e-1dae-429c-b9e2-8d2e5d1441cf	159	38.36	3.26	60
ea45a02f-bc25-49e6-b895-049bffbb5383	202	42.57	11.27	60
e7a28a99-d9ed-4544-986e-3e2204591035	395	47.59	10.14	60
b0c307d4-98fc-47f6-b9e4-11abd054edd0	371	46.90	10.57	60
b393f1d6-09a0-4358-b5e7-678832feb680	1180	44.83	10.36	60
f4074eb5-8085-447e-89bf-500044b609ba	586	47.10	14.02	60
50e57a74-7038-4d0e-9382-af2a57d46f35	373	46.65	13.33	60
03445c9f-7e76-4fc9-bec3-8acf7d08dbb8	369	47.15	5.32	60
392d007e-67eb-475d-825c-2ebe048b1873	555	49.37	13.73	60
24717a3f-19b4-4604-a9c3-1d0c1bc5bf15	335	48.36	10.59	60
eed09e30-b3d0-430b-a553-9ad8647e30f0	306	43.46	2.50	60
f4074eb5-8085-447e-89bf-500044b609ba	211	49.29	15.39	60
67554c9a-ecb9-4e4f-a065-9998516459f1	1116	44.80	11.86	60
495cc747-f1f2-4cf2-8538-e37806c97dbe	108	50.00	12.94	60
885cb2e0-4eee-41bd-b22a-bf062352fdae	282	47.52	16.82	60
5e7ce020-8285-4f29-af9d-289e2b3f33f8	386	47.41	13.23	60
ea08004b-1630-49a0-a070-b29e7398c3a7	392	46.68	15.99	60
9f097834-cf98-435b-8524-e8f1f426620b	324	48.46	9.79	60
07dba5f8-a33e-4652-9792-8a231c521b70	372	47.58	6.11	60
1cc28a3b-4c34-4832-91df-a47226b8a697	309	46.93	18.03	60
6f81998c-7f4c-4429-9f9f-67fee7009b3d	608	46.55	9.35	60
b4c132be-6471-4092-a286-8921338cde5e	268	49.25	11.50	60
491cebcb-d5d4-47dc-b091-23aece2fcea2	386	44.30	14.92	60
4dca7b49-ebae-42ca-ae76-f6407a6fd93a	268	49.25	10.90	60
ec981022-9c5b-4213-a340-6660ffc81f88	271	48.34	6.56	60
0b23932a-b340-47f6-b172-56096ce6510c	272	48.90	10.69	60
0669e711-3a37-4614-a8fa-9f23c482f4e7	1199	49.46	12.48	60
f07c839b-161e-4a80-ae75-40e7194db449	808	51.73	15.39	60
b3c00e85-a086-43ee-8292-8d18dc3352ba	911	52.36	11.80	60
d80c8b39-c301-42c9-8f4e-17dcbcf180e4	676	52.66	23.23	60
13f985f6-fcba-49cb-a46b-28eb10e656e1	1139	50.66	12.21	60
951f19ea-e0eb-415d-98b8-6bd3a82ce508	975	50.67	16.11	60
951f19ea-e0eb-415d-98b8-6bd3a82ce508	479	50.94	21.69	60
9bf53796-ff66-4a6d-bba7-b06eb8df26ba	384	50.52	3.60	60
13f985f6-fcba-49cb-a46b-28eb10e656e1	504	49.80	9.38	60
df504640-ab1c-4e3e-baa5-440131ae0f32	523	48.95	14.67	60
b30649b2-89b3-4149-9932-c884fd630eeb	436	48.39	8.30	60
f486cd30-262f-47d2-90b2-4fb0bcf326b0	423	47.99	7.93	60
d4edd54d-c2a2-4e9e-992c-48c14ea50139	430	47.67	10.38	60
bc6e4654-e96c-46c5-b8cb-31c25b0a9c70	411	47.69	11.99	60
e9f2644f-c49a-4e5e-8a85-c75996b6b9ce	453	46.14	13.45	60
